airport_code,iata,airport_name,city,state,country,metro_area,airport_class,role_in_case,is_us_customs_port,military_colocation,mro_on_field,runway_longest_ft,following_plane_stays,following_plane_tails,following_plane_first,following_plane_last,following_plane_days_on_ground,kirk_tpusa_events,kirk_events_charlie,kirk_events_charlie_and_erika,kirk_events_erika_only,kirk_events_tpusa_no_kirk,surviving_pairings,overlap_claims,overlap_audited_accurate,overlap_audited_partial,overlap_audited_inaccurate,overlap_untested,how_unusual_foreign_state_jet,innocent_explanation,site_page,notes
LFPB,LBG,Paris-Le Bourget Airport,Le Bourget,,France,Paris FR,business-aviation airport,foreign_plane_stop,yes - EU entry,none,full bizjet handling; Dassault home market,"9,800",18,SU-BGM;SU-BND;SU-BTT;SU-BTU;SU-BTV,2024-11-25,2025-10-04,18,0,0,0,0,0,0,0,0,0,0,0,"NOT UNUSUAL. The busiest business-aviation airport in Europe; no scheduled commercial passenger service since 1980. TRANSIT / STAGING ONLY - 18 logged legs, the single most-used field in the record, and no Kirk or TPUSA claim at any of them.",The mandatory mid-point of the Cairo-to-North-America route: Cairo->Le Bourget runs 3:56 to 4:22 on every logged leg; Le Bourget->US entry field runs 8:03 to 9:58.,site/docs/Planes/following/Paris_LFPB_2022-10-05_to_2025-10-05.mdx,
KILG,ILG,Wilmington Airport / New Castle Airport,Wilmington,DE,USA,Delaware Valley DE/PA/NJ,public-use commercial / general aviation,foreign_plane_stop_and_kirk_event_airport,yes - well-established East Coast customs and fuel stop,Delaware Air National Guard on field,none of note,"7,200",15,SU-BTT;SU-BTU;SU-BTV,2024-12-01,2025-10-11,24,1,0,0,0,1,0,11,3,1,6,1,"NOT unusual. KILG is a standard transatlantic corporate customs-and-fuel stop in the Philadelphia-Baltimore-Washington corridor without the slot pressure of the major hubs. It appears on 15 of the logged legs because it is the outbound customs stop, not because of Delaware.","Outbound US customs and fuel before the Atlantic crossing. NOT TO BE CONFUSED WITH Wilmington, North Carolina (ILM) - a live source-confusion risk on this page.",site/docs/Planes/following/Wilmington_KILG_2022-11-17_to_2025-10-12.mdx,
KPVU,PVU,Provo Municipal Airport,Provo,UT,USA,Wasatch Front UT,public-use regional / municipal,foreign_plane_stop_and_kirk_event_airport,no - not a routine international port of entry,none on field; Camp Williams / Dugway Proving Ground elsewhere in Utah,"Duncan Aviation (full-service airframe, engine, avionics, paint, interior)","8,600",8,SU-BGM;SU-BND;SU-BTT;SU-BTU;SU-BTV,2024-04-01,2025-09-04,220,1,1,0,0,0,1,15,8,0,7,0,"GENUINELY UNUSUAL. Runway length is not the issue - it takes a Falcon 7X or a G-IV easily. What Provo lacks is the customs, protocol and handling infrastructure a foreign state aircraft normally needs. Every one of these aircraft entered the US somewhere else and reached Provo on a DOMESTIC leg.","Duncan Aviation runs an MRO on the field and has held the Egyptian Air Force maintenance account since 1999 (John Cullen). Two Provo-Provo closed-loop sorties (SU-BGM 10 Apr 2025, 55 min; SU-BND 5 Sep 2025, 68 min) are the classic post-maintenance functional check-flight signature.",site/docs/Planes/following/Provo_KPVU_2024-04-19_to_2025-09-13.mdx,
KLNK,LNK,Lincoln Airport,Lincoln,NE,USA,Omaha-Lincoln NE,commercial service / joint civil-military,foreign_plane_stop_and_kirk_event_airport,limited - customs facilities are limited; Omaha handles the entry,Nebraska Air National Guard on field,Duncan Aviation HEADQUARTERS and main plant - one of the largest privately-owned business-aviation MRO facilities in the world,"12,900",8,SU-BTT;SU-BTU;SU-BTV,2024-11-26,2025-10-05,47,1,1,0,0,0,0,7,1,1,3,2,LESS unusual than it looks once Duncan is on the map. A Lincoln arrival by a foreign-registered bizjet is what a Duncan maintenance visit looks like. What IS notable is the repetition and the Omaha-then-Lincoln two-hop.,"Duncan Aviation HQ. The Omaha->Lincoln 15-20 minute repositioning hop is the customs-then-shop signature, not a second destination. Anyone counting airport visits off a leg list double-counts one arrival.",site/docs/Planes/following/Lincoln_KLNK_2024-02-09_to_2025-10-11.mdx,
KOMA,OMA,Eppley Airfield,Omaha,NE,USA,Omaha-Lincoln NE,commercial service international - largest airport in Nebraska,foreign_plane_stop_and_kirk_event_airport,yes - US Customs and Border Protection facilities,Offutt AFB is a separate field ~10 mi south (USSTRATCOM),none of note,"9,500",7,SU-BTT;SU-BTU;SU-BTV,2024-11-26,2025-10-05,0,2,2,0,0,0,0,12,0,3,7,2,NOT unusual on its own. Eppley is a customs port of entry; it is exactly where an inbound foreign aircraft should clear.,Customs. The aircraft clears at Omaha and repositions to Lincoln for Duncan. This is the operational reason for the split.,site/docs/Planes/following/Omaha_KOMA_2024-02-09_to_2025-10-05.mdx,
CYYR,YYR,Goose Bay Airport,Happy Valley-Goose Bay,NL,Canada,Goose Bay NL,joint civil / military; Canadian airport of entry (CBSA),foreign_plane_stop,yes - Canadian CBSA facilities,"5 Wing Goose Bay, Royal Canadian Air Force; Cold War USAF Strategic Air Command host; NATO low-level training",fuel and handling only,"11,000",5,SU-BGM;SU-BND,2023-05-09,2025-09-13,0,0,0,0,0,0,0,1,1,0,0,0,"NOT UNUSUAL. It is THE classic North Atlantic technical stop - built 1941 for the ferry route, sitting on the great-circle line at roughly the point a range-limited aircraft runs out of fuel. TRANSIT ONLY; no Kirk or TPUSA claim here.",Fuel. Every logged stop is roughly one hour on the ground.,site/docs/Planes/following/GooseBay_CYYR_2023-05-09_to_2025-09-13.mdx,
KICT,ICT,Wichita Dwight D. Eisenhower National Airport,Wichita,KS,USA,Wichita KS,commercial service international,foreign_plane_stop,yes,McConnell AFB is a separate field ~7 mi southeast,Yingling Aviation - FAA Part 145 repair station servicing Dassault Falcon aircraft; Dassault-Wichita State ties since 2015,"10,300",4,SU-BTT;SU-BTV,2024-12-08,2025-10-01,10,0,0,0,0,0,0,17,3,2,12,0,NOT unusual for a Falcon. Wichita is the American general-aviation manufacturing capital and holds a Falcon-authorised service centre.,Yingling Aviation Falcon service. Three of the four logged Wichita stays are by Falcon 7X airframes.,site/docs/Planes/following/Wichita_KICT_2022-11-13_to_2025-08-03.mdx,
KMOT,MOT,Minot International Airport,Minot,ND,USA,Minot ND,small commercial service international,foreign_plane_stop,yes - has customs facilities,Minot AFB ~13 mi north: 5th Bomb Wing (B-52H) and 91st Missile Wing (Minuteman III) - one of few installations hosting TWO legs of the US nuclear triad,none of note,"7,700",4,SU-BND;SU-BTT;SU-BTU;SU-BTV,2025-04-08,2025-09-04,0,0,0,0,0,0,0,0,0,0,0,0,"UNUSUAL AS A CHOICE, ordinary as a mechanism. Minot carries the International designation, so it is a legal first point of landing from abroad; but it is a very small field to pick for that. Its proximity to Minot AFB is the fact posters seize on. TRANSIT STOP ONLY - nobody claims a Kirk or TPUSA presence here.",It is the shortest legal customs entry on the great-circle line from Europe to Utah. Four of the five aircraft entered the US via Minot en route to Provo.,site/docs/Planes/following/Minot_KMOT_2025-04-08_to_2025-09-04.mdx,
KSTL,STL,Lambert-St. Louis International Airport,St. Louis,MO,USA,St. Louis metro,major commercial service international,foreign_plane_stop_and_kirk_event_airport,yes - US customs port of entry,none on field,none of note,"11,000",2,SU-BTU,2025-02-16,2025-02-16,6,1,1,0,0,0,0,7,3,0,4,0,NOT unusual. Lambert is the customs port for the St. Louis metro.,Customs entry; the aircraft then repositions 15 miles to KCPS (Cahokia) where it actually parks. Anyone tallying 'St. Louis visits' off a leg list finds TWO entries for ONE arrival.,site/docs/Planes/following/StLouis_KSTL_2022-12-20_to_2025-02-23.mdx,
KCPS,CPS,St. Louis Downtown Airport,Cahokia,IL,USA,St. Louis metro,general aviation reliever,foreign_plane_stop,no - Lambert is the customs port,none on field,none of note,"6,500",2,SU-BTU,2025-02-16,2025-02-16,6,0,0,0,0,0,0,2,2,0,0,0,"MODERATELY UNUSUAL as a parking choice, ordinary as a reliever. CRITICAL GEOGRAPHY ERROR RISK: KCPS is physically in ILLINOIS, not Missouri. A 'Missouri overlap' logged against a CPS arrival is a state-level match to the WRONG STATE.",It is the general-aviation reliever where bizjets park after clearing at Lambert. 15 miles / a 15-minute flight from KSTL.,site/docs/Planes/following/StLouis_KSTL_2022-12-20_to_2025-02-23.mdx,
