tail,date_utc,callsign,from_icao,from_place,from_state,to_icao,to_place,to_state,off_utc,on_utc,status,us_leg,us_end,path_positions,path_max_altitude_ft,path_first_utc,path_last_utc
SU-BND,,SU-BND,KCPS,Cahokia/St Louis,IL,,,,,,result unknown,yes,departure,0,,,
SU-BND,,SU-BND,KPVU,Provo,UT,,,,,,result unknown,yes,departure,0,,,
SU-BND,,SU-BND,KPVU,Provo,UT,,,,,,result unknown,yes,departure,0,,,
SU-BND,2022-02-13,SU-BND,CYYR,Goose Bay,NL,KSUS,St Louis,MO,2022-02-13T14:57:35Z,2022-02-13T14:57:35Z,result unknown,yes,arrival,442,40000,2022-02-13T14:57:35Z,2022-02-13T18:53:32Z
SU-BND,2022-02-13,SU-BND,KSUS,St Louis,MO,KCPS,Cahokia/St Louis,IL,2022-02-13T19:57:19Z,2022-02-13T20:25:59Z,Arrived,yes,both,69,9700,2022-02-13T19:57:19Z,2022-02-13T20:25:22Z
SU-BND,2022-02-15,SU-BND,KCPS,Cahokia/St Louis,IL,KCPS,Cahokia/St Louis,IL,2022-02-15T17:49:32Z,2022-02-15T17:57:23Z,Arrived,yes,both,26,2900,2022-02-15T17:49:32Z,2022-02-15T17:56:27Z
SU-BTT,2022-03-06,SU-BTT,LFPB,Paris,IDF,KICT,Wichita,KS,2022-03-06T08:20:31Z,2022-03-06T18:21:34Z,Arrived,yes,arrival,655,43000,2022-03-06T08:20:31Z,2022-03-06T18:20:00Z
SU-BTT,2022-03-11,SU-BTT,KICT,Wichita,KS,KILG,Wilmington,DE,2022-03-11T13:49:26Z,2022-03-11T15:50:14Z,Arrived,yes,both,247,41000,2022-03-11T13:49:26Z,2022-03-11T15:49:36Z
SU-BTT,2022-03-13,SU-BTT,KILG,Wilmington,DE,L 32.02167 28.85015,Matrouh Governorate,,2022-03-13T11:30:41Z,2022-03-13T11:30:41Z,result unknown,yes,departure,642,41000,2022-03-13T11:30:41Z,2022-03-13T21:24:59Z
SU-BTV,2022-04-17,SU-BTV,LFPB,Paris,IDF,KSUS,St Louis,MO,2022-04-17T06:45:48Z,2022-04-17T15:27:39Z,Arrived,yes,arrival,531,43000,2022-04-17T06:45:48Z,2022-04-17T15:23:58Z
SU-BTV,2022-04-25,SU-BTV,KSUS,St Louis,MO,KBGR,Bangor,ME,2022-04-25T00:09:21Z,2022-04-25T02:26:16Z,Arrived,yes,both,289,41000,2022-04-25T00:09:21Z,2022-04-25T03:11:01Z
SU-BGM,2022-05-10,SU-BGM,CYYR,Goose Bay,NL,KSUS,St Louis,MO,2022-05-10T15:19:13Z,2022-05-10T18:58:53Z,Arrived,yes,arrival,427,43000,2022-05-10T15:19:13Z,2022-05-10T18:58:37Z
SU-BGM,2022-05-10,SU-BGM,KSUS,St Louis,MO,KCPS,Cahokia/St Louis,IL,2022-05-10T19:59:09Z,2022-05-10T20:07:03Z,Arrived,yes,both,21,3000,2022-05-10T19:59:09Z,2022-05-10T20:06:26Z
SU-BGM,2022-05-12,SU-BGM,KCPS,Cahokia/St Louis,IL,KCPS,Cahokia/St Louis,IL,2022-05-12T16:37:52Z,2022-05-12T16:55:06Z,Arrived,yes,both,44,6900,2022-05-12T16:37:52Z,2022-05-12T16:54:13Z
SU-BTV,2022-05-14,SU-BTV,LFPB,Paris,IDF,KSUS,St Louis,MO,2022-05-14T08:04:46Z,2022-05-14T17:09:03Z,Arrived,yes,arrival,677,43000,2022-05-14T08:04:46Z,2022-05-14T17:03:59Z
SU-BTV,2022-05-19,SU-BTV,KSUS,St Louis,MO,KILG,Wilmington,DE,2022-05-19T13:55:58Z,2022-05-19T15:44:23Z,Arrived,yes,both,226,41000,2022-05-19T13:55:58Z,2022-05-19T15:43:29Z
SU-BTV,2022-05-21,SU-BTV,KILG,Wilmington,DE,L 30.49709 31.29536,Cairo,,2022-05-21T11:47:54Z,2022-05-21T11:47:54Z,result unknown,yes,departure,906,43000,2022-05-21T11:47:54Z,2022-05-21T22:29:02Z
SU-BTT,2022-05-25,SU-BTT,LFPB,Paris,IDF,KICT,Wichita,KS,2022-05-25T09:04:00Z,2022-05-25T19:47:25Z,Arrived,yes,arrival,805,43000,2022-05-25T09:04:00Z,2022-05-25T19:46:48Z
SU-BTT,2022-05-31,SU-BTT,KICT,Wichita,KS,KILG,Wilmington,DE,2022-05-31T13:06:01Z,2022-05-31T15:36:22Z,Arrived,yes,both,298,43000,2022-05-31T13:06:01Z,2022-05-31T15:31:59Z
SU-BTT,2022-06-01,SU-BTT,KILG,Wilmington,DE,HEAZ,El Nozha,C,2022-06-01T11:37:06Z,2022-06-01T11:37:06Z,result unknown,yes,departure,890,43000,2022-06-01T11:37:06Z,2022-06-01T22:31:16Z
SU-BGM,2022-08-12,SU-BGM,KCPS,Cahokia/St Louis,IL,KCPS,Cahokia/St Louis,IL,2022-08-12T18:23:17Z,2022-08-12T19:32:34Z,Arrived,yes,both,161,45000,2022-08-12T18:23:17Z,2022-08-12T19:31:41Z
SU-BND,2022-08-25,SU-BND,KCPS,Cahokia/St Louis,IL,KCPS,Cahokia/St Louis,IL,2022-08-25T16:36:27Z,2022-08-25T17:29:42Z,Arrived,yes,both,127,31000,2022-08-25T16:36:27Z,2022-08-25T17:29:05Z
SU-BND,2022-08-31,SU-BND,KCPS,Cahokia/St Louis,IL,CYYR,Goose Bay,NL,2022-08-31T23:22:00Z,2022-09-01T02:52:56Z,Arrived,yes,departure,434,41000,2022-08-31T23:22:00Z,2022-09-01T02:52:19Z
SU-BTT,2022-09-01,SU-BTT,LFPB,Paris,IDF,KICT,Wichita,KS,2022-09-01T07:04:51Z,2022-09-01T16:34:06Z,Arrived,yes,arrival,642,43000,2022-09-01T07:04:51Z,2022-09-01T16:33:27Z
SU-BTT,2022-09-06,SU-BTT,KICT,Wichita,KS,KILG,Wilmington,DE,2022-09-06T11:58:47Z,2022-09-06T14:20:49Z,Arrived,yes,both,295,39000,2022-09-06T11:58:47Z,2022-09-06T14:20:09Z
SU-BTT,2022-09-08,SU-BTT,KILG,Wilmington,DE,HEAZ,El Nozha,C,2022-09-08T10:59:38Z,2022-09-08T10:59:38Z,result unknown,yes,departure,847,45000,2022-09-08T10:59:38Z,2022-09-08T21:27:44Z
SU-BTT,2022-11-13,SU-BTT,LFPB,Paris,IDF,KICT,Wichita,KS,2022-11-13T08:59:44Z,2022-11-13T18:40:41Z,Arrived,yes,arrival,666,43000,2022-11-13T08:59:44Z,2022-11-13T18:39:36Z
SU-BTT,2022-11-17,SU-BTT,KICT,Wichita,KS,KILG,Wilmington,DE,2022-11-17T14:54:35Z,2022-11-17T17:03:05Z,Arrived,yes,both,267,41000,2022-11-17T14:54:35Z,2022-11-17T17:02:49Z
SU-BTT,2022-11-20,SU-BTT,KILG,Wilmington,DE,L 30.21593 31.20521,Cairo,,2022-11-20T12:37:11Z,2022-11-20T12:37:11Z,result unknown,yes,departure,771,43100,2022-11-20T12:37:11Z,2022-11-20T21:58:00Z
SU-BTV,2022-11-22,SU-BTV,LFPB,Paris,IDF,KSUS,St Louis,MO,2022-11-22T08:58:07Z,2022-11-22T18:17:02Z,Arrived,yes,arrival,602,43000,2022-11-22T08:58:07Z,2022-11-22T18:16:08Z
SU-BTV,2022-11-27,SU-BTV,KSUS,St Louis,MO,KILG,Wilmington,DE,2022-11-27T15:34:47Z,2022-11-27T17:09:58Z,Arrived,yes,both,200,41000,2022-11-27T15:34:47Z,2022-11-27T17:09:02Z
SU-BTV,2022-11-29,SU-BTV,KILG,Wilmington,DE,L 30.86417 31.18017,Cairo,,2022-11-29T12:23:11Z,2022-11-29T12:23:11Z,result unknown,yes,departure,880,45000,2022-11-29T12:23:11Z,2022-11-29T22:37:01Z
SU-BTU,2022-12-01,SU-BTU,LFPB,Paris,IDF,KSUS,St Louis,MO,2022-12-01T09:04:28Z,2022-12-01T18:42:01Z,Arrived,yes,arrival,640,43000,2022-12-01T09:04:28Z,2022-12-01T18:40:55Z
SU-BTU,2022-12-05,SU-BTU,KSUS,St Louis,MO,KILG,Wilmington,DE,2022-12-05T14:32:12Z,2022-12-05T16:04:11Z,Arrived,yes,both,193,41000,2022-12-05T14:32:12Z,2022-12-05T16:03:13Z
SU-BTU,2022-12-08,SU-BTU,KILG,Wilmington,DE,L 31.31561 29.85852,Amreya,,2022-12-08T12:24:46Z,2022-12-08T12:24:46Z,result unknown,yes,departure,807,41000,2022-12-08T12:24:46Z,2022-12-08T22:50:22Z
SU-BTT,2022-12-20,SU-BTT,LFPB,Paris,IDF,KSUS,St Louis,MO,2022-12-20T08:56:28Z,2022-12-20T17:39:01Z,Arrived,yes,arrival,583,43000,2022-12-20T08:56:28Z,2022-12-20T17:37:26Z
SU-BTT,2022-12-27,SU-BTT,KSUS,St Louis,MO,KBGR,Bangor,ME,2022-12-27T08:52:42Z,2022-12-27T11:12:42Z,Arrived,yes,both,291,41000,2022-12-27T08:52:42Z,2022-12-27T11:12:01Z
SU-BTT,2022-12-27,SU-BTT,KBGR,Bangor,ME,L 31.42511 29.78857,Amreya,,2022-12-27T12:16:55Z,2022-12-27T12:16:55Z,result unknown,yes,departure,658,43100,2022-12-27T12:16:55Z,2022-12-27T20:39:00Z
SU-BTU,2023-01-20,SU-BTU,LFPB,Paris,IDF,KSUS,St Louis,MO,2023-01-20T10:19:38Z,2023-01-20T19:36:49Z,Arrived,yes,arrival,591,43000,2023-01-20T10:19:38Z,2023-01-20T19:35:40Z
SU-BTU,2023-01-24,SU-BTU,KSUS,St Louis,MO,KILG,Wilmington,DE,2023-01-24T15:58:35Z,2023-01-24T17:43:59Z,Arrived,yes,both,197,41000,2023-01-24T15:58:35Z,2023-01-24T17:30:58Z
SU-BTU,2023-01-27,SU-BTU,KILG,Wilmington,DE,L 30.95249 30.40763,Amreya,,2023-01-27T12:31:21Z,2023-01-27T12:31:21Z,result unknown,yes,departure,768,45000,2023-01-27T12:31:21Z,2023-01-27T22:13:28Z
SU-BTV,2023-02-07,SU-BTV,LFPB,Paris,IDF,KSUS,St Louis,MO,2023-02-07T12:26:15Z,2023-02-07T21:53:47Z,Arrived,yes,arrival,640,45000,2023-02-07T12:26:15Z,2023-02-07T21:52:52Z
SU-BTV,2023-02-10,SU-BTV,KSUS,St Louis,MO,KILG,Wilmington,DE,2023-02-10T15:10:13Z,2023-02-10T16:45:33Z,Arrived,yes,both,195,41000,2023-02-10T15:10:13Z,2023-02-10T16:40:21Z
SU-BTV,2023-02-13,SU-BTV,KILG,Wilmington,DE,L 31.35759 29.94798,Amreya,,2023-02-13T13:10:52Z,2023-02-13T13:10:52Z,result unknown,yes,departure,807,45000,2023-02-13T13:10:52Z,2023-02-13T22:55:47Z
SU-BND,2023-02-21,SU-BND,CYYR,Goose Bay,NL,KSUS,St Louis,MO,2023-02-21T15:44:02Z,2023-02-21T19:38:59Z,Arrived,yes,arrival,466,40000,2023-02-21T15:44:02Z,2023-02-21T19:37:49Z
SU-BND,2023-02-21,SU-BND,KSUS,St Louis,MO,KCPS,Cahokia/St Louis,IL,2023-02-21T20:25:52Z,2023-02-21T20:35:36Z,Arrived,yes,both,23,3200,2023-02-21T20:25:52Z,2023-02-21T20:34:59Z
SU-BTT,2023-02-25,SU-BTT,LFPB,Paris,IDF,KSUS,St Louis,MO,2023-02-25T10:07:27Z,2023-02-25T18:42:48Z,Arrived,yes,arrival,559,43100,2023-02-25T10:07:27Z,2023-02-25T18:41:54Z
SU-BTT,2023-03-02,SU-BTT,KSUS,St Louis,MO,KILG,Wilmington,DE,2023-03-02T14:01:58Z,2023-03-02T15:29:44Z,Arrived,yes,both,184,39000,2023-03-02T14:01:58Z,2023-03-02T15:29:20Z
SU-BTT,2023-03-04,SU-BTT,KILG,Wilmington,DE,L 29.92355 31.43824,Cairo,,2023-03-04T14:56:54Z,2023-03-04T14:56:54Z,result unknown,yes,departure,828,45000,2023-03-04T14:56:54Z,2023-03-05T01:20:06Z
SU-BTU,2023-03-07,SU-BTU,LFPB,Paris,IDF,KSUS,St Louis,MO,2023-03-07T10:19:03Z,2023-03-07T19:01:04Z,Arrived,yes,arrival,603,43000,2023-03-07T10:19:03Z,2023-03-07T18:59:55Z
SU-BTU,2023-03-13,SU-BTU,KSUS,St Louis,MO,KICT,Wichita,KS,2023-03-13T12:00:51Z,2023-03-13T12:58:55Z,Arrived,yes,both,125,40000,2023-03-13T12:00:51Z,2023-03-13T12:58:17Z
SU-BTU,2023-03-13,SU-BTU,KICT,Wichita,KS,KILG,Wilmington,DE,2023-03-13T14:21:23Z,2023-03-13T16:35:28Z,Arrived,yes,both,274,41100,2023-03-13T14:21:23Z,2023-03-13T16:34:28Z
SU-BTU,2023-03-14,SU-BTU,KILG,Wilmington,DE,L 31.31534 30.12904,Amreya,,2023-03-14T12:01:43Z,2023-03-14T12:01:43Z,result unknown,yes,departure,828,45000,2023-03-14T12:01:43Z,2023-03-14T21:59:46Z
