fleet,kind,first_seen_at_radius,first_seen_at_window,driver,slug,tail,event_date,event_city,event_state,attendee_class,charlie_present,erika_present,event_arrival_airport,plane_day,day_offset_from_event,plane_airport,plane_airport_name,dist_event_to_plane_airport_mi,altitude_ft,ground_points,first_seen_utc,last_seen_utc,source,n_hits_in_window
FOREIGN,GROUND,40,5,WINDOW_ONLY,20240423_salt_lake_city,SU-BND,2024-04-23,Salt Lake City,UT,CHARLIE_ONLY,yes,not_documented,KSLC,2024-04-19,-4,KSLC,Salt Lake City International Airport,5.6,,2,2024-04-19T20:03:15.300000Z,2024-04-19T20:07:56.960000Z,adsb-lol,4
FOREIGN,NEARFIELD_LOWPASS,40,5,WINDOW_ONLY,20240423_salt_lake_city,SU-BND,2024-04-23,Salt Lake City,UT,CHARLIE_ONLY,yes,not_documented,KSLC,2024-04-19,-4,KSLC,Salt Lake City International Airport,5.9,6000,,2024-04-19T19:59:36.920000Z,,adsb-lol,10
FOREIGN,NEARFIELD_LOWPASS,75,7,RADIUS_AND_WINDOW,20230321_new_brunswick,SU-BTU,2023-03-21,New Brunswick,NJ,TPUSA_NO_KIRK,no,no,KEWR,2023-03-14,-7,7N7,Spitfire Aerodrome,72.3,5725,,2023-03-14T12:04:23.120000Z,,adsb-lol,4
FOREIGN,NEARFIELD_LOWPASS,100,5,RADIUS_AND_WINDOW,20230402_jefferson_city,SU-BGM,2023-04-02,Jefferson City,MO,TPUSA_NO_KIRK,no,no,KJEF,2023-03-28,-5,KSUS,Spirit of St Louis Airport,81.3,2000,,2023-03-28T18:09:13.500000Z,,adsb-lol,20
FOREIGN,NEARFIELD_LOWPASS,100,2,RADIUS_ONLY,20230402_jefferson_city,SU-BTT,2023-04-02,Jefferson City,MO,TPUSA_NO_KIRK,no,no,KJEF,2023-04-01,-1,KSUS,Spirit of St Louis Airport,81.3,2325,,2023-04-01T15:58:13.540000Z,,adsb-lol,9
FOREIGN,NEARFIELD_LOWPASS,150,2,RADIUS_ONLY,20240403_lawrence,SU-BTT,2024-04-03,Lawrence,KS,CHARLIE_ONLY,yes,not_documented,KLWC,2024-04-03,0,3KS7,Berwick Airport,137.3,5125,,2024-04-03T13:44:22.140000Z,,airplanes-live,9
KIRK,GROUND,40,3,WINDOW_ONLY,20220104_phoenix,N560TW,2022-01-04,Phoenix,AZ,CHARLIE_ONLY,yes,not_documented,KPHX,2022-01-01,-3,KSDL,Scottsdale Airport,10.9,,15,2022-01-01T04:43:17.400000Z,2022-01-01T04:44:41.600000Z,adsbexchange-samples,2
KIRK,GROUND,40,5,WINDOW_ONLY,20231010_orlando,N582MM,2023-10-10,Orlando,FL,CHARLIE_ONLY,yes,not_documented,KMCO,2023-10-14,4,KORL,Orlando Executive Airport,10.7,,37,2023-10-14T07:03:27.060000Z,2023-10-14T07:07:09.170000Z,airplanes-live,1
KIRK,GROUND,40,5,WINDOW_ONLY,20240314_fullerton,N102DZ,2024-03-14,Fullerton,CA,CHARLIE_ONLY,yes,not_documented,KFUL,2024-03-09,-5,KVNY,Van Nuys Airport,39.0,,149,2024-03-09T04:33:46.700000Z,2024-03-09T05:09:12.720000Z,airplanes-live,1
KIRK,GROUND,40,5,WINDOW_ONLY,20240314_fullerton,N560TW,2024-03-14,Fullerton,CA,CHARLIE_ONLY,yes,not_documented,KFUL,2024-03-18,4,KLAX,Los Angeles International Airport,27.1,,2,2024-03-18T15:58:52.720000Z,2024-03-18T15:58:54.010000Z,airplanes-live,1
