slug,date,group,attendee_class,city,state,airport,su_in_radius,su_just_outside,su_just_outside_tails,cov_following_pct,ac_days_needed,ac_days_held,control_verdict
20220104_phoenix,2022-01-04,CHARLIE_ONLY,CHARLIE_ONLY,Phoenix,AZ,KPHX,no,0,,0.0,75,0,ARCHIVE RETENTION BOUNDARY
20220216_st_charles,2022-02-16,CHARLIE_ONLY,CHARLIE_ONLY,St. Charles,IL,KDPA,no,0,,0.0,75,0,ARCHIVE RETENTION BOUNDARY
20220329_colorado_springs,2022-03-29,CHARLIE_ONLY,CHARLIE_ONLY,Colorado Springs,CO,KCOS,no,0,,0.0,75,0,ARCHIVE RETENTION BOUNDARY
20220330_fayetteville,2022-03-30,CHARLIE_ONLY,CHARLIE_ONLY,Fayetteville,AR,KXNA,no,0,,0.0,75,4,ARCHIVE RETENTION BOUNDARY
20220331_auburn,2022-03-31,CHARLIE_ONLY,CHARLIE_ONLY,Auburn,AL,KAUO,no,0,,0.0,75,4,ARCHIVE RETENTION BOUNDARY
20220403_st_louis,2022-04-03,CHARLIE_ONLY,CHARLIE_ONLY,St. Louis,MO,KSTL,no,0,,0.0,75,4,ARCHIVE RETENTION BOUNDARY
20220412_boulder,2022-04-12,CHARLIE_ONLY,CHARLIE_ONLY,Boulder,CO,KBJC,no,0,,0.0,75,0,ARCHIVE RETENTION BOUNDARY
20220413_berkeley,2022-04-13,CHARLIE_ONLY,CHARLIE_ONLY,Berkeley,CA,KOAK,no,0,,0.0,75,0,ARCHIVE RETENTION BOUNDARY
20220414_fullerton,2022-04-14,CHARLIE_ONLY,CHARLIE_ONLY,Fullerton,CA,KFUL,no,0,,0.0,75,0,ARCHIVE RETENTION BOUNDARY
20220420_milwaukee,2022-04-20,CHARLIE_ONLY,CHARLIE_ONLY,Milwaukee,WI,KMKE,no,0,,0.0,75,0,ARCHIVE RETENTION BOUNDARY
20220519_tpusa_debate_night,2022-05-19,CHARLIE_ONLY,CHARLIE_ONLY,UNKNOWN,,,no,0,,0,0,0,
20220521_tpusa_debate_night,2022-05-21,CHARLIE_ONLY,CHARLIE_ONLY,UNKNOWN,,,no,0,,0,0,0,
20220602_grapevine,2022-06-02,CHARLIE_ONLY,CHARLIE_ONLY,Grapevine,TX,KDFW,no,0,,2.4,105,5,ARCHIVE RETENTION BOUNDARY
20220705_tpusa_debate_night,2022-07-05,CHARLIE_ONLY,CHARLIE_ONLY,UNKNOWN,,,no,0,,0,0,0,
20220722_tampa,2022-07-22,CHARLIE_ONLY,CHARLIE_ONLY,Tampa,FL,KTPA,no,0,,0.0,105,0,ARCHIVE RETENTION BOUNDARY
20220810_san_diego,2022-08-10,CHARLIE_ONLY,CHARLIE_ONLY,San Diego,CA,KSAN,no,0,,0.0,105,0,ARCHIVE RETENTION BOUNDARY
20220814_phoenix,2022-08-14,CHARLIE_ONLY,CHARLIE_ONLY,Phoenix,AZ,KPHX,no,0,,0.0,75,0,ARCHIVE RETENTION BOUNDARY
20220916_phoenix,2022-09-16,CHARLIE_ONLY,CHARLIE_ONLY,Phoenix,AZ,KPHX,no,0,,0.0,90,0,ARCHIVE RETENTION BOUNDARY
20221003_newark,2022-10-03,TPUSA_NO_KIRK_PREDEATH,TPUSA_NO_KIRK,Newark,DE,KILG,no,0,,3.3,75,1,ARCHIVE RETENTION BOUNDARY
20221010_phoenix,2022-10-10,CHARLIE_ONLY,CHARLIE_ONLY,Phoenix,AZ,KPHX,no,0,,0.0,75,0,ARCHIVE RETENTION BOUNDARY
20221012_austin,2022-10-12,CHARLIE_ONLY,CHARLIE_ONLY,Austin,TX,KAUS,no,0,,0.0,75,0,ARCHIVE RETENTION BOUNDARY
20221013_east_lansing,2022-10-13,TPUSA_NO_KIRK_PREDEATH,TPUSA_NO_KIRK,East Lansing,MI,KLAN,no,0,,0.0,75,0,ARCHIVE RETENTION BOUNDARY
