scope,tail,side,year,window_aircraft_days_needed,window_HELD,window_ASKED_AND_EMPTY,window_NEVER_ASKED,window_coverage_pct,window_queried_pct,disk_HELD_any_date,disk_ASKED_AND_EMPTY_any_date
tail_year,SU-BGM,following,2022,99,0,99,0,0.0,100.0,0,111
tail_year,SU-BGM,following,2023,157,13,144,0,8.3,100.0,14,144
tail_year,SU-BGM,following,2024,142,6,136,0,4.2,100.0,6,136
tail_year,SU-BGM,following,2025,141,12,129,0,8.5,100.0,12,131
tail_year,SU-BGM,following,2026,0,0,0,0,,,2,0
tail_year,SU-BND,following,2022,99,0,99,0,0.0,100.0,2,111
tail_year,SU-BND,following,2023,157,11,146,0,7.0,100.0,12,146
tail_year,SU-BND,following,2024,142,18,124,0,12.7,100.0,22,124
tail_year,SU-BND,following,2025,141,26,115,0,18.4,100.0,31,117
tail_year,SU-BND,following,2026,0,0,0,0,,,6,0
tail_year,SU-BTT,following,2021,0,0,0,0,,,0,4
tail_year,SU-BTT,following,2022,99,1,98,0,1.0,100.0,3,230
tail_year,SU-BTT,following,2023,157,12,145,0,7.6,100.0,26,234
tail_year,SU-BTT,following,2024,142,13,129,0,9.2,100.0,23,159
tail_year,SU-BTT,following,2025,141,20,121,0,14.2,100.0,27,123
tail_year,SU-BTT,following,2026,0,0,0,0,,,4,0
tail_year,SU-BTU,following,2022,99,1,98,0,1.0,100.0,1,110
tail_year,SU-BTU,following,2023,157,23,134,0,14.6,100.0,24,134
tail_year,SU-BTU,following,2024,142,12,130,0,8.5,100.0,14,130
tail_year,SU-BTU,following,2025,141,12,129,0,8.5,100.0,12,131
tail_year,SU-BTU,following,2026,0,0,0,0,,,4,0
tail_year,SU-BTV,following,2022,99,1,98,0,1.0,100.0,1,110
tail_year,SU-BTV,following,2023,157,10,147,0,6.4,100.0,10,147
tail_year,SU-BTV,following,2024,142,12,130,0,8.5,100.0,12,130
tail_year,SU-BTV,following,2025,141,16,125,0,11.3,100.0,17,127
tail_year,SU-BTV,following,2026,0,0,0,0,,,5,0
tail_year,T7-ELL,following,2022,99,0,99,0,0.0,100.0,3,111
tail_year,T7-ELL,following,2023,157,10,147,0,6.4,100.0,11,147
tail_year,T7-ELL,following,2024,142,33,109,0,23.2,100.0,34,109
tail_year,T7-ELL,following,2025,141,28,113,0,19.9,100.0,31,115
tail_year,T7-ELL,following,2026,0,0,0,0,,,20,0
tail_year,N102DZ,kirk,2022,99,1,98,0,1.0,100.0,3,110
tail_year,N102DZ,kirk,2023,157,15,142,0,9.6,100.0,15,142
tail_year,N102DZ,kirk,2024,142,67,75,0,47.2,100.0,70,75
tail_year,N102DZ,kirk,2025,141,50,91,0,35.5,100.0,58,93
tail_year,N102DZ,kirk,2026,0,0,0,0,,,36,0
tail_year,N40JD,kirk,2022,99,1,98,0,1.0,100.0,1,110
tail_year,N40JD,kirk,2023,157,13,144,0,8.3,100.0,14,144
tail_year,N40JD,kirk,2024,142,8,134,0,5.6,100.0,9,134
