visit_date,tail,ground_airport,ground_airport_name,ground_airport_city,lat,lon,median_dist_km,ground_points,first_seen_utc,last_seen_utc,sources,n_source_files,bucket,field_mro_on_field,field_is_us_customs_port,field_documented_mundane_reason,bucket_event_slug,bucket_event_date,bucket_event_city,bucket_event_who,bucket_event_airport,bucket_dist_to_event_city_mi,bucket_dist_to_event_airport_mi,bucket_gap_days,nearest_in_time_slug,nearest_in_time_date,nearest_in_time_city,nearest_in_time_gap_days,nearest_in_time_dist_mi,nearest_in_space_slug,nearest_in_space_date,nearest_in_space_city,nearest_in_space_dist_mi,nearest_in_space_gap_days,best_combined_slug,best_combined_date,best_combined_city,best_combined_who,best_combined_attendee_class,best_combined_dist_city_mi,best_combined_dist_airport_mi,best_combined_gap_days,best_combined_score,best_combined_event_airport,same_airport_as_event,in_overlaps_csv,overlaps_csv_ids,status,top5
2022-02-01,T7-ELL,KTUS,Tucson International Airport,Tucson,32.11632,-110.94379,0.56,49,2022-02-01T00:31:19.700000Z,2022-02-01T00:38:19.300000Z,adsbexchange-samples,1,KNOWN_TRANSIT,"Bombardier Tucson Service Centre - on this field since 1976, the LARGEST of Bombardier's service centres at nearly 1 million sq ft of hangar, 900+ staff, OEM heavy maintenance, modification, paint and avionics for LEARJET, CHALLENGER AND GLOBAL aircraft",yes - international airport with US customs and immigration,MRO+US_CUSTOMS_PORT,,,,,,,,,20220216_st_charles,2022-02-16,"St. Charles, IL",-15,1414.2,20241016_tucson,2024-10-16,"Tucson, AZ",5.0,-988,20220104_phoenix,2022-01-04,"Phoenix, AZ",Charlie,CHARLIE_ONLY,120.6,110.1,+28,10.539,KPHX,no,no,,NEW,"20220104_phoenix|2022-01-04|Phoenix,AZ|Charlie|dist_city=120.6mi|dist_apt=110.1mi|gap=+28d|score=10.54 || 20220216_st_charles|2022-02-16|St. Charles,IL|Charlie|dist_city=1414.2mi|dist_apt=1416.9mi|gap=-15d|score=19.14 || 20220329_colorado_springs|2022-03-29|Colorado Springs,CO|Charlie|dist_city=581.5mi|dist_apt=580.2mi|gap=-56d|score=24.48 || 20220414_fullerton|2022-04-14|Fullerton,CA|Charlie|dist_city=422.7mi|dist_apt=425.3mi|gap=-72d|score=28.23 || 20220330_fayetteville|2022-03-30|Fayetteville,AR|Charlie|dist_city=996.6mi|dist_apt=991.9mi|gap=-57d|score=28.97"
2022-06-01,SU-BTT,KILG,Wilmington Airport,Wilmington,39.67459,-75.60039,0.69,9,2022-06-01T00:00:00Z,2022-06-01T00:01:25.400000Z,adsbexchange-samples,1,KNOWN_TRANSIT,none of note,yes - well-established East Coast customs and fuel stop,US_CUSTOMS_PORT,,,,,,,,,20220602_grapevine,2022-06-02,"Grapevine, TX",-1,1279.3,20221003_newark,2022-10-03,"Newark, DE",8.4,-124,20220602_grapevine,2022-06-02,"Grapevine, TX",Charlie,CHARLIE_ONLY,1279.3,1278.5,-1,13.126,KDFW,no,no,,NEW,"20220602_grapevine|2022-06-02|Grapevine,TX|Charlie|dist_city=1279.3mi|dist_apt=1278.5mi|gap=-1d|score=13.13 || 20220420_milwaukee|2022-04-20|Milwaukee,WI|Charlie|dist_city=681.8mi|dist_apt=676.3mi|gap=+42d|score=20.82 || 20220722_tampa|2022-07-22|Tampa,FL|Charlie|dist_city=899.2mi|dist_apt=900.2mi|gap=-51d|score=25.99 || 20220403_st_louis|2022-04-03|St. Louis,MO|Charlie|dist_city=787.0mi|dist_apt=792.4mi|gap=+59d|score=27.54 || 20220331_auburn|2022-03-31|Auburn,AL|Charlie|dist_city=736.2mi|dist_apt=733.3mi|gap=+62d|score=28.03"
2022-08-01,T7-ELL,KLAX,Los Angeles International Airport,Los Angeles,33.93585,-118.38771,2.01,73,2022-08-01T00:08:18.570000Z,2022-08-01T00:14:08.500000Z,adsbexchange-samples,1,DISTANT,UNKNOWN,UNKNOWN,NONE_DOCUMENTED,,,,,,,,,20220722_tampa,2022-07-22,"Tampa, FL",+8,2156.0,20231109_los_angeles,2023-11-09,"Los Angeles, CA",5.9,-465,20220810_san_diego,2022-08-10,"San Diego, CA",Charlie,CHARLIE_ONLY,105.9,108.1,-9,4.059,KSAN,no,no,,NEW,"20220810_san_diego|2022-08-10|San Diego,CA|Charlie|dist_city=105.9mi|dist_apt=108.1mi|gap=-9d|score=4.06 || 20220814_phoenix|2022-08-14|Phoenix,AZ|Charlie|dist_city=362.6mi|dist_apt=368.5mi|gap=-13d|score=7.96 || 20220916_phoenix|2022-09-16|Phoenix,AZ|Charlie|dist_city=362.6mi|dist_apt=368.5mi|gap=-46d|score=18.96 || 20220722_tampa|2022-07-22|Tampa,FL|Charlie|dist_city=2156.0mi|dist_apt=2152.8mi|gap=+8d|score=24.23 || 20221010_phoenix|2022-10-10|Phoenix,AZ|Charlie|dist_city=362.6mi|dist_apt=368.5mi|gap=-70d|score=26.96"
2022-08-01,T7-ELL,KTUS,Tucson International Airport,Tucson,32.11634,-110.94521,0.69,86,2022-08-01T01:36:39.570000Z,2022-08-01T01:41:41.010000Z,adsbexchange-samples,1,KNOWN_TRANSIT,"Bombardier Tucson Service Centre - on this field since 1976, the LARGEST of Bombardier's service centres at nearly 1 million sq ft of hangar, 900+ staff, OEM heavy maintenance, modification, paint and avionics for LEARJET, CHALLENGER AND GLOBAL aircraft",yes - international airport with US customs and immigration,MRO+US_CUSTOMS_PORT,,,,,,,,,20220722_tampa,2022-07-22,"Tampa, FL",+8,1721.3,20241016_tucson,2024-10-16,"Tucson, AZ",5.0,-807,20220814_phoenix,2022-08-14,"Phoenix, AZ",Charlie,CHARLIE_ONLY,120.6,110.0,-13,5.539,KPHX,no,no,,NEW,"20220814_phoenix|2022-08-14|Phoenix,AZ|Charlie|dist_city=120.6mi|dist_apt=110.0mi|gap=-13d|score=5.54 || 20220810_san_diego|2022-08-10|San Diego,CA|Charlie|dist_city=364.0mi|dist_apt=366.6mi|gap=-9d|score=6.64 || 20220916_phoenix|2022-09-16|Phoenix,AZ|Charlie|dist_city=120.6mi|dist_apt=110.0mi|gap=-46d|score=16.54 || 20220722_tampa|2022-07-22|Tampa,FL|Charlie|dist_city=1721.3mi|dist_apt=1718.1mi|gap=+8d|score=19.88 || 20221010_phoenix|2022-10-10|Phoenix,AZ|Charlie|dist_city=120.6mi|dist_apt=110.0mi|gap=-70d|score=24.54"
2022-09-01,SU-BTT,KICT,Wichita Dwight D. Eisenhower National Airport,Wichita,37.65583,-97.42283,0.79,159,2022-09-01T16:33:26.990000Z,2022-09-01T16:59:21.900000Z,adsbexchange-samples,1,KNOWN_TRANSIT,Yingling Aviation - FAA Part 145 repair station servicing Dassault Falcon aircraft; Dassault-Wichita State ties since 2015,yes,MRO+US_CUSTOMS_PORT,,,,,,,,,20220916_phoenix,2022-09-16,"Phoenix, AZ",-15,869.7,20240913_manhattan,2024-09-13,"Manhattan, KS",114.7,-743,20220916_phoenix,2022-09-16,"Phoenix, AZ",Charlie,CHARLIE_ONLY,869.7,869.0,-15,13.697,KPHX,no,no,,NEW,"20220916_phoenix|2022-09-16|Phoenix,AZ|Charlie|dist_city=869.7mi|dist_apt=869.0mi|gap=-15d|score=13.70 || 20220814_phoenix|2022-08-14|Phoenix,AZ|Charlie|dist_city=869.7mi|dist_apt=869.0mi|gap=+18d|score=14.70 || 20221018_kansas_city|2022-10-18|Kansas City,MO|Charlie|dist_city=184.1mi|dist_apt=185.5mi|gap=-47d|score=17.51 || 20220810_san_diego|2022-08-10|San Diego,CA|Charlie|dist_city=1159.1mi|dist_apt=1164.2mi|gap=+20d|score=18.26 || 20221012_austin|2022-10-12|Austin,TX|Charlie|dist_city=508.7mi|dist_apt=515.5mi|gap=-41d|score=18.75"
2022-09-01,T7-ELL,KLAX,Los Angeles International Airport,Los Angeles,33.93576,-118.38702,2.07,90,2022-09-01T02:08:02.330000Z,2022-09-01T02:16:34.620000Z,adsbexchange-samples,1,DISTANT,UNKNOWN,UNKNOWN,NONE_DOCUMENTED,,,,,,,,,20220916_phoenix,2022-09-16,"Phoenix, AZ",-15,362.5,20231109_los_angeles,2023-11-09,"Los Angeles, CA",5.9,-434,20220810_san_diego,2022-08-10,"San Diego, CA",Charlie,CHARLIE_ONLY,105.9,108.0,+20,7.725,KSAN,no,no,,NEW,"20220810_san_diego|2022-08-10|San Diego,CA|Charlie|dist_city=105.9mi|dist_apt=108.0mi|gap=+20d|score=7.73 || 20220916_phoenix|2022-09-16|Phoenix,AZ|Charlie|dist_city=362.5mi|dist_apt=368.4mi|gap=-15d|score=8.63 || 20220814_phoenix|2022-08-14|Phoenix,AZ|Charlie|dist_city=362.5mi|dist_apt=368.4mi|gap=+18d|score=9.63 || 20221010_phoenix|2022-10-10|Phoenix,AZ|Charlie|dist_city=362.5mi|dist_apt=368.4mi|gap=-39d|score=16.63 || 20221012_austin|2022-10-12|Austin,TX|Charlie|dist_city=1231.0mi|dist_apt=1238.4mi|gap=-41d|score=25.98"
2023-03-02,SU-BTT,KILG,Wilmington Airport,Wilmington,39.67353,-75.60168,0.71,4,2023-03-02T15:34:06.270000Z,2023-03-02T15:34:27.830000Z,adsb-lol;airplanes-live,2,KNOWN_TRANSIT,none of note,yes - well-established East Coast customs and fuel stop,US_CUSTOMS_PORT,,,,,,,,,20230301_santa_barbara,2023-03-01,"Santa Barbara, CA",+1,2435.3,20221003_newark,2022-10-03,"Newark, DE",8.3,+150,20230308_lexington,2023-03-08,"Lexington, KY",Charlie,CHARLIE_ONLY,490.4,497.3,-6,6.904,KLEX,no,no,,NEW,"20230308_lexington|2023-03-08|Lexington,KY|Charlie|dist_city=490.4mi|dist_apt=497.3mi|gap=-6d|score=6.90 || 20230321_new_brunswick|2023-03-21|New Brunswick,NJ|TPUSA|dist_city=83.1mi|dist_apt=103.1mi|gap=-19d|score=7.16 || 20230309_chicago|2023-03-09|Chicago,IL|Charlie|dist_city=649.2mi|dist_apt=662.0mi|gap=-7d|score=8.83 || 20230322_columbus|2023-03-22|Columbus,OH|Charlie|dist_city=392.2mi|dist_apt=387.3mi|gap=-20d|score=10.59 || 20230321_baton_rouge|2023-03-21|Baton Rouge,LA|TPUSA|dist_city=1083.0mi|dist_apt=1079.6mi|gap=-19d|score=17.16"
2023-03-13,SU-BTU,KILG,Wilmington Airport,Wilmington,39.67472,-75.60173,0.6,16,2023-03-13T16:34:51.760000Z,2023-03-13T16:40:08.120000Z,adsb-lol;airplanes-live,4,KNOWN_TRANSIT,none of note,yes - well-established East Coast customs and fuel stop,US_CUSTOMS_PORT,,,,,,,,,20230314_davis,2023-03-14,"Davis, CA",-1,2446.8,20221003_newark,2022-10-03,"Newark, DE",8.3,+161,20230321_new_brunswick,2023-03-21,"New Brunswick, NJ",TPUSA,TPUSA_NO_KIRK,83.0,103.1,-8,3.497,KEWR,no,no,,NEW,"20230321_new_brunswick|2023-03-21|New Brunswick,NJ|TPUSA|dist_city=83.0mi|dist_apt=103.1mi|gap=-8d|score=3.50 || 20230308_lexington|2023-03-08|Lexington,KY|Charlie|dist_city=490.4mi|dist_apt=497.3mi|gap=+5d|score=6.57 || 20230322_columbus|2023-03-22|Columbus,OH|Charlie|dist_city=392.2mi|dist_apt=387.3mi|gap=-9d|score=6.92 || 20230309_chicago|2023-03-09|Chicago,IL|Charlie|dist_city=649.2mi|dist_apt=662.0mi|gap=+4d|score=7.83 || 20230321_baton_rouge|2023-03-21|Baton Rouge,LA|TPUSA|dist_city=1083.1mi|dist_apt=1079.7mi|gap=-8d|score=13.50"
2023-03-29,T7-ELL,KLAX,Los Angeles International Airport,Los Angeles,33.93542,-118.39812,1.2,18,2023-03-29T03:41:22.910000Z,2023-03-29T03:43:35.610000Z,airplanes-live,2,DISTANT,UNKNOWN,UNKNOWN,NONE_DOCUMENTED,,,,,,,,,20230327_fort_worth,2023-03-27,"Fort Worth, TX",+2,1215.3,20231109_los_angeles,2023-11-09,"Los Angeles, CA",5.8,-225,20230314_davis,2023-03-14,"Davis, CA",Charlie,CHARLIE_ONLY,369.5,373.8,+15,8.695,KSMF,no,no,,NEW,"20230314_davis|2023-03-14|Davis,CA|Charlie|dist_city=369.5mi|dist_apt=373.8mi|gap=+15d|score=8.69 || 20230301_santa_barbara|2023-03-01|Santa Barbara,CA|Charlie|dist_city=81.9mi|dist_apt=89.1mi|gap=+28d|score=10.15 || 20230327_fort_worth|2023-03-27|Fort Worth,TX|Charlie|dist_city=1215.3mi|dist_apt=1214.1mi|gap=+2d|score=12.82 || 20230402_jefferson_city|2023-04-02|Jefferson City,MO|TPUSA|dist_city=1491.5mi|dist_apt=1491.5mi|gap=-4d|score=16.25 || 20230321_baton_rouge|2023-03-21|Baton Rouge,LA|TPUSA|dist_city=1607.7mi|dist_apt=1605.0mi|gap=+8d|score=18.74"
2023-04-20,SU-BTT,KILG,Wilmington Airport,Wilmington,39.67448,-75.6018,0.62,4,2023-04-20T17:04:07.390000Z,2023-04-20T17:04:30.240000Z,adsb-lol;airplanes-live,2,KNOWN_TRANSIT,none of note,yes - well-established East Coast customs and fuel stop,US_CUSTOMS_PORT,,,,,,,,,20230423_topeka,2023-04-23,"Topeka, KS",-3,1072.2,20221003_newark,2022-10-03,"Newark, DE",8.3,+199,20230500_nashville,2023-05-01,"Nashville, TN",Charlie,CHARLIE_ONLY,658.0,651.2,-11,10.247,KBNA,no,yes,OWENS-013,KNOWN,"20230500_nashville|2023-05-01|Nashville,TN|Charlie|dist_city=658.0mi|dist_apt=651.2mi|gap=-11d|score=10.25 || 20230321_new_brunswick|2023-03-21|New Brunswick,NJ|TPUSA|dist_city=83.0mi|dist_apt=103.1mi|gap=+30d|score=10.83 || 20230500_tallahassee|2023-05-01|Tallahassee,FL|Charlie|dist_city=802.4mi|dist_apt=808.8mi|gap=-11d|score=11.69 || 20230423_topeka|2023-04-23|Topeka,KS|TPUSA|dist_city=1072.2mi|dist_apt=1071.4mi|gap=-3d|score=11.72 || 20230322_columbus|2023-03-22|Columbus,OH|Charlie|dist_city=392.2mi|dist_apt=387.3mi|gap=+29d|score=13.59"
