fleet,radius_mi,window_days,n_tails,n_events,possible_pairs,ground_pairs,ground_events,nearfield_pairs,nearfield_events,either_pairs,aircraft_days_in_window,aircraft_days_with_trace,coverage_pct,real_hit_aircraft_days,real_hit_rate_pct,placebo_pairs_mean,placebo_hit_rate_pct,lift_over_placebo
FOREIGN,40,2,6,134,804,3,2,3,2,3,4728,445,9.41,6,1.348,0.0,0.0,INF
FOREIGN,40,3,6,134,804,3,2,3,2,3,6336,538,8.49,7,1.301,0.0,0.0,INF
FOREIGN,40,5,6,134,804,4,2,4,2,4,9552,730,7.64,11,1.507,0.1,0.022,68.28
FOREIGN,40,7,6,134,804,4,2,4,2,4,12768,929,7.28,12,1.292,0.2,0.033,39.11
FOREIGN,75,2,6,134,804,3,2,3,2,3,4728,445,9.41,6,1.348,0.1,0.045,30.3
FOREIGN,75,3,6,134,804,3,2,3,2,3,6336,538,8.49,7,1.301,0.1,0.033,39.16
FOREIGN,75,5,6,134,804,4,2,4,2,4,9552,730,7.64,11,1.507,0.2,0.044,34.14
FOREIGN,75,7,6,134,804,4,2,5,3,5,12768,929,7.28,12,1.292,0.2,0.05,26.08
FOREIGN,100,2,6,134,804,3,2,4,3,4,4728,445,9.41,6,1.348,0.4,0.267,5.05
FOREIGN,100,3,6,134,804,3,2,4,3,4,6336,538,8.49,7,1.301,0.4,0.199,6.53
FOREIGN,100,5,6,134,804,4,2,6,3,6,9552,730,7.64,11,1.507,0.6,0.177,8.53
FOREIGN,100,7,6,134,804,4,2,7,4,7,12768,929,7.28,12,1.292,0.8,0.182,7.11
FOREIGN,150,2,6,134,804,3,2,5,4,5,4728,445,9.41,6,1.348,0.5,0.312,4.33
FOREIGN,150,3,6,134,804,3,2,5,4,5,6336,538,8.49,7,1.301,0.6,0.266,4.9
FOREIGN,150,5,6,134,804,4,2,7,4,7,9552,730,7.64,11,1.507,1.2,0.353,4.27
FOREIGN,150,7,6,134,804,4,2,8,5,8,12768,929,7.28,12,1.292,1.7,0.429,3.01
KIRK,40,2,9,134,1206,70,44,99,68,101,7092,1554,21.91,129,8.301,19.0,5.279,1.57
KIRK,40,3,9,134,1206,75,46,105,69,107,9504,1891,19.9,148,7.827,22.6,5.162,1.52
KIRK,40,5,9,134,1206,82,47,114,71,117,14328,2541,17.73,179,7.044,29.3,5.134,1.37
KIRK,40,7,9,134,1206,87,47,119,71,122,19152,3197,16.69,205,6.412,35.0,5.072,1.26
KIRK,75,2,9,134,1206,75,48,107,72,109,7092,1554,21.91,141,9.073,22.4,6.139,1.48
KIRK,75,3,9,134,1206,80,50,113,74,115,9504,1891,19.9,162,8.567,26.7,6.071,1.41
KIRK,75,5,9,134,1206,88,51,123,75,126,14328,2541,17.73,199,7.832,33.8,6.031,1.3
KIRK,75,7,9,134,1206,95,53,132,77,135,19152,3197,16.69,229,7.163,40.8,5.917,1.21
KIRK,100,2,9,134,1206,80,50,119,78,121,7092,1554,21.91,148,9.524,24.1,6.529,1.46
KIRK,100,3,9,134,1206,85,52,126,80,128,9504,1891,19.9,169,8.937,28.5,6.42,1.39
KIRK,100,5,9,134,1206,93,53,136,81,139,14328,2541,17.73,207,8.146,36.2,6.399,1.27
KIRK,100,7,9,134,1206,100,55,145,81,148,19152,3197,16.69,238,7.444,43.7,6.284,1.18
KIRK,150,2,9,134,1206,97,59,131,80,133,7092,1554,21.91,193,12.42,31.7,8.571,1.45
KIRK,150,3,9,134,1206,102,60,139,82,141,9504,1891,19.9,221,11.687,37.2,8.497,1.38
KIRK,150,5,9,134,1206,113,61,150,83,153,14328,2541,17.73,281,11.059,48.6,8.494,1.3
KIRK,150,7,9,134,1206,122,63,160,83,163,19152,3197,16.69,327,10.228,59.2,8.475,1.21
