tail,day,year,era,airport,airport_name,is_kilg,lat,lon,first,last,gpts,sources,match_class,w2_in_radius,w2_mi,w2_gap,w2_event,w2_arr,w2_city,w2_state,w2_class,w2_charlie,w2_erika,w2_certainty,na_events_within_0d,w0_mi,w0_gap,w0_event,na_events_within_1d,w1_mi,w1_gap,w1_event,na_events_within_2d,w2_mi,w2_gap,w2_event,na_events_within_3d,w3_mi,w3_gap,w3_event,na_events_within_7d,w7_mi,w7_gap,w7_event
T7-ELL,2022-02-01,2022,BEFORE_DEATH,KTUS,Tucson International Airport,no,32.11632,-110.94379,2022-02-01T00:31:19.700000Z,2022-02-01T00:38:19.300000Z,49,adsbexchange-samples,NO_NA_EVENT_WITHIN_2D,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,
SU-BTT,2022-06-01,2022,BEFORE_DEATH,KILG,Wilmington Airport,yes,39.67459,-75.60039,2022-06-01T00:00:00Z,2022-06-01T00:01:25.400000Z,9,adsbexchange-samples,FAR_GT250MI,no,1279.3,1,20220602_grapevine,KDFW,Grapevine,TX,CHARLIE_ONLY,yes,not_documented,EVENT_DATE,0,,,,1,1279.3,1,20220602_grapevine,1,1279.3,1,20220602_grapevine,1,1279.3,1,20220602_grapevine,1,1279.3,1,20220602_grapevine
T7-ELL,2022-08-01,2022,BEFORE_DEATH,KLAX,Los Angeles International Airport,no,33.93585,-118.38771,2022-08-01T00:08:18.570000Z,2022-08-01T00:14:08.500000Z,73,adsbexchange-samples,NO_NA_EVENT_WITHIN_2D,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,
T7-ELL,2022-08-01,2022,BEFORE_DEATH,KTUS,Tucson International Airport,no,32.11634,-110.94521,2022-08-01T01:36:39.570000Z,2022-08-01T01:41:41.010000Z,86,adsbexchange-samples,NO_NA_EVENT_WITHIN_2D,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,
SU-BTT,2022-09-01,2022,BEFORE_DEATH,KICT,Wichita Dwight D. Eisenhower National Airport,no,37.65583,-97.42283,2022-09-01T16:33:26.990000Z,2022-09-01T16:59:21.900000Z,159,adsbexchange-samples,NO_NA_EVENT_WITHIN_2D,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,
T7-ELL,2022-09-01,2022,BEFORE_DEATH,KLAX,Los Angeles International Airport,no,33.93576,-118.38702,2022-09-01T02:08:02.330000Z,2022-09-01T02:16:34.620000Z,90,adsbexchange-samples,NO_NA_EVENT_WITHIN_2D,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,
SU-BTT,2023-03-02,2023,BEFORE_DEATH,KILG,Wilmington Airport,yes,39.67353,-75.60168,2023-03-02T15:34:06.270000Z,2023-03-02T15:34:27.830000Z,2,"adsb-lol,airplanes-live",FAR_GT250MI,no,2435.3,1,20230301_santa_barbara,KSBA,Santa Barbara,CA,CHARLIE_ONLY,yes,not_documented,EVENT_DATE,0,,,,1,2435.3,1,20230301_santa_barbara,1,2435.3,1,20230301_santa_barbara,1,2435.3,1,20230301_santa_barbara,3,490.4,6,20230308_lexington
SU-BTU,2023-03-13,2023,BEFORE_DEATH,KILG,Wilmington Airport,yes,39.67472,-75.60173,2023-03-13T16:34:51.760000Z,2023-03-13T16:40:08.120000Z,4,"adsb-lol,airplanes-live",FAR_GT250MI,no,2446.8,1,20230314_davis,KSMF,Davis,CA,CHARLIE_ONLY,yes,not_documented,EVENT_DATE,0,,,,1,2446.8,1,20230314_davis,1,2446.8,1,20230314_davis,1,2446.8,1,20230314_davis,3,490.4,5,20230308_lexington
T7-ELL,2023-03-29,2023,BEFORE_DEATH,KLAX,Los Angeles International Airport,no,33.93542,-118.39812,2023-03-29T03:41:22.910000Z,2023-03-29T03:43:35.610000Z,9,airplanes-live,FAR_GT250MI,no,1215.3,2,20230327_fort_worth,KFTW,Fort Worth,TX,CHARLIE_ONLY,yes,not_documented,EVENT_DATE,0,,,,0,,,,1,1215.3,2,20230327_fort_worth,1,1215.3,2,20230327_fort_worth,3,1215.3,2,20230327_fort_worth
SU-BTT,2023-04-20,2023,BEFORE_DEATH,KILG,Wilmington Airport,yes,39.67448,-75.6018,2023-04-20T17:04:07.390000Z,2023-04-20T17:04:30.200000Z,2,"adsb-lol,airplanes-live",NO_NA_EVENT_WITHIN_2D,,,,,,,,,,,,0,,,,0,,,,0,,,,1,1072.2,3,20230423_topeka,1,1072.2,3,20230423_topeka
SU-BTT,2023-04-21,2023,BEFORE_DEATH,KILG,Wilmington Airport,yes,39.67191,-75.60353,2023-04-21T11:58:55.880000Z,2023-04-21T11:59:08.940000Z,3,airplanes-live,FAR_GT250MI,no,1072.1,2,20230423_topeka,KFOE,Topeka,KS,TPUSA_NO_KIRK,no,no,EVENT_DATE,0,,,,0,,,,1,1072.1,2,20230423_topeka,1,1072.1,2,20230423_topeka,1,1072.1,2,20230423_topeka
SU-BTU,2023-05-01,2023,BEFORE_DEATH,KBGR,Bangor International Airport,no,44.80578,-68.82145,2023-05-01T17:49:35.070000Z,2023-05-01T17:53:54.720000Z,49,adsbexchange-samples,FAR_GT250MI,no,1117.0,0,20230500_nashville,KBNA,Nashville,TN,CHARLIE_ONLY,yes,not_documented,EVENT_DATE,2,1117.0,0,20230500_nashville,2,1117.0,0,20230500_nashville,2,1117.0,0,20230500_nashville,2,1117.0,0,20230500_nashville,2,1117.0,0,20230500_nashville
SU-BTU,2023-05-01,2023,BEFORE_DEATH,KBGR,Bangor International Airport,no,44.81602,-68.83497,2023-05-01T18:40:30.590000Z,2023-05-01T18:45:23.570000Z,48,adsbexchange-samples,FAR_GT250MI,no,1116.7,0,20230500_nashville,KBNA,Nashville,TN,CHARLIE_ONLY,yes,not_documented,EVENT_DATE,2,1116.7,0,20230500_nashville,2,1116.7,0,20230500_nashville,2,1116.7,0,20230500_nashville,2,1116.7,0,20230500_nashville,2,1116.7,0,20230500_nashville
SU-BTU,2023-05-01,2023,BEFORE_DEATH,KBGR,Bangor International Airport,no,44.81985,-68.84128,2023-05-01T18:44:03.590000Z,2023-05-01T18:45:11.180000Z,20,"adsb-lol,airplanes-live",FAR_GT250MI,no,1116.6,0,20230500_nashville,KBNA,Nashville,TN,CHARLIE_ONLY,yes,not_documented,EVENT_DATE,2,1116.6,0,20230500_nashville,2,1116.6,0,20230500_nashville,2,1116.6,0,20230500_nashville,2,1116.6,0,20230500_nashville,2,1116.6,0,20230500_nashville
SU-BTU,2023-05-06,2023,BEFORE_DEATH,KILG,Wilmington Airport,yes,39.67422,-75.6016,2023-05-06T15:18:28.030000Z,2023-05-06T15:19:25.270000Z,4,"adsb-lol,airplanes-live",FAR_GT250MI,no,658.0,0,20230500_nashville,KBNA,Nashville,TN,CHARLIE_ONLY,yes,not_documented,EVENT_DATE,2,658.0,0,20230500_nashville,2,658.0,0,20230500_nashville,2,658.0,0,20230500_nashville,2,658.0,0,20230500_nashville,2,658.0,0,20230500_nashville
SU-BTU,2023-05-26,2023,BEFORE_DEATH,KILG,Wilmington Airport,yes,39.67348,-75.60111,2023-05-26T16:07:10.100000Z,2023-05-26T16:07:10.530000Z,2,adsb-lol,FAR_GT250MI,no,658.1,0,20230500_nashville,KBNA,Nashville,TN,CHARLIE_ONLY,yes,not_documented,EVENT_DATE,2,658.1,0,20230500_nashville,2,658.1,0,20230500_nashville,2,658.1,0,20230500_nashville,2,658.1,0,20230500_nashville,2,658.1,0,20230500_nashville
SU-BTU,2023-05-28,2023,BEFORE_DEATH,KILG,Wilmington Airport,yes,39.67043,-75.60371,2023-05-28T11:31:13.820000Z,2023-05-28T11:34:06.130000Z,8,"adsb-lol,airplanes-live",FAR_GT250MI,no,657.9,0,20230500_nashville,KBNA,Nashville,TN,CHARLIE_ONLY,yes,not_documented,EVENT_DATE,2,657.9,0,20230500_nashville,2,657.9,0,20230500_nashville,2,657.9,0,20230500_nashville,2,657.9,0,20230500_nashville,2,657.9,0,20230500_nashville
SU-BTU,2023-07-17,2023,BEFORE_DEATH,KILG,Wilmington Airport,yes,39.67601,-75.60164,2023-07-17T11:43:30Z,2023-07-17T11:45:37.520000Z,9,"adsb-lol,airplanes-live",FAR_GT250MI,no,930.6,1,20230715_west_palm_beach,KPBI,West Palm Beach,FL,CHARLIE_ONLY,yes,not_documented,EVENT_DATE,0,,,,1,930.6,1,20230715_west_palm_beach,1,930.6,1,20230715_west_palm_beach,2,930.6,1,20230715_west_palm_beach,2,930.6,1,20230715_west_palm_beach
T7-ELL,2023-09-01,2023,BEFORE_DEATH,KLAX,Los Angeles International Airport,no,33.93539,-118.39007,2023-09-01T14:41:22.200000Z,2023-09-01T14:46:54.220000Z,104,adsbexchange-samples,NO_NA_EVENT_WITHIN_2D,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,1,1279.2,7,20230825_lincoln
T7-ELL,2023-09-01,2023,BEFORE_DEATH,KLAX,Los Angeles International Airport,no,33.93443,-118.39819,2023-09-01T19:02:07.790000Z,2023-09-01T19:05:13.940000Z,58,adsbexchange-samples,NO_NA_EVENT_WITHIN_2D,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,1,1279.6,7,20230825_lincoln
SU-BTV,2023-09-26,2023,BEFORE_DEATH,KILG,Wilmington Airport,yes,39.67523,-75.60172,2023-09-26T11:52:31.670000Z,2023-09-26T11:52:55.360000Z,4,"adsb-lol,airplanes-live",FAR_GT250MI,no,2048.6,1,20230927_tempe,KPHX,Tempe,AZ,CHARLIE_ONLY,yes,not_documented,EVENT_DATE,0,,,,1,2048.6,1,20230927_tempe,1,2048.6,1,20230927_tempe,1,2048.6,1,20230927_tempe,3,1986.9,7,20230919_flagstaff
SU-BTU,2023-10-13,2023,BEFORE_DEATH,KILG,Wilmington Airport,yes,39.67341,-75.60164,2023-10-13T16:29:09.230000Z,2023-10-13T16:29:09.230000Z,1,"adsb-lol,airplanes-live",FAR_GT250MI,no,636.2,1,20231012_atlanta,KATL,Atlanta,GA,TPUSA_NO_KIRK,no,no,EVENT_DATE,0,,,,1,636.2,1,20231012_atlanta,1,636.2,1,20231012_atlanta,2,636.2,1,20231012_atlanta,4,636.2,1,20231012_atlanta
SU-BTT,2024-02-09,2024,BEFORE_DEATH,KLNK,Lincoln Airport,no,40.85203,-96.75084,2024-02-09T18:39:38.690000Z,2024-02-09T18:39:38.690000Z,1,airplanes-live,NO_NA_EVENT_WITHIN_2D,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,1,1047.8,5,20240129_las_vegas
SU-BND,2024-04-19,2024,BEFORE_DEATH,KSLC,Salt Lake City International Airport,no,40.78333,-111.96075,2024-04-19T20:03:15.300000Z,2024-04-19T20:07:56.960000Z,2,"adsb-lol,airplanes-live",NO_NA_EVENT_WITHIN_2D,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,1,5.6,4,20240423_salt_lake_city
