tail,date,group,classification,adsb_lol_http,tails_asked_of_adsb_lol_that_day,tails_adsb_lol_served_that_day,al_trace_points,region,median_lat,median_lon,adsb_lol_github_release,aircraft_in_that_release,al_file,adsb_lol_url,retrieved_utc
CONTROL-LUFTHANSA,2023-02-07,CONTROL_AIRLINER,ADSB_LOL_ARCHIVE_ABSENT_THAT_DAY,404,14,0,2530,EUROPE,49.171,10.206,NO_RELEASE_FOR_THIS_DATE,0,CONTROL-LUFTHANSA/data/recovered/CONTROL-LUFTHANSA_2023-02-07_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2023/02/07/traces/44/trace_full_3c6444.json,2026-08-24T22:34:49Z
CONTROL-LUFTHANSA,2023-02-09,CONTROL_AIRLINER,ADSB_LOL_ARCHIVE_ABSENT_THAT_DAY,404,14,0,3513,EUROPE,50.781,10.783,NO_RELEASE_FOR_THIS_DATE,0,CONTROL-LUFTHANSA/data/recovered/CONTROL-LUFTHANSA_2023-02-09_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2023/02/09/traces/44/trace_full_3c6444.json,2026-08-26T18:10:59Z
CONTROL-LUFTHANSA,2023-02-10,CONTROL_AIRLINER,ARCHIVE_COVERAGE_GAP_WHOLE_DAY,404,14,0,3357,EUROPE,51.878,11.009,NOT_SWEPT,,CONTROL-LUFTHANSA/data/recovered/CONTROL-LUFTHANSA_2023-02-10_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2023/02/10/traces/44/trace_full_3c6444.json,2026-08-26T18:11:01Z
CONTROL-LUFTHANSA,2023-02-11,CONTROL_AIRLINER,ARCHIVE_COVERAGE_GAP_WHOLE_DAY,404,8,0,1453,EUROPE,48.102,11.809,NOT_SWEPT,,CONTROL-LUFTHANSA/data/recovered/CONTROL-LUFTHANSA_2023-02-11_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2023/02/11/traces/44/trace_full_3c6444.json,2026-08-26T18:11:03Z
CONTROL-LUFTHANSA,2024-03-22,CONTROL_AIRLINER,ONE_ARCHIVE_ONLY,404,14,3,354,EUROPE,46.671,11.199,SWEPT,19803,CONTROL-LUFTHANSA/data/recovered/CONTROL-LUFTHANSA_2024-03-22_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2024/03/22/traces/44/trace_full_3c6444.json,2026-08-26T18:14:25Z
CONTROL-LUFTHANSA,2025-10-14,CONTROL_AIRLINER,RETENTION_SERVING_BOUNDARY,403,14,0,4656,EUROPE,49.995,9.287,NOT_SWEPT,,CONTROL-LUFTHANSA/data/recovered/CONTROL-LUFTHANSA_2025-10-14_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2025/10/14/traces/44/trace_full_3c6444.json,2026-08-24T22:37:32Z
CONTROL-LUFTHANSA,2025-10-22,CONTROL_AIRLINER,RETENTION_SERVING_BOUNDARY,403,14,0,3982,EUROPE,50.204,11.107,SWEPT,73154,CONTROL-LUFTHANSA/data/recovered/CONTROL-LUFTHANSA_2025-10-22_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2025/10/22/traces/44/trace_full_3c6444.json,2026-08-24T22:37:34Z
CONTROL-LUFTHANSA,2025-10-31,CONTROL_AIRLINER,RETENTION_SERVING_BOUNDARY,403,14,0,6055,EUROPE,50.059,9.018,NOT_SWEPT,,CONTROL-LUFTHANSA/data/recovered/CONTROL-LUFTHANSA_2025-10-31_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2025/10/31/traces/44/trace_full_3c6444.json,2026-08-24T22:37:37Z
CONTROL-RYANAIR,2023-02-09,CONTROL_AIRLINER,ADSB_LOL_ARCHIVE_ABSENT_THAT_DAY,404,14,0,370,EUROPE,39.589,2.035,NO_RELEASE_FOR_THIS_DATE,0,CONTROL-RYANAIR/data/recovered/CONTROL-RYANAIR_2023-02-09_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2023/02/09/traces/b5/trace_full_4ca7b5.json,2026-08-26T18:01:30Z
CONTROL-RYANAIR,2023-02-10,CONTROL_AIRLINER,ARCHIVE_COVERAGE_GAP_WHOLE_DAY,404,14,0,1311,EUROPE,40.078,0.932,NOT_SWEPT,,CONTROL-RYANAIR/data/recovered/CONTROL-RYANAIR_2023-02-10_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2023/02/10/traces/b5/trace_full_4ca7b5.json,2026-08-26T18:01:32Z
CONTROL-RYANAIR,2023-02-11,CONTROL_AIRLINER,ARCHIVE_COVERAGE_GAP_WHOLE_DAY,404,8,0,49,EUROPE,38.626,-1.868,NOT_SWEPT,,CONTROL-RYANAIR/data/recovered/CONTROL-RYANAIR_2023-02-11_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2023/02/11/traces/b5/trace_full_4ca7b5.json,2026-08-26T18:01:34Z
CONTROL-RYANAIR,2023-03-31,CONTROL_AIRLINER,ONE_ARCHIVE_ONLY,404,14,2,2217,EUROPE,49.356,4.622,NOT_SWEPT,,CONTROL-RYANAIR/data/recovered/CONTROL-RYANAIR_2023-03-31_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2023/03/31/traces/b5/trace_full_4ca7b5.json,2026-08-26T18:02:05Z
CONTROL-RYANAIR,2025-06-19,CONTROL_AIRLINER,ONE_ARCHIVE_ONLY,404,8,1,1800,EUROPE,49.704,6.586,NOT_SWEPT,,CONTROL-RYANAIR/data/recovered/CONTROL-RYANAIR_2025-06-19_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2025/06/19/traces/b5/trace_full_4ca7b5.json,2026-08-26T18:08:59Z
N102DZ,2023-02-06,US_PRIVATE,ARCHIVE_COVERAGE_GAP_WHOLE_DAY,404,12,0,330,USA,30.7,-81.847,NOT_SWEPT,,N102DZ/data/recovered/N102DZ_2023-02-06_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2023/02/06/traces/85/trace_full_a00c85.json,2026-08-24T20:47:41Z
N102DZ,2023-02-08,US_PRIVATE,ADSB_LOL_ARCHIVE_ABSENT_THAT_DAY,404,12,0,335,USA,29.719,-81.54,NO_RELEASE_FOR_THIS_DATE,0,N102DZ/data/recovered/N102DZ_2023-02-08_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2023/02/08/traces/85/trace_full_a00c85.json,2026-08-24T20:47:44Z
N102DZ,2023-03-25,US_PRIVATE,ONE_ARCHIVE_ONLY,404,12,2,101,OTHER,35.989,139.013,NOT_SWEPT,,N102DZ/data/recovered/N102DZ_2023-03-25_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2023/03/25/traces/85/trace_full_a00c85.json,2026-08-24T20:48:30Z
N102DZ,2023-03-31,US_PRIVATE,ONE_ARCHIVE_ONLY,404,14,2,101,OTHER,34.957,138.412,NOT_SWEPT,,N102DZ/data/recovered/N102DZ_2023-03-31_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2023/03/31/traces/85/trace_full_a00c85.json,2026-08-24T20:48:38Z
N102DZ,2024-02-04,US_PRIVATE,ARCHIVE_COVERAGE_GAP_WHOLE_DAY,404,12,0,297,OTHER,-34.409,-59.254,SWEPT,45226,N102DZ/data/recovered/N102DZ_2024-02-04_airplanes-live_trace_full.json.gz,https://adsb.lol/globe_history/2024/02/04/traces/85/trace_full_a00c85.json,2026-08-24T20:52:42Z
