event_date,event_city,event_state,kirk_side_tails,following_side_tails,n1098l_side_tails,n_tails
2022-06-02,Grapevine,TX,N888KG,,,1
2023-09-13,San Diego,CA,N582MM,,,1
2023-09-14,San Diego,CA,N582MM,,,1
2023-09-27,Tempe,AZ,N560TW|N582MM,,,2
2023-12-16,Phoenix,AZ,N560TW|N582MM,,,2
2023-12-17,Phoenix,AZ,N582MM,,,1
2023-12-18,Phoenix,AZ,N560TW|N582MM,,,2
2024-03-14,Fullerton,CA,N582MM,,,1
2024-03-18,San Diego,CA,N582MM,,,1
2024-03-19,Phoenix,AZ,N560TW|N582MM,,,2
2024-03-19,Pittsburgh,PA,N582MM,,,1
2024-03-21,Las Vegas,NV,N582MM,,,1
2024-04-23,Salt Lake City,UT,N582MM|N888KG,SU-BTT,,3
2024-06-07,San Antonio,TX,N582MM,,,1
2024-06-14,Detroit,MI,N582MM,,,1
2024-09-03,Phoenix,AZ,N560TW|N582MM,,,2
2024-09-05,Madison,WI,N582MM,,,1
2024-09-10,Boulder,CO,N582MM|N872RA,,,2
2024-09-11,Denton,TX,N582MM,,,1
2024-09-18,Pittsburgh,PA,N582MM,,,1
2024-09-19,University Park,PA,N582MM,,,1
2024-09-30,Missoula,MT,N582MM,,,1
2024-10-11,Corvallis,OR,N582MM,,,1
2024-10-21,Atlanta,GA,N582MM,,,1
2024-10-21,Chapel Hill,NC,N582MM,,,1
2024-10-23,Duluth,GA,N582MM,,,1
2024-10-24,Las Vegas,NV,N582MM,,,1
2024-10-28,Phoenix,AZ,N560TW|N582MM,,,2
2024-12-19,Phoenix,AZ,N560TW|N582MM|N872RA,,,3
2024-12-20,Phoenix,AZ,N560TW|N582MM,,,2
2024-12-21,Phoenix,AZ,N582MM,,,1
2024-12-22,Phoenix,AZ,N582MM|N872RA,,,2
2025-02-18,Phoenix,AZ,N560TW|N582MM,,,2
2025-02-19,Phoenix,AZ,N582MM,,,1
2025-02-20,Tampa,FL,N582MM,,,1
2025-03-03,Los Angeles,CA,N582MM|N872RA,,,2
2025-03-13,Knoxville,TN,N582MM,,,1
2025-03-18,Gainesville,GA,N582MM,,,1
2025-05-01,San Diego,CA,N40JD|N582MM|N872RA,,,3
2025-05-06,San Francisco,CA,N582MM,,,1
2025-06-13,Grapevine,TX,N582MM,,,1
2025-06-14,Grapevine,TX,N582MM,,,1
2025-07-12,Tampa,FL,N582MM,,,1
2025-08-06,Rancho Palos Verdes,CA,N582MM,,,1
2025-08-08,Rancho Palos Verdes,CA,N582MM,,,1
2025-09-10,Orem,UT,N102DZ|N40JD|N560TW|N582MM|N872RA|N888KG,SU-BND|SU-BTT,N59906,9
2025-09-18,Fort Collins,CO,N582MM,,,1
2025-09-21,Glendale,AZ,N102DZ|N40JD|N560TW,,,3
