date,city,state,charlie,erika,who,matched,tails_asked,tails_held,kirk_held,following_held
2022-01-04,Phoenix,AZ,yes,not_documented,Charlie,no,12,0,0,0
2022-02-16,St. Charles,IL,yes,not_documented,Charlie,no,12,0,0,0
2022-03-29,Colorado Springs,CO,yes,not_documented,Charlie,no,12,0,0,0
2022-03-30,Fayetteville,AR,yes,not_documented,Charlie,no,12,0,0,0
2022-03-31,Auburn,AL,yes,not_documented,Charlie,no,12,4,4,0
2022-04-03,St. Louis,MO,yes,not_documented,Charlie,no,12,0,0,0
2022-04-12,Boulder,CO,yes,not_documented,Charlie,no,12,0,0,0
2022-04-13,Berkeley,CA,yes,not_documented,Charlie,no,12,0,0,0
2022-04-14,Fullerton,CA,yes,not_documented,Charlie,no,12,0,0,0
2022-04-20,Milwaukee,WI,yes,not_documented,Charlie,no,12,0,0,0
2022-06-02,Grapevine,TX,yes,not_documented,Charlie,yes,13,5,3,1
2022-06-03,Grapevine,TX,yes,not_documented,Charlie,no,12,0,0,0
2022-06-04,Grapevine,TX,yes,not_documented,Charlie,no,12,0,0,0
2022-07-22,Tampa,FL,yes,not_documented,Charlie,no,12,0,0,0
2022-07-23,Tampa,FL,yes,not_documented,Charlie,no,12,0,0,0
2022-07-24,Tampa,FL,yes,not_documented,Charlie,no,12,0,0,0
2022-08-10,San Diego,CA,yes,not_documented,Charlie,no,12,0,0,0
2022-08-11,San Diego,CA,yes,not_documented,Charlie,no,12,0,0,0
2022-08-12,San Diego,CA,yes,not_documented,Charlie,no,12,0,0,0
2022-08-14,Phoenix,AZ,yes,not_documented,Charlie,no,12,0,0,0
2022-09-16,Phoenix,AZ,yes,not_documented,Charlie,no,12,0,0,0
2022-09-17,Phoenix,AZ,yes,not_documented,Charlie,no,12,0,0,0
2022-10-03,Newark,DE,no,no,TPUSA,no,12,0,0,0
2022-10-10,Phoenix,AZ,yes,not_documented,Charlie,no,12,0,0,0
2022-10-12,Austin,TX,yes,not_documented,Charlie,no,12,0,0,0
2022-10-13,East Lansing,MI,no,no,TPUSA,no,12,0,0,0
2022-10-17,Fargo,ND,no,no,TPUSA,no,12,0,0,0
2022-10-18,Kansas City,MO,yes,not_documented,Charlie,no,12,0,0,0
2022-10-20,Tallahassee,FL,yes,not_documented,Charlie,no,12,0,0,0
2022-10-25,Charlotte,NC,yes,not_documented,Charlie,no,12,0,0,0
2022-11-30,Albuquerque,NM,yes,not_documented,Charlie,no,13,4,2,1
2022-12-17,Phoenix,AZ,yes,not_documented,Charlie,no,12,0,0,0
2022-12-18,Phoenix,AZ,yes,not_documented,Charlie,no,12,0,0,0
2022-12-19,Phoenix,AZ,yes,not_documented,Charlie,no,12,0,0,0
2022-12-20,Phoenix,AZ,yes,not_documented,Charlie,no,12,0,0,0
2023-02-08,Tempe,AZ,yes,not_documented,Charlie,no,12,5,4,1
2023-03-01,Santa Barbara,CA,yes,not_documented,Charlie,no,13,4,2,1
2023-03-08,Lexington,KY,yes,not_documented,Charlie,no,12,4,3,1
2023-03-09,Chicago,IL,yes,not_documented,Charlie,no,12,4,4,0
2023-03-14,Davis,CA,yes,not_documented,Charlie,no,12,4,2,2
2023-03-21,Baton Rouge,LA,no,no,TPUSA,no,13,4,3,0
2023-03-21,New Brunswick,NJ,no,no,TPUSA,no,13,4,3,0
2023-03-22,Columbus,OH,yes,not_documented,Charlie,no,13,5,4,0
2023-03-27,Fort Worth,TX,yes,not_documented,Charlie,no,12,4,2,2
2023-04-02,Jefferson City,MO,no,no,TPUSA,no,13,4,2,1
2023-04-23,Topeka,KS,no,no,TPUSA,no,12,2,2,0
2023-06-09,Grapevine,TX,yes,not_documented,Charlie,no,12,4,3,1
2023-06-10,Grapevine,TX,yes,not_documented,Charlie,no,12,5,2,3
2023-06-11,Grapevine,TX,yes,not_documented,Charlie,no,12,5,2,3
2023-06-17,Deerfield,IL,yes,not_documented,Charlie,no,12,4,3,1
2023-06-18,Deerfield,IL,yes,not_documented,Charlie,no,12,4,3,1
2023-06-19,Deerfield,IL,yes,not_documented,Charlie,no,12,2,2,0
2023-07-12,West Palm Beach,FL,yes,not_documented,Charlie,no,12,5,1,4
2023-07-13,West Palm Beach,FL,yes,not_documented,Charlie,no,12,7,3,4
2023-07-14,West Palm Beach,FL,yes,not_documented,Charlie,no,12,7,4,3
2023-07-15,West Palm Beach,FL,yes,not_documented,Charlie,no,12,6,4,2
2023-07-16,West Palm Beach,FL,yes,not_documented,Charlie,no,12,5,3,2
2023-08-25,Lincoln,NE,yes,not_documented,Charlie,no,13,7,4,2
2023-09-13,San Diego,CA,yes,not_documented,Charlie,yes,12,2,2,0
2023-09-14,San Diego,CA,yes,not_documented,Charlie,yes,12,2,2,0
2023-09-15,San Diego,CA,yes,not_documented,Charlie,no,12,2,2,0
2023-09-19,Flagstaff,AZ,yes,not_documented,Charlie,no,12,6,2,4
2023-09-27,Tempe,AZ,yes,not_documented,Charlie,yes,12,4,3,1
2023-10-02,San Jose,CA,yes,not_documented,Charlie,no,13,4,2,1
2023-10-10,Orlando,FL,yes,not_documented,Charlie,no,12,3,3,0
2023-10-12,Atlanta,GA,no,no,TPUSA,no,12,4,3,1
2023-10-18,San Antonio,TX,yes,not_documented,Charlie,no,13,7,3,3
2023-10-19,Springfield,MO,yes,not_documented,Charlie,no,13,6,3,2
2023-10-25,Buffalo,NY,no,no,TPUSA,no,12,6,2,4
2023-11-09,Los Angeles,CA,yes,not_documented,Charlie,no,13,4,2,1
2023-12-16,Phoenix,AZ,yes,not_documented,Charlie,yes,13,4,2,1
2023-12-17,Phoenix,AZ,yes,not_documented,Charlie,yes,13,3,1,1
2023-12-18,Phoenix,AZ,yes,not_documented,Charlie,yes,13,5,2,2
2023-12-19,Phoenix,AZ,yes,not_documented,Charlie,no,14,5,2,1
2024-01-29,Las Vegas,NV,yes,not_documented,Charlie,no,13,4,3,0
2024-01-30,Las Vegas,NV,yes,not_documented,Charlie,no,14,5,3,0
2024-01-31,Las Vegas,NV,yes,not_documented,Charlie,no,15,5,2,0
2024-02-01,Las Vegas,NV,yes,not_documented,Charlie,no,15,5,2,0
2024-02-02,Las Vegas,NV,yes,not_documented,Charlie,no,15,5,2,0
2024-02-03,Las Vegas,NV,yes,not_documented,Charlie,no,12,2,2,0
2024-02-04,Las Vegas,NV,yes,not_documented,Charlie,no,13,2,1,0
2024-03-06,Chapel Hill,NC,no,no,TPUSA,no,13,7,4,2
2024-03-07,San Luis Obispo,CA,yes,not_documented,Charlie,no,13,7,5,1
2024-03-14,Fullerton,CA,yes,not_documented,Charlie,yes,14,7,4,1
2024-03-18,San Diego,CA,yes,not_documented,Charlie,yes,13,6,4,1
