side,registry,tail,date,airport,airport_name,airport_city,median_km_from_field,ground_points,ground_segments,first_seen_utc,last_seen_utc,event_city,event_state,event_date,event_offset_days,event_who,event_title,charlie_sourced_present,erika_sourced_present,miles_to_event_city,archives_holding,archives_agreeing,ledger_verdict,adsb_lol_403_band,visit_only_in_non_adsblol_archive,adsb_lol_held_the_day,needed_wayback_or_github_backup,event_page
kirk,United States,N888KG,2022-06-01,KDAL,Dallas Love Field,Dallas,1.57,16,1,2022-06-01T00:00:00Z,2022-06-01T00:03:51.500000Z,Grapevine,TX,2022-06-02,1,Charlie,Young Women's Leadership Summit 2022,yes,not_documented,13.84,adsbexchange-samples,1,HELD_BY_ADSBEXCHANGE-SAMPLES,no,yes,no,no,site/docs/Planes/following/speaking/20220602_grapevine.mdx
kirk,United States,N582MM,2023-09-14,KSAN,San Diego International Airport,San Diego,0.22,24,1,2023-09-14T23:23:19.340000Z,2023-09-14T23:30:00.090000Z,San Diego,CA,2023-09-13,-1,Charlie,TPUSA Faith Pastors Summit — San Diego (second 2023 summit),yes,not_documented,6.45,adsb-lol|airplanes-live,2,BOTH_HAVE_IT,no,no,yes,no,site/docs/Planes/following/speaking/20230913_san_diego.mdx
kirk,United States,N582MM,2023-09-15,KSAN,San Diego International Airport,San Diego,1.23,4,1,2023-09-15T22:15:58.400000Z,2023-09-15T22:16:14.210000Z,San Diego,CA,2023-09-14,-1,Charlie,TPUSA Faith Pastors Summit — San Diego (second 2023 summit),yes,not_documented,6.32,airplanes-live,1,BOTH_HAVE_IT,no,yes,yes,no,site/docs/Planes/following/speaking/20230913_san_diego.mdx
kirk,United States,N560TW,2023-09-28,KSDL,Scottsdale Airport,Scottsdale,1.11,6,1,2023-09-28T16:15:20.020000Z,2023-09-28T16:18:20.840000Z,Tempe,AZ,2023-09-27,-1,Charlie,Live Free Tour — Arizona State University,yes,not_documented,16.74,adsb-lol|airplanes-live,2,BOTH_HAVE_IT,no,no,yes,no,site/docs/Planes/following/speaking/20230927_tempe.mdx
kirk,United States,N582MM,2023-09-28,KPHX,Phoenix Sky Harbor International Airport,Phoenix,0.69,86,2,2023-09-28T22:43:49.690000Z,2023-09-28T23:27:30.900000Z,Tempe,AZ,2023-09-27,-1,Charlie,Live Free Tour — Arizona State University,yes,not_documented,5.08,adsb-lol|airplanes-live,2,BOTH_HAVE_IT,no,no,yes,no,site/docs/Planes/following/speaking/20230927_tempe.mdx
kirk,United States,N560TW,2023-12-15,KSDL,Scottsdale Airport,Scottsdale,0.09,17,1,2023-12-15T00:16:36.350000Z,2023-12-15T00:18:11.920000Z,Phoenix,AZ,2023-12-16,1,Charlie,AmericaFest 2023,yes,not_documented,10.93,adsb-lol|airplanes-live,2,BOTH_HAVE_IT,no,no,yes,no,site/docs/Planes/following/speaking/20231216_phoenix.mdx
kirk,United States,N582MM,2023-12-16,KSDL,Scottsdale Airport,Scottsdale,0.42,35,3,2023-12-16T16:44:57.860000Z,2023-12-16T19:43:31.840000Z,Phoenix,AZ,2023-12-16,0,Charlie,AmericaFest 2023,yes,not_documented,11.14,adsb-lol|airplanes-live,2,BOTH_HAVE_IT,no,no,yes,no,site/docs/Planes/following/speaking/20231216_phoenix.mdx
kirk,United States,N582MM,2023-12-17,KSDL,Scottsdale Airport,Scottsdale,0.37,87,1,2023-12-17T05:01:00.650000Z,2023-12-17T05:29:30.750000Z,Phoenix,AZ,2023-12-16,-1,Charlie,AmericaFest 2023,yes,not_documented,10.71,adsb-lol|airplanes-live,2,BOTH_HAVE_IT,no,no,yes,no,site/docs/Planes/following/speaking/20231216_phoenix.mdx
kirk,United States,N582MM,2023-12-18,KPHX,Phoenix Sky Harbor International Airport,Phoenix,2.15,34,2,2023-12-18T15:13:54Z,2023-12-18T18:49:45.010000Z,Phoenix,AZ,2023-12-17,-1,Charlie,AmericaFest 2023,yes,not_documented,10.71,adsb-lol|airplanes-live,2,BOTH_HAVE_IT,no,no,yes,no,site/docs/Planes/following/speaking/20231216_phoenix.mdx
kirk,United States,N560TW,2023-12-19,KSDL,Scottsdale Airport,Scottsdale,1.23,23,1,2023-12-19T19:30:43.660000Z,2023-12-19T19:37:06.250000Z,Phoenix,AZ,2023-12-18,-1,Charlie,AmericaFest 2023,yes,not_documented,11.59,adsb-lol|airplanes-live,2,BOTH_HAVE_IT,no,no,yes,no,site/docs/Planes/following/speaking/20231216_phoenix.mdx
kirk,United States,N582MM,2023-12-19,KDVT,Phoenix Deer Valley Airport,Phoenix,0.29,1,1,2023-12-19T21:13:57.650000Z,2023-12-19T21:13:57.650000Z,Phoenix,AZ,2023-12-18,-1,Charlie,AmericaFest 2023,yes,not_documented,7.92,adsb-lol|airplanes-live,2,BOTH_HAVE_IT,no,no,yes,no,site/docs/Planes/following/speaking/20231216_phoenix.mdx
kirk,United States,N582MM,2024-03-14,KSNA,John Wayne Orange County International Airport,Santa Ana,0.25,12,1,2024-03-14T19:11:34.940000Z,2024-03-14T19:12:45.950000Z,Fullerton,CA,2024-03-14,0,Charlie,Prove Me Wrong — Cal State Fullerton,yes,not_documented,14.84,adsb-lol|airplanes-live,2,BOTH_HAVE_IT,no,no,yes,no,site/docs/Planes/following/speaking/20240314_fullerton.mdx
kirk,United States,N560TW,2024-03-18,KSDL,Scottsdale Airport,Scottsdale,0.17,77,2,2024-03-18T14:39:34.920000Z,2024-03-18T17:43:16.230000Z,Phoenix,AZ,2024-03-19,1,Charlie,The Kids Who Will Win Back America — TPUSA new-hire speech,yes,not_documented,10.98,adsb-lol|airplanes-live,2,BOTH_HAVE_IT,no,no,yes,no,site/docs/Planes/following/speaking/20240319_phoenix.mdx
kirk,United States,N582MM,2024-03-19,KAGC,Allegheny County Airport,Pittsburgh,0.44,16,1,2024-03-19T20:46:37.110000Z,2024-03-19T21:10:25.790000Z,Pittsburgh,PA,2024-03-19,0,TPUSA,Live Free Tour — University of Pittsburgh (Candace Owens),no,no,6.54,adsb-lol|airplanes-live,2,BOTH_HAVE_IT,no,no,yes,no,site/docs/Planes/following/speaking/20240319_pittsburgh.mdx
kirk,United States,N582MM,2024-03-19,KSAN,San Diego International Airport,San Diego,0.97,28,2,2024-03-19T02:53:22.120000Z,2024-03-19T04:06:26.260000Z,San Diego,CA,2024-03-18,-1,Charlie,Live Free / Prove Me Wrong — San Diego State University,yes,not_documented,6.19,adsb-lol|airplanes-live,2,BOTH_HAVE_IT,no,no,yes,no,site/docs/Planes/following/speaking/20240318_san_diego.mdx
kirk,United States,N582MM,2024-03-19,KSDL,Scottsdale Airport,Scottsdale,0.13,28,1,2024-03-19T04:59:38.760000Z,2024-03-19T05:24:03.050000Z,Phoenix,AZ,2024-03-19,0,Charlie,The Kids Who Will Win Back America — TPUSA new-hire speech,yes,not_documented,10.88,adsb-lol|airplanes-live,2,BOTH_HAVE_IT,no,no,yes,no,site/docs/Planes/following/speaking/20240319_phoenix.mdx
kirk,United States,N582MM,2024-03-21,KLAS,Harry Reid International Airport,Las Vegas,1.54,39,1,2024-03-21T19:10:23.910000Z,2024-03-21T19:18:55.800000Z,Las Vegas,NV,2024-03-21,0,Charlie,Campus event — UNLV,yes,not_documented,12.01,adsb-lol|airplanes-live,2,BOTH_HAVE_IT,no,no,yes,no,site/docs/Planes/following/speaking/20240321_las_vegas.mdx
kirk,United States,N582MM,2024-04-23,KSLC,Salt Lake City International Airport,Salt Lake City,2.01,13,1,2024-04-23T17:24:37.110000Z,2024-04-23T17:26:27.260000Z,Salt Lake City,UT,2024-04-23,0,Charlie,Prove Me Wrong — University of Utah,yes,not_documented,1.53,adsb-lol|airplanes-live,2,BOTH_HAVE_IT,no,no,yes,no,site/docs/Planes/following/speaking/20240423_salt_lake_city.mdx
kirk,United States,N888KG,2024-04-23,KPVU,Provo Municipal Airport,Provo,0.26,54,1,2024-04-23T15:24:09.870000Z,2024-04-23T15:46:58.430000Z,Salt Lake City,UT,2024-04-23,0,Charlie,Prove Me Wrong — University of Utah,yes,not_documented,40.09,adsb-lol|airplanes-live,2,BOTH_HAVE_IT,no,no,yes,no,site/docs/Planes/following/speaking/20240423_salt_lake_city.mdx
following,Egypt,SU-BTT,2024-04-23,KPVU,Provo Municipal Airport,Provo,0.58,53,1,2024-04-23T18:12:52.950000Z,2024-04-23T18:18:45.150000Z,Salt Lake City,UT,2024-04-23,0,Charlie,Prove Me Wrong — University of Utah,yes,not_documented,39.73,adsb-lol|airplanes-live,2,BOTH_HAVE_IT,no,no,yes,no,site/docs/Planes/following/speaking/20240423_salt_lake_city.mdx
kirk,United States,N582MM,2024-04-24,KSLC,Salt Lake City International Airport,Salt Lake City,2.38,15,1,2024-04-24T03:15:10.530000Z,2024-04-24T03:18:47.830000Z,Salt Lake City,UT,2024-04-23,-1,Charlie,Prove Me Wrong — University of Utah,yes,not_documented,1.57,adsb-lol|airplanes-live,2,BOTH_HAVE_IT,no,no,yes,no,site/docs/Planes/following/speaking/20240423_salt_lake_city.mdx
kirk,United States,N582MM,2024-06-07,KSAT,San Antonio International Airport,San Antonio,1.49,98,2,2024-06-07T15:11:14.050000Z,2024-06-07T21:15:29.070000Z,San Antonio,TX,2024-06-07,0,Charlie,Young Women's Leadership Summit 2024,yes,not_documented,5.78,adsb-lol,1,BOTH_HAVE_IT,no,no,yes,no,site/docs/Planes/following/speaking/20240607_san_antonio.mdx
kirk,United States,N582MM,2024-06-08,KSAT,San Antonio International Airport,San Antonio,1.51,265,2,2024-06-08T01:21:33.790000Z,2024-06-08T03:16:40.410000Z,San Antonio,TX,2024-06-07,-1,Charlie,Young Women's Leadership Summit 2024,yes,not_documented,5.71,adsb-lol|airplanes-live,2,BOTH_HAVE_IT,no,no,yes,no,site/docs/Planes/following/speaking/20240607_san_antonio.mdx
kirk,United States,N582MM,2024-06-15,KDTW,Detroit Metropolitan Wayne County Airport,Detroit,1.39,38,1,2024-06-15T20:25:34.790000Z,2024-06-15T20:29:09.970000Z,Detroit,MI,2024-06-14,-1,Charlie,Turning Point Action People's Convention,yes,not_documented,16.55,adsb-lol|airplanes-live,2,BOTH_HAVE_IT,no,no,yes,no,site/docs/Planes/following/speaking/20240614_detroit.mdx
kirk,United States,N560TW,2024-09-03,KSDL,Scottsdale Airport,Scottsdale,0.2,195,1,2024-09-03T00:06:40.150000Z,2024-09-03T00:35:36.820000Z,Phoenix,AZ,2024-09-03,0,Charlie,The Key Pillars of America — TPUSA new-hire speech,yes,not_documented,10.99,adsb-lol|airplanes-live,2,BOTH_HAVE_IT,no,no,yes,no,site/docs/Planes/following/speaking/20240903_phoenix.mdx
kirk,United States,N560TW,2024-09-04,KSDL,Scottsdale Airport,Scottsdale,0.11,54,1,2024-09-04T23:06:35.230000Z,2024-09-04T23:08:40.970000Z,Phoenix,AZ,2024-09-03,-1,Charlie,The Key Pillars of America — TPUSA new-hire speech,yes,not_documented,10.88,adsb-lol|airplanes-live,2,BOTH_HAVE_IT,no,no,yes,no,site/docs/Planes/following/speaking/20240903_phoenix.mdx
kirk,United States,N582MM,2024-09-04,KPHX,Phoenix Sky Harbor International Airport,Phoenix,1.92,4,1,2024-09-04T16:47:27.350000Z,2024-09-04T16:48:04.740000Z,Phoenix,AZ,2024-09-03,-1,Charlie,The Key Pillars of America — TPUSA new-hire speech,yes,not_documented,10.68,adsb-lol|airplanes-live,2,BOTH_HAVE_IT,no,no,yes,no,site/docs/Planes/following/speaking/20240903_phoenix.mdx
kirk,United States,N582MM,2024-09-05,KMSN,Dane County Regional Truax Field,Madison,0.38,1,1,2024-09-05T05:16:02.440000Z,2024-09-05T05:16:02.440000Z,Madison,WI,2024-09-05,0,Charlie,You're Being Brainwashed Tour — UW-Madison,yes,not_documented,6.12,adsb-lol,1,BOTH_HAVE_IT,no,no,yes,no,site/docs/Planes/following/speaking/20240905_madison.mdx
kirk,United States,N582MM,2024-09-10,KBJC,Rocky Mountain Metropolitan Airport,Denver,0.4,336,2,2024-09-10T17:28:33.540000Z,2024-09-10T21:17:53.030000Z,Boulder,CO,2024-09-10,0,Charlie,You're Being Brainwashed Tour — UC Boulder,yes,not_documented,10.45,adsb-lol|airplanes-live,2,BOTH_HAVE_IT,no,no,yes,no,site/docs/Planes/following/speaking/20240910_boulder.mdx
kirk,United States,N872RA,2024-09-10,KAPA,Centennial Airport,Denver,0.18,11,1,2024-09-10T18:02:48.850000Z,2024-09-10T18:04:16.830000Z,Boulder,CO,2024-09-10,0,Charlie,You're Being Brainwashed Tour — UC Boulder,yes,not_documented,37.87,adsb-lol|airplanes-live,2,BOTH_HAVE_IT,no,no,yes,no,site/docs/Planes/following/speaking/20240910_boulder.mdx
kirk,United States,N582MM,2024-09-11,KDAL,Dallas Love Field,Dallas,0.75,4,1,2024-09-11T18:48:32.460000Z,2024-09-11T18:51:46.990000Z,Denton,TX,2024-09-11,0,Charlie,You're Being Brainwashed Tour — University of North Texas,yes,not_documented,30.4,adsb-lol|airplanes-live,2,BOTH_HAVE_IT,no,no,yes,no,site/docs/Planes/following/speaking/20240911_denton.mdx
kirk,United States,N872RA,2024-09-11,KAPA,Centennial Airport,Denver,1.19,39,1,2024-09-11T13:55:03.630000Z,2024-09-11T14:36:22.200000Z,Boulder,CO,2024-09-10,-1,Charlie,You're Being Brainwashed Tour — UC Boulder,yes,not_documented,37.31,adsb-lol|airplanes-live,2,BOTH_HAVE_IT,no,no,yes,no,site/docs/Planes/following/speaking/20240910_boulder.mdx
