side,registry,tail,archive_days_asked,archive_days_held,archive_days_asked_and_empty,ground_visits,ground_visit_days,proximity_rows,proximity_days,distinct_events,distinct_airports,closest_ever_miles_to_an_event_city
control,control airliner (Europe),CONTROL-LUFTHANSA,258,202,56,934,169,0,0,0,,3584.9
control,control airliner (Europe),CONTROL-RYANAIR,258,202,56,622,163,0,0,0,,3269.9
following,Egypt,SU-BTT,1020,92,928,22,19,2,2,2,KPVU,5.0
following,Egypt,SU-BND,987,99,888,30,22,2,2,1,KPVU,4.9
following,San Marino,T7-ELL,996,140,856,122,76,0,0,0,,607.3
following,Egypt,SU-BTV,978,85,893,17,16,0,0,0,,2048.6
following,Egypt,SU-BGM,976,48,928,11,9,0,0,0,,1302.0
following,Egypt,SU-BTU,978,86,892,18,15,0,0,0,,636.2
kirk,United States,N582MM,573,323,250,664,276,59,53,46,KAGC|KATL|KBJC|KDAL|KDFW|KDTW|KDVT|KEUG|KHHR|KLAL|KLAS|KLGB|KLZU|KMSN|KMSO|KPHX|KPVU|KRDU|KSAN|KSAT|KSDL|KSFO|KSLC|KSNA|KTOA|KTPA|KTYS|KUNV,1.5
kirk,United States,N560TW,586,198,388,372,184,15,15,11,KPVU|KSDL,5.4
kirk,United States,N872RA,604,227,377,591,215,10,9,6,KAPA|KCRQ|KPHX|KPVU|KSAN|KSDL|KSLC|KVNY,5.5
kirk,United States,N102DZ,602,182,420,286,144,5,4,2,KPVU|KSDL|KSLC,5.2
kirk,United States,N40JD,564,98,466,188,78,4,4,3,KPVU|KSAN|KSDL,5.5
kirk,United States,N888KG,568,97,471,113,75,3,3,3,KDAL|KPVU,5.1
n1098l,United States,N59906,48,48,0,65,34,1,1,1,KPVU,5.5
n1098l,United States,N1098L,63,63,0,85,41,0,0,0,,125.0
n1098l,United States,N2100L,45,45,0,74,35,0,0,0,,477.6
