tail,utc_date,arrive_utc_date,gap_days,origin,origin_name,origin_km_from_field,depart_after_utc,dest,dest_name,dest_km_from_field,arrive_by_utc,archives,ledger_verdict,arrive_day_verdict,unobserved_days_inside_leg,recovered_from_backup_only,crosses_utc_midnight,confidence,near_sourced_event
N560TW,2022-01-01,2022-01-01,0,KSDL,Scottsdale Airport,0.88,2022-01-01T00:10:07.800000Z,KRIL,Garfield County Regional Airport,0.09,2022-01-01T01:49:22.600000Z,adsbexchange-samples,HELD_BY_ADSBEXCHANGE-SAMPLES,HELD_BY_ADSBEXCHANGE-SAMPLES,0,yes,no,direct,
N560TW,2022-01-01,2022-01-01,0,KRIL,Garfield County Regional Airport,0.63,2022-01-01T03:43:18.800000Z,KSDL,Scottsdale Airport,0.09,2022-01-01T04:43:17.400000Z,adsbexchange-samples,HELD_BY_ADSBEXCHANGE-SAMPLES,HELD_BY_ADSBEXCHANGE-SAMPLES,0,yes,no,direct,
N560TW,2022-02-01,2022-04-01,59,KSDL,Scottsdale Airport,0.98,2022-02-01T00:06:22.200000Z,KJAC,Jackson Hole Airport,0.75,2022-04-01T00:00:00Z,adsbexchange-samples,HELD_BY_ADSBEXCHANGE-SAMPLES,HELD_BY_ADSBEXCHANGE-SAMPLES,58,yes,yes,GAP -- aircraft unobserved for 58 day(s) between these two fields; intermediate stops are possible and are NOT ruled out,
T7-ELL,2022-02-01,2022-08-01,181,KTUS,Tucson International Airport,0.56,2022-02-01T00:38:19.300000Z,KLAX,Los Angeles International Airport,2.01,2022-08-01T00:08:18.570000Z,adsbexchange-samples,HELD_BY_ADSBEXCHANGE-SAMPLES,HELD_BY_ADSBEXCHANGE-SAMPLES,180,yes,yes,GAP -- aircraft unobserved for 180 day(s) between these two fields; intermediate stops are possible and are NOT ruled out,
N888KG,2022-03-01,2022-04-01,31,KTEB,Teterboro Airport,0.67,2022-03-01T00:25:52Z,KPBI,President Donald J. Trump International Airport,0.77,2022-04-01T00:00:00Z,adsbexchange-samples,HELD_BY_ADSBEXCHANGE-SAMPLES,HELD_BY_ADSBEXCHANGE-SAMPLES,30,yes,yes,GAP -- aircraft unobserved for 30 day(s) between these two fields; intermediate stops are possible and are NOT ruled out,
N560TW,2022-04-01,2022-04-01,0,KJAC,Jackson Hole Airport,0.75,2022-04-01T00:00:56.600000Z,KSDL,Scottsdale Airport,0.09,2022-04-01T01:31:23.800000Z,adsbexchange-samples,HELD_BY_ADSBEXCHANGE-SAMPLES,HELD_BY_ADSBEXCHANGE-SAMPLES,0,yes,no,direct,
N582MM,2022-04-01,2022-04-01,0,KVGT,North Las Vegas Airport,0.88,2022-04-01T00:13:40.600000Z,KTUS,Tucson International Airport,1.66,2022-04-01T01:07:25.600000Z,adsbexchange-samples,HELD_BY_ADSBEXCHANGE-SAMPLES,HELD_BY_ADSBEXCHANGE-SAMPLES,0,yes,no,direct,
N582MM,2022-04-01,2022-04-01,0,KTUS,Tucson International Airport,1.66,2022-04-01T01:32:38.900000Z,KMEV,Minden-Tahoe Airport,0.72,2022-04-01T03:13:01.100000Z,adsbexchange-samples,HELD_BY_ADSBEXCHANGE-SAMPLES,HELD_BY_ADSBEXCHANGE-SAMPLES,0,yes,no,direct,
N582MM,2022-04-01,2023-03-08,341,KMEV,Minden-Tahoe Airport,0.72,2022-04-01T03:17:35.300000Z,KIWA,Mesa Gateway Airport,1.32,2023-03-08T13:53:04.790000Z,adsbexchange-samples|airplanes-live,HELD_BY_ADSBEXCHANGE-SAMPLES,BOTH_HAVE_IT,340,yes,yes,GAP -- aircraft unobserved for 340 day(s) between these two fields; intermediate stops are possible and are NOT ruled out,
N872RA,2022-04-01,2022-04-01,0,KAUS,Austin Bergstrom International Airport,1.38,2022-04-01T00:16:52.400000Z,KSNA,John Wayne Orange County International Airport,0.13,2022-04-01T03:23:52.800000Z,adsbexchange-samples,HELD_BY_ADSBEXCHANGE-SAMPLES,HELD_BY_ADSBEXCHANGE-SAMPLES,0,yes,no,direct,
N872RA,2022-04-01,2022-12-01,244,KSNA,John Wayne Orange County International Airport,0.13,2022-04-01T03:25:39.700000Z,KSDL,Scottsdale Airport,1.13,2022-12-01T19:50:30.140000Z,adsbexchange-samples,HELD_BY_ADSBEXCHANGE-SAMPLES,HELD_BY_ADSBEXCHANGE-SAMPLES,243,yes,yes,GAP -- aircraft unobserved for 243 day(s) between these two fields; intermediate stops are possible and are NOT ruled out,
N888KG,2022-04-01,2022-06-01,61,KPBI,President Donald J. Trump International Airport,0.77,2022-04-01T00:01:23.800000Z,KDAL,Dallas Love Field,1.57,2022-06-01T00:00:00Z,adsbexchange-samples,HELD_BY_ADSBEXCHANGE-SAMPLES,HELD_BY_ADSBEXCHANGE-SAMPLES,60,yes,yes,GAP -- aircraft unobserved for 60 day(s) between these two fields; intermediate stops are possible and are NOT ruled out,"dest|Grapevine,TX|2022-06-02|Charlie|13.8"
