sweep_date,circle_key,circle_kind,city,state,event_date,offset_days,who,entering,on_ground,notable_ground_all,notable_ground_excl_airliner
2023-03-13,20230314_davis,event,Davis,CA,2023-03-14,-1,Charlie,959,101,21,21
2023-03-13,control_albuquerque,control,Albuquerque,NM,,0,CONTROL — no known Kirk/TPUSA event,937,110,9,8
2023-03-13,control_chattanooga,control,Chattanooga,TN,,0,CONTROL — no known Kirk/TPUSA event,920,0,0,0
2023-03-13,control_des_moines,control,Des Moines,IA,,0,CONTROL — no known Kirk/TPUSA event,737,0,0,0
2023-03-13,control_shreveport,control,Shreveport,LA,,0,CONTROL — no known Kirk/TPUSA event,548,0,0,0
2023-03-13,control_spokane,control,Spokane,WA,,0,CONTROL — no known Kirk/TPUSA event,295,3,0,0
2023-03-13,control_syracuse,control,Syracuse,NY,,0,CONTROL — no known Kirk/TPUSA event,563,0,0,0
2023-03-14,20230314_davis,event,Davis,CA,2023-03-14,0,Charlie,817,58,10,9
2023-03-14,control_albuquerque,control,Albuquerque,NM,,0,CONTROL — no known Kirk/TPUSA event,1069,145,20,17
2023-03-14,control_chattanooga,control,Chattanooga,TN,,0,CONTROL — no known Kirk/TPUSA event,889,0,0,0
2023-03-14,control_des_moines,control,Des Moines,IA,,0,CONTROL — no known Kirk/TPUSA event,855,0,0,0
2023-03-14,control_shreveport,control,Shreveport,LA,,0,CONTROL — no known Kirk/TPUSA event,507,0,0,0
2023-03-14,control_spokane,control,Spokane,WA,,0,CONTROL — no known Kirk/TPUSA event,336,6,4,4
2023-03-14,control_syracuse,control,Syracuse,NY,,0,CONTROL — no known Kirk/TPUSA event,482,0,0,0
2023-03-15,20230314_davis,event,Davis,CA,2023-03-14,1,Charlie,1254,152,20,20
2023-03-15,control_albuquerque,control,Albuquerque,NM,,0,CONTROL — no known Kirk/TPUSA event,1144,136,15,12
2023-03-15,control_chattanooga,control,Chattanooga,TN,,0,CONTROL — no known Kirk/TPUSA event,940,0,0,0
2023-03-15,control_des_moines,control,Des Moines,IA,,0,CONTROL — no known Kirk/TPUSA event,798,0,0,0
2023-03-15,control_shreveport,control,Shreveport,LA,,0,CONTROL — no known Kirk/TPUSA event,539,0,0,0
2023-03-15,control_spokane,control,Spokane,WA,,0,CONTROL — no known Kirk/TPUSA event,353,4,2,2
2023-03-15,control_syracuse,control,Syracuse,NY,,0,CONTROL — no known Kirk/TPUSA event,590,0,0,0
2023-03-20,20230321_baton_rouge,event,Baton Rouge,LA,2023-03-21,-1,TPUSA,793,3,0,0
2023-03-20,20230321_new_brunswick,event,New Brunswick,NJ,2023-03-21,-1,TPUSA,3045,813,121,90
2023-03-20,control_albuquerque,control,Albuquerque,NM,,0,CONTROL — no known Kirk/TPUSA event,957,108,12,10
2023-03-20,control_chattanooga,control,Chattanooga,TN,,0,CONTROL — no known Kirk/TPUSA event,893,0,0,0
2023-03-20,control_des_moines,control,Des Moines,IA,,0,CONTROL — no known Kirk/TPUSA event,800,0,0,0
2023-03-20,control_shreveport,control,Shreveport,LA,,0,CONTROL — no known Kirk/TPUSA event,488,0,0,0
2023-03-20,control_spokane,control,Spokane,WA,,0,CONTROL — no known Kirk/TPUSA event,329,9,2,2
2023-03-20,control_syracuse,control,Syracuse,NY,,0,CONTROL — no known Kirk/TPUSA event,679,0,0,0
2023-03-21,20230321_baton_rouge,event,Baton Rouge,LA,2023-03-21,0,TPUSA,788,4,0,0
2023-03-21,20230321_new_brunswick,event,New Brunswick,NJ,2023-03-21,0,TPUSA,3161,842,128,88
2023-03-21,20230322_columbus,event,Columbus,OH,2023-03-22,-1,Charlie,1145,14,1,1
2023-03-21,control_albuquerque,control,Albuquerque,NM,,0,CONTROL — no known Kirk/TPUSA event,860,110,20,18
2023-03-21,control_chattanooga,control,Chattanooga,TN,,0,CONTROL — no known Kirk/TPUSA event,958,0,0,0
2023-03-21,control_des_moines,control,Des Moines,IA,,0,CONTROL — no known Kirk/TPUSA event,815,0,0,0
2023-03-21,control_shreveport,control,Shreveport,LA,,0,CONTROL — no known Kirk/TPUSA event,474,0,0,0
2023-03-21,control_spokane,control,Spokane,WA,,0,CONTROL — no known Kirk/TPUSA event,354,3,2,2
2023-03-21,control_syracuse,control,Syracuse,NY,,0,CONTROL — no known Kirk/TPUSA event,633,0,0,0
2023-03-22,20230321_baton_rouge,event,Baton Rouge,LA,2023-03-21,1,TPUSA,736,2,1,1
2023-03-22,20230321_new_brunswick,event,New Brunswick,NJ,2023-03-21,1,TPUSA,3131,678,119,82
2023-03-22,20230322_columbus,event,Columbus,OH,2023-03-22,0,Charlie,1081,5,0,0
2023-03-22,control_albuquerque,control,Albuquerque,NM,,0,CONTROL — no known Kirk/TPUSA event,890,114,22,18
2023-03-22,control_chattanooga,control,Chattanooga,TN,,0,CONTROL — no known Kirk/TPUSA event,951,0,0,0
2023-03-22,control_des_moines,control,Des Moines,IA,,0,CONTROL — no known Kirk/TPUSA event,765,0,0,0
2023-03-22,control_shreveport,control,Shreveport,LA,,0,CONTROL — no known Kirk/TPUSA event,504,0,0,0
2023-03-22,control_spokane,control,Spokane,WA,,0,CONTROL — no known Kirk/TPUSA event,374,4,1,1
2023-03-22,control_syracuse,control,Syracuse,NY,,0,CONTROL — no known Kirk/TPUSA event,579,0,0,0
2023-03-23,20230322_columbus,event,Columbus,OH,2023-03-22,1,Charlie,1101,1,1,1
2023-03-23,control_albuquerque,control,Albuquerque,NM,,0,CONTROL — no known Kirk/TPUSA event,1127,100,14,10
2023-03-23,control_chattanooga,control,Chattanooga,TN,,0,CONTROL — no known Kirk/TPUSA event,1196,0,0,0
2023-03-23,control_des_moines,control,Des Moines,IA,,0,CONTROL — no known Kirk/TPUSA event,803,0,0,0
2023-03-23,control_shreveport,control,Shreveport,LA,,0,CONTROL — no known Kirk/TPUSA event,589,0,0,0
2023-03-23,control_spokane,control,Spokane,WA,,0,CONTROL — no known Kirk/TPUSA event,319,4,1,1
2023-03-23,control_syracuse,control,Syracuse,NY,,0,CONTROL — no known Kirk/TPUSA event,597,0,0,0
2023-03-26,20230327_fort_worth,event,Fort Worth,TX,2023-03-27,-1,Charlie,2317,58,17,17
2023-03-26,control_albuquerque,control,Albuquerque,NM,,0,CONTROL — no known Kirk/TPUSA event,931,53,3,1
2023-03-26,control_chattanooga,control,Chattanooga,TN,,0,CONTROL — no known Kirk/TPUSA event,971,0,0,0
2023-03-26,control_des_moines,control,Des Moines,IA,,0,CONTROL — no known Kirk/TPUSA event,678,0,0,0
2023-03-26,control_shreveport,control,Shreveport,LA,,0,CONTROL — no known Kirk/TPUSA event,486,0,0,0
2023-03-26,control_spokane,control,Spokane,WA,,0,CONTROL — no known Kirk/TPUSA event,295,7,1,1
2023-03-26,control_syracuse,control,Syracuse,NY,,0,CONTROL — no known Kirk/TPUSA event,587,0,0,0
2023-03-27,20230327_fort_worth,event,Fort Worth,TX,2023-03-27,0,Charlie,2100,34,11,11
2023-03-27,control_albuquerque,control,Albuquerque,NM,,0,CONTROL — no known Kirk/TPUSA event,937,111,16,14
2023-03-27,control_chattanooga,control,Chattanooga,TN,,0,CONTROL — no known Kirk/TPUSA event,929,0,0,0
2023-03-27,control_des_moines,control,Des Moines,IA,,0,CONTROL — no known Kirk/TPUSA event,679,0,0,0
2023-03-27,control_shreveport,control,Shreveport,LA,,0,CONTROL — no known Kirk/TPUSA event,343,0,0,0
2023-03-27,control_spokane,control,Spokane,WA,,0,CONTROL — no known Kirk/TPUSA event,332,7,5,5
2023-03-27,control_syracuse,control,Syracuse,NY,,0,CONTROL — no known Kirk/TPUSA event,607,0,0,0
2023-03-28,20230327_fort_worth,event,Fort Worth,TX,2023-03-27,1,Charlie,523,20,2,2
2023-03-28,control_albuquerque,control,Albuquerque,NM,,0,CONTROL — no known Kirk/TPUSA event,276,37,5,4
2023-03-28,control_chattanooga,control,Chattanooga,TN,,0,CONTROL — no known Kirk/TPUSA event,228,0,0,0
2023-03-28,control_des_moines,control,Des Moines,IA,,0,CONTROL — no known Kirk/TPUSA event,180,0,0,0
2023-03-28,control_shreveport,control,Shreveport,LA,,0,CONTROL — no known Kirk/TPUSA event,150,0,0,0
2023-03-28,control_spokane,control,Spokane,WA,,0,CONTROL — no known Kirk/TPUSA event,87,0,0,0
2023-03-28,control_syracuse,control,Syracuse,NY,,0,CONTROL — no known Kirk/TPUSA event,144,0,0,0
2023-04-01,20230402_jefferson_city,event,Jefferson City,MO,2023-04-02,-1,TPUSA,608,0,0,0
2023-04-01,control_albuquerque,control,Albuquerque,NM,,0,CONTROL — no known Kirk/TPUSA event,1024,135,17,15
2023-04-01,control_chattanooga,control,Chattanooga,TN,,0,CONTROL — no known Kirk/TPUSA event,880,0,0,0
2023-04-01,control_des_moines,control,Des Moines,IA,,0,CONTROL — no known Kirk/TPUSA event,616,0,0,0
2023-04-01,control_shreveport,control,Shreveport,LA,,0,CONTROL — no known Kirk/TPUSA event,679,0,0,0
2023-04-01,control_spokane,control,Spokane,WA,,0,CONTROL — no known Kirk/TPUSA event,265,1,0,0
2023-04-01,control_syracuse,control,Syracuse,NY,,0,CONTROL — no known Kirk/TPUSA event,549,0,0,0
2023-04-02,20230402_jefferson_city,event,Jefferson City,MO,2023-04-02,0,TPUSA,404,0,0,0
2023-04-02,control_albuquerque,control,Albuquerque,NM,,0,CONTROL — no known Kirk/TPUSA event,721,65,4,2
2023-04-02,control_chattanooga,control,Chattanooga,TN,,0,CONTROL — no known Kirk/TPUSA event,696,0,0,0
2023-04-02,control_des_moines,control,Des Moines,IA,,0,CONTROL — no known Kirk/TPUSA event,452,1,1,1
2023-04-02,control_shreveport,control,Shreveport,LA,,0,CONTROL — no known Kirk/TPUSA event,477,0,0,0
2023-04-02,control_spokane,control,Spokane,WA,,0,CONTROL — no known Kirk/TPUSA event,194,1,1,1
2023-04-02,control_syracuse,control,Syracuse,NY,,0,CONTROL — no known Kirk/TPUSA event,416,0,0,0
2023-04-03,20230402_jefferson_city,event,Jefferson City,MO,2023-04-02,1,TPUSA,234,0,0,0
2023-04-03,control_albuquerque,control,Albuquerque,NM,,0,CONTROL — no known Kirk/TPUSA event,322,31,3,2
2023-04-03,control_chattanooga,control,Chattanooga,TN,,0,CONTROL — no known Kirk/TPUSA event,288,0,0,0
2023-04-03,control_des_moines,control,Des Moines,IA,,0,CONTROL — no known Kirk/TPUSA event,248,0,0,0
2023-04-03,control_shreveport,control,Shreveport,LA,,0,CONTROL — no known Kirk/TPUSA event,247,0,0,0
2023-04-03,control_spokane,control,Spokane,WA,,0,CONTROL — no known Kirk/TPUSA event,109,0,0,0
2023-04-03,control_syracuse,control,Syracuse,NY,,0,CONTROL — no known Kirk/TPUSA event,225,0,0,0
2023-04-22,20230423_topeka,event,Topeka,KS,2023-04-23,-1,TPUSA,550,0,0,0
2023-04-22,control_albuquerque,control,Albuquerque,NM,,0,CONTROL — no known Kirk/TPUSA event,858,126,14,12
2023-04-22,control_chattanooga,control,Chattanooga,TN,,0,CONTROL — no known Kirk/TPUSA event,874,0,0,0
2023-04-22,control_des_moines,control,Des Moines,IA,,0,CONTROL — no known Kirk/TPUSA event,662,2,0,0
2023-04-22,control_shreveport,control,Shreveport,LA,,0,CONTROL — no known Kirk/TPUSA event,599,0,0,0
2023-04-22,control_spokane,control,Spokane,WA,,0,CONTROL — no known Kirk/TPUSA event,319,8,3,3
2023-04-22,control_syracuse,control,Syracuse,NY,,0,CONTROL — no known Kirk/TPUSA event,680,0,0,0
2023-04-23,20230423_topeka,event,Topeka,KS,2023-04-23,0,TPUSA,527,0,0,0
2023-04-23,control_albuquerque,control,Albuquerque,NM,,0,CONTROL — no known Kirk/TPUSA event,1005,114,12,11
2023-04-23,control_chattanooga,control,Chattanooga,TN,,0,CONTROL — no known Kirk/TPUSA event,923,0,0,0
2023-04-23,control_des_moines,control,Des Moines,IA,,0,CONTROL — no known Kirk/TPUSA event,750,1,0,0
2023-04-23,control_shreveport,control,Shreveport,LA,,0,CONTROL — no known Kirk/TPUSA event,686,0,0,0
2023-04-23,control_spokane,control,Spokane,WA,,0,CONTROL — no known Kirk/TPUSA event,303,3,0,0
2023-04-23,control_syracuse,control,Syracuse,NY,,0,CONTROL — no known Kirk/TPUSA event,639,0,0,0
2023-04-24,20230423_topeka,event,Topeka,KS,2023-04-23,1,TPUSA,640,0,0,0
2023-04-24,control_albuquerque,control,Albuquerque,NM,,0,CONTROL — no known Kirk/TPUSA event,981,120,14,13
2023-04-24,control_chattanooga,control,Chattanooga,TN,,0,CONTROL — no known Kirk/TPUSA event,934,0,0,0
2023-04-24,control_des_moines,control,Des Moines,IA,,0,CONTROL — no known Kirk/TPUSA event,794,0,0,0
2023-04-24,control_shreveport,control,Shreveport,LA,,0,CONTROL — no known Kirk/TPUSA event,652,0,0,0
2023-04-24,control_spokane,control,Spokane,WA,,0,CONTROL — no known Kirk/TPUSA event,316,9,4,4
2023-04-24,control_syracuse,control,Syracuse,NY,,0,CONTROL — no known Kirk/TPUSA event,576,0,0,0
2023-06-08,20230609_grapevine,event,Grapevine,TX,2023-06-09,-1,Charlie,2362,743,87,43
2023-06-08,control_albuquerque,control,Albuquerque,NM,,0,CONTROL — no known Kirk/TPUSA event,1168,159,26,24
2023-06-08,control_chattanooga,control,Chattanooga,TN,,0,CONTROL — no known Kirk/TPUSA event,979,0,0,0
2023-06-08,control_des_moines,control,Des Moines,IA,,0,CONTROL — no known Kirk/TPUSA event,924,0,0,0
2023-06-08,control_shreveport,control,Shreveport,LA,,0,CONTROL — no known Kirk/TPUSA event,875,0,0,0
2023-06-08,control_spokane,control,Spokane,WA,,0,CONTROL — no known Kirk/TPUSA event,419,9,1,1
2023-06-08,control_syracuse,control,Syracuse,NY,,0,CONTROL — no known Kirk/TPUSA event,737,0,0,0
2023-06-09,20230609_grapevine,event,Grapevine,TX,2023-06-09,0,Charlie,2497,569,41,13
2023-06-09,20230610_grapevine,event,Grapevine,TX,2023-06-10,-1,Charlie,2497,569,41,13
2023-06-09,control_albuquerque,control,Albuquerque,NM,,0,CONTROL — no known Kirk/TPUSA event,1163,151,15,14
2023-06-09,control_chattanooga,control,Chattanooga,TN,,0,CONTROL — no known Kirk/TPUSA event,999,0,0,0
2023-06-09,control_des_moines,control,Des Moines,IA,,0,CONTROL — no known Kirk/TPUSA event,910,0,0,0
2023-06-09,control_shreveport,control,Shreveport,LA,,0,CONTROL — no known Kirk/TPUSA event,883,0,0,0
2023-06-09,control_spokane,control,Spokane,WA,,0,CONTROL — no known Kirk/TPUSA event,347,13,3,3
2023-06-09,control_syracuse,control,Syracuse,NY,,0,CONTROL — no known Kirk/TPUSA event,714,0,0,0
2023-06-10,20230609_grapevine,event,Grapevine,TX,2023-06-09,1,Charlie,2006,468,35,9
2023-06-10,20230610_grapevine,event,Grapevine,TX,2023-06-10,0,Charlie,2006,468,35,9
2023-06-10,20230611_grapevine,event,Grapevine,TX,2023-06-11,-1,Charlie,2006,468,35,9
2023-06-10,control_albuquerque,control,Albuquerque,NM,,0,CONTROL — no known Kirk/TPUSA event,1133,154,16,14
2023-06-10,control_chattanooga,control,Chattanooga,TN,,0,CONTROL — no known Kirk/TPUSA event,1013,0,0,0
2023-06-10,control_des_moines,control,Des Moines,IA,,0,CONTROL — no known Kirk/TPUSA event,803,0,0,0
2023-06-10,control_shreveport,control,Shreveport,LA,,0,CONTROL — no known Kirk/TPUSA event,683,0,0,0
2023-06-10,control_spokane,control,Spokane,WA,,0,CONTROL — no known Kirk/TPUSA event,368,14,4,4
2023-06-10,control_syracuse,control,Syracuse,NY,,0,CONTROL — no known Kirk/TPUSA event,606,0,0,0
2023-06-11,20230610_grapevine,event,Grapevine,TX,2023-06-10,1,Charlie,2103,451,28,7
2023-06-11,20230611_grapevine,event,Grapevine,TX,2023-06-11,0,Charlie,2103,451,28,7
2023-06-11,control_albuquerque,control,Albuquerque,NM,,0,CONTROL — no known Kirk/TPUSA event,928,110,13,12
2023-06-11,control_chattanooga,control,Chattanooga,TN,,0,CONTROL — no known Kirk/TPUSA event,1103,0,0,0
2023-06-11,control_des_moines,control,Des Moines,IA,,0,CONTROL — no known Kirk/TPUSA event,838,1,0,0
2023-06-11,control_shreveport,control,Shreveport,LA,,0,CONTROL — no known Kirk/TPUSA event,765,1,0,0
2023-06-11,control_spokane,control,Spokane,WA,,0,CONTROL — no known Kirk/TPUSA event,419,10,4,4
2023-06-11,control_syracuse,control,Syracuse,NY,,0,CONTROL — no known Kirk/TPUSA event,679,0,0,0
2023-06-12,20230611_grapevine,event,Grapevine,TX,2023-06-11,1,Charlie,1852,548,41,14
2023-06-12,control_albuquerque,control,Albuquerque,NM,,0,CONTROL — no known Kirk/TPUSA event,970,132,28,27
2023-06-12,control_chattanooga,control,Chattanooga,TN,,0,CONTROL — no known Kirk/TPUSA event,881,0,0,0
2023-06-12,control_des_moines,control,Des Moines,IA,,0,CONTROL — no known Kirk/TPUSA event,841,0,0,0
2023-06-12,control_shreveport,control,Shreveport,LA,,0,CONTROL — no known Kirk/TPUSA event,1020,0,0,0
2023-06-12,control_spokane,control,Spokane,WA,,0,CONTROL — no known Kirk/TPUSA event,451,15,4,4
2023-06-12,control_syracuse,control,Syracuse,NY,,0,CONTROL — no known Kirk/TPUSA event,684,0,0,0
2023-06-16,20230617_deerfield,event,Deerfield,IL,2023-06-17,-1,Charlie,2458,133,7,7
2023-06-16,control_albuquerque,control,Albuquerque,NM,,0,CONTROL — no known Kirk/TPUSA event,1032,141,23,21
2023-06-16,control_chattanooga,control,Chattanooga,TN,,0,CONTROL — no known Kirk/TPUSA event,1064,0,0,0
