date,key,kind,city,state,entering,on_ground,tracked_fleet,milgov,foreign_civil,unregistered,tisb_artifact,pia_only,ladd_only,other
2023-03-13,20230314_davis,event,Davis,CA,959,101,0,7,0,0,0,0,14,0
2023-03-13,control_albuquerque,control,Albuquerque,NM,937,110,0,5,1,0,0,0,2,0
2023-03-13,control_chattanooga,control,Chattanooga,TN,920,0,0,0,0,0,0,0,0,0
2023-03-13,control_des_moines,control,Des Moines,IA,737,0,0,0,0,0,0,0,0,0
2023-03-13,control_shreveport,control,Shreveport,LA,548,0,0,0,0,0,0,0,0,0
2023-03-13,control_spokane,control,Spokane,WA,295,3,0,0,0,0,0,0,0,0
2023-03-13,control_syracuse,control,Syracuse,NY,563,0,0,0,0,0,0,0,0,0
2023-03-14,20230314_davis,event,Davis,CA,817,58,0,1,1,0,0,0,7,0
2023-03-14,control_albuquerque,control,Albuquerque,NM,1069,145,0,11,0,1,0,0,5,0
2023-03-14,control_chattanooga,control,Chattanooga,TN,889,0,0,0,0,0,0,0,0,0
2023-03-14,control_des_moines,control,Des Moines,IA,855,0,0,0,0,0,0,0,0,0
2023-03-14,control_shreveport,control,Shreveport,LA,507,0,0,0,0,0,0,0,0,0
2023-03-14,control_spokane,control,Spokane,WA,336,6,0,1,0,0,0,0,3,0
2023-03-14,control_syracuse,control,Syracuse,NY,482,0,0,0,0,0,0,0,0,0
2023-03-15,20230314_davis,event,Davis,CA,1254,152,0,7,0,0,0,0,13,0
2023-03-15,control_albuquerque,control,Albuquerque,NM,1144,136,0,6,0,0,0,0,6,0
2023-03-15,control_chattanooga,control,Chattanooga,TN,940,0,0,0,0,0,0,0,0,0
2023-03-15,control_des_moines,control,Des Moines,IA,798,0,0,0,0,0,0,0,0,0
2023-03-15,control_shreveport,control,Shreveport,LA,539,0,0,0,0,0,0,0,0,0
2023-03-15,control_spokane,control,Spokane,WA,353,4,0,0,0,0,0,0,2,0
2023-03-15,control_syracuse,control,Syracuse,NY,590,0,0,0,0,0,0,0,0,0
2023-03-20,20230321_baton_rouge,event,Baton Rouge,LA,793,3,0,0,0,0,0,0,0,0
2023-03-20,20230321_new_brunswick,event,New Brunswick,NJ,3045,813,0,2,8,2,3,0,67,0
2023-03-20,control_albuquerque,control,Albuquerque,NM,957,108,0,6,2,0,0,0,2,0
2023-03-20,control_chattanooga,control,Chattanooga,TN,893,0,0,0,0,0,0,0,0,0
2023-03-20,control_des_moines,control,Des Moines,IA,800,0,0,0,0,0,0,0,0,0
2023-03-20,control_shreveport,control,Shreveport,LA,488,0,0,0,0,0,0,0,0,0
2023-03-20,control_spokane,control,Spokane,WA,329,9,0,0,0,0,0,0,2,0
2023-03-20,control_syracuse,control,Syracuse,NY,679,0,0,0,0,0,0,0,0,0
2023-03-21,20230321_baton_rouge,event,Baton Rouge,LA,788,4,0,0,0,0,0,0,0,0
2023-03-21,20230321_new_brunswick,event,New Brunswick,NJ,3161,842,0,9,11,2,5,0,55,0
2023-03-21,20230322_columbus,event,Columbus,OH,1145,14,0,0,0,1,0,0,0,0
2023-03-21,control_albuquerque,control,Albuquerque,NM,860,110,0,10,0,0,0,0,8,0
2023-03-21,control_chattanooga,control,Chattanooga,TN,958,0,0,0,0,0,0,0,0,0
2023-03-21,control_des_moines,control,Des Moines,IA,815,0,0,0,0,0,0,0,0,0
