category,event_on_ground,control_on_ground,event_pct_of_event_on_ground,control_pct_of_control_on_ground,ratio
non_us_registration,1567,273,1.0201,0.5352,1.906
no_registration,2721,140,1.7713,0.2745,6.453
us_military_serial,675,1694,0.4394,3.3212,0.132
dbflag:military,1271,2019,0.8274,3.9584,0.209
dbflag:PIA,111,41,0.0723,0.0804,0.899
dbflag:LADD,11553,3373,7.5208,6.6129,1.137
non_icao_address,1947,31,1.2675,0.0608,20.854
government_operator_string,1118,1305,0.7278,2.5585,0.284
dbflag:interesting,3,0,0.002,0.0,
tracked_fleet,100,25,0.0651,0.049,1.328
