sweep_date,city,state,hex,reg,type,operator,year,flag_reasons,nearest_field,nearest_field_mi,closest_mi_to_city,points_in_circle,first_utc,last_utc
2023-03-13,Albuquerque,NM,ae29d7,09-6210,C30J,,,us_military_serial|dbflag:military,KABQ,1.9,4.17,235,2023-03-13T15:29:33.960000+00:00,2023-03-13T20:34:06.950000+00:00
2023-03-13,Albuquerque,NM,ae622b,69-6610,B212,,,us_military_serial|dbflag:military,KABQ,5.9,3.77,1110,2023-03-13T16:49:44.670000+00:00,2023-03-13T23:04:54.340000+00:00
2023-03-13,Albuquerque,NM,c025ef,C-FOJM,C182,101205601 Saskatchewan Ltd.,2008,non_us_registration,KAEG,0.3,8.01,171,2023-03-13T15:37:28.370000+00:00,2023-03-13T16:51:30.660000+00:00
2023-03-13,Albuquerque,NM,a6452a,N503AW,HROC,CSI AVIATION,,dbflag:LADD,KABQ,0.5,0.32,710,2023-03-13T02:32:51.480000+00:00,2023-03-13T23:59:56.590000+00:00
2023-03-13,Albuquerque,NM,a69c97,N525MC,C25B,MCCOY CORP,2008,dbflag:LADD,KABQ,0.7,4.42,116,2023-03-13T20:24:33.370000+00:00,2023-03-13T20:33:36.120000+00:00
2023-03-13,Albuquerque,NM,aab0e9,N7882N,C172,"UNITED STATES AIR FORCE, KIRTLAND AFB AERO CLUB OPERATOR",1967,government_operator_string,KABQ,0.6,2.24,1402,2023-03-13T13:58:18.760000+00:00,2023-03-13T17:27:36.520000+00:00
2023-03-13,Albuquerque,NM,ab4f15,N828FE,C208,FEDERAL EXPRESS CORPORATION,1988,government_operator_string,KABQ,0.4,0.53,1029,2023-03-13T17:43:48.570000+00:00,2023-03-13T21:24:37.860000+00:00
2023-03-13,Albuquerque,NM,ae13ea,,,,,no_registration|dbflag:military,KABQ,1.2,5.03,15,2023-03-13T17:06:58.750000+00:00,2023-03-13T17:15:47.020000+00:00
2023-03-14,Albuquerque,NM,000200,,,,,no_registration,KABQ,0.3,0.56,239,2023-03-14T01:37:03.050000+00:00,2023-03-14T02:42:54.740000+00:00
2023-03-14,Albuquerque,NM,ae29d9,09-0109,C30J,,,us_military_serial|dbflag:military,KABQ,1.0,4.17,1020,2023-03-14T02:21:15.840000+00:00,2023-03-14T20:14:44.490000+00:00
2023-03-14,Albuquerque,NM,ae6c43,14-14482,H60,,,us_military_serial|dbflag:military,KABQ,0.9,4.3,1194,2023-03-14T17:47:10.530000+00:00,2023-03-14T22:33:15.100000+00:00
2023-03-14,Albuquerque,NM,ae06e1,163553,BE20,,,non_us_registration|dbflag:military,KABQ,1.0,4.42,163,2023-03-14T20:34:07.980000+00:00,2023-03-14T22:49:07.880000+00:00
2023-03-14,Albuquerque,NM,ae54ed,166219,TEX2,,,non_us_registration|dbflag:military,KSAF,0.3,44.76,83,2023-03-14T21:14:23.120000+00:00,2023-03-14T23:34:30.290000+00:00
2023-03-14,Albuquerque,NM,ae622b,69-6610,B212,,,us_military_serial|dbflag:military,KABQ,0.8,4.35,231,2023-03-14T01:42:18.830000+00:00,2023-03-14T04:27:39.540000+00:00
2023-03-14,Albuquerque,NM,ae6247,69-6665,B212,,,us_military_serial|dbflag:military,KABQ,6.5,4.51,1126,2023-03-14T16:08:46.720000+00:00,2023-03-14T23:14:04.120000+00:00
2023-03-14,Albuquerque,NM,adfd71,89-0515,SW4,,,us_military_serial|dbflag:military,KABQ,0.5,4.17,187,2023-03-14T18:24:54.370000+00:00,2023-03-14T19:51:58.220000+00:00
2023-03-14,Albuquerque,NM,a23115,N240MC,CL60,N240MC LLC,1982,dbflag:LADD,KABQ,0.4,4.85,157,2023-03-14T23:35:47.170000+00:00,2023-03-14T23:48:01.360000+00:00
2023-03-14,Albuquerque,NM,a31c42,N3ST,LJ45,SOUTHERN TIRE AVIATION LLC,2014,dbflag:LADD,KABQ,1.1,4.43,233,2023-03-14T16:59:52.650000+00:00,2023-03-14T20:16:54.580000+00:00
2023-03-14,Albuquerque,NM,a75235,N571AW,BE30,CSI 135 DIVISION LLC,2000,dbflag:LADD,KABQ,0.7,0.49,1044,2023-03-14T02:58:45.340000+00:00,2023-03-14T22:23:40.820000+00:00
2023-03-14,Albuquerque,NM,a7c6fa,N60XG,HDJT,NEXGEN AVIATION LLC,2017,dbflag:LADD,KABQ,0.4,4.42,223,2023-03-14T15:29:05.910000+00:00,2023-03-14T16:46:59.020000+00:00
2023-03-14,Albuquerque,NM,aaad55,N7873N,C172,"UNITED STATES AIR FORCE, KIRTLAND AFB AERO CLUB",1967,government_operator_string,KABQ,0.7,0.35,2011,2023-03-14T14:33:09.910000+00:00,2023-03-14T20:52:29.900000+00:00
2023-03-14,Albuquerque,NM,aab198,N7887N,C172,"UNITED STATES AIR FORCE, KIRTLAND AFB AERO CLUB",1967,government_operator_string,KABQ,0.7,4.16,496,2023-03-14T21:29:43.700000+00:00,2023-03-14T22:26:47.120000+00:00
2023-03-14,Albuquerque,NM,ac1c3f,N88HV,B212,APPOMATTOX AVIATION LLC,1980,dbflag:LADD,KAEG,0.7,3.44,472,2023-03-14T13:44:46.540000+00:00,2023-03-14T16:11:31.790000+00:00
2023-03-14,Albuquerque,NM,acb4e5,N918FE,C208,FEDERAL EXPRESS CORP,1987,government_operator_string,KABQ,0.7,1.47,267,2023-03-14T13:55:04.880000+00:00,2023-03-14T16:44:11.790000+00:00
2023-03-14,Albuquerque,NM,43c04e,ZZ175,C17,,,non_us_registration|dbflag:military,KABQ,0.6,4.16,218,2023-03-14T19:16:00+00:00,2023-03-14T19:42:44.670000+00:00
2023-03-14,Spokane,WA,ae623b,69-6648,B212,,,us_military_serial|dbflag:military,KSKA,1.4,9.34,292,2023-03-14T18:17:52.300000+00:00,2023-03-14T18:59:49.410000+00:00
2023-03-14,Spokane,WA,a10dd5,N167Y,F900,TVPX AIRCRAFT SOLUTIONS INC TRUSTEE,2006,dbflag:LADD,KCOE,0.1,20.43,136,2023-03-14T21:09:52.490000+00:00,2023-03-14T21:22:45.550000+00:00
2023-03-14,Spokane,WA,a4343a,N370EL,CL30,LGE MANAGEMENT PARTNERS LLC,2013,dbflag:LADD,KCOE,0.1,15.54,107,2023-03-14T17:43:16.960000+00:00,2023-03-14T17:57:36.770000+00:00
2023-03-14,Spokane,WA,a4327a,N37LP,GL5T,TVPX AIRCRAFT SOLUTIONS INC TRUSTEE,2005,dbflag:LADD,KCOE,0.5,1.01,172,2023-03-14T15:03:00.610000+00:00,2023-03-14T16:21:21.840000+00:00
2023-03-15,Albuquerque,NM,ae08e1,01-1461,C30J,,,us_military_serial|dbflag:military,KABQ,0.4,4.56,191,2023-03-15T21:25:52.900000+00:00,2023-03-15T22:55:05.120000+00:00
2023-03-15,Albuquerque,NM,ae29d9,09-0109,C30J,,,us_military_serial|dbflag:military,KABQ,1.3,2.35,1801,2023-03-15T01:57:22.370000+00:00,2023-03-15T06:23:37.230000+00:00
2023-03-15,Albuquerque,NM,ae29d7,09-6210,C30J,,,us_military_serial|dbflag:military,KABQ,0.4,1.1,645,2023-03-15T03:04:06.840000+00:00,2023-03-15T05:59:16.340000+00:00
2023-03-15,Albuquerque,NM,ae6da9,19-14496,H60,,,us_military_serial|dbflag:military,KABQ,0.9,3.82,1327,2023-03-15T17:37:10.780000+00:00,2023-03-15T21:37:43.730000+00:00
2023-03-15,Albuquerque,NM,ae6c0f,20-9531,C30J,,,us_military_serial|dbflag:military,KABQ,1.3,4.57,97,2023-03-15T15:32:15.580000+00:00,2023-03-15T15:53:11.880000+00:00
2023-03-15,Albuquerque,NM,a05865,N121LB,BE20,BANK OF UTAH TRUSTEE,1979,dbflag:LADD,KABQ,0.4,4.72,181,2023-03-15T17:53:43.850000+00:00,2023-03-15T19:48:23.780000+00:00
2023-03-15,Albuquerque,NM,a353d1,N313V,CL30,CLYDE COMPANIES INC,2012,dbflag:LADD,KABQ,0.5,3.25,112,2023-03-15T21:57:20.380000+00:00,2023-03-15T22:13:34.080000+00:00
2023-03-15,Albuquerque,NM,a37845,N3221M,BE9L,GUARDIAN FLIGHT LLC,2000,dbflag:LADD,KABQ,0.5,1.02,207,2023-03-15T09:55:22.070000+00:00,2023-03-15T11:58:55.530000+00:00
2023-03-15,Albuquerque,NM,a59816,N46JM,PRM1,TROPHY TRACTOR INC,2005,dbflag:LADD,KABQ,0.4,4.11,258,2023-03-15T17:02:55.820000+00:00,2023-03-15T18:16:55.320000+00:00
2023-03-15,Albuquerque,NM,a6452a,N503AW,HROC,CSI AVIATION,,dbflag:LADD,KABQ,0.5,0.23,265,2023-03-15T07:04:32.870000+00:00,2023-03-15T23:48:50.950000+00:00
2023-03-15,Albuquerque,NM,a6b7f0,N532AW,BE30,WFP AVIATION LLC,1991,dbflag:LADD,KABQ,0.3,1.01,456,2023-03-15T04:03:02.630000+00:00,2023-03-15T22:53:07.180000+00:00
2023-03-15,Albuquerque,NM,ab4f15,N828FE,C208,FEDERAL EXPRESS CORPORATION,1988,government_operator_string,KABQ,0.7,1.88,1385,2023-03-15T00:19:08.930000+00:00,2023-03-15T19:37:36.140000+00:00
