sweep_date,event_date,offset_days,city,state,who,hex,reg,type,operator,year,flag_reasons,nearest_field,nearest_field_mi,closest_mi_to_city,points_in_circle,first_utc,last_utc
2023-03-13,2023-03-14,-1,Davis,CA,Charlie,ae63de,64-13240,T38,,,us_military_serial|dbflag:military,KMHR,0.2,21.14,873,2023-03-13T20:17:46.190000+00:00,2023-03-13T23:30:01.200000+00:00
2023-03-13,2023-03-14,-1,Davis,CA,Charlie,ae63e5,65-10342,T38,,,us_military_serial|dbflag:military,KMHR,0.1,22.17,369,2023-03-13T20:29:22.290000+00:00,2023-03-13T23:30:40.290000+00:00
2023-03-13,2023-03-14,-1,Davis,CA,Charlie,adfedc,86-00086,BE20,,,us_military_serial|dbflag:military,KMHR,0.7,24.02,63,2023-03-13T17:50:03.320000+00:00,2023-03-13T19:28:14.980000+00:00
2023-03-13,2023-03-14,-1,Davis,CA,Charlie,ae0114,97-5303,C30J,,,us_military_serial|dbflag:military,KMHR,0.5,11.85,529,2023-03-13T02:19:11.830000+00:00,2023-03-13T19:54:49.290000+00:00
2023-03-13,2023-03-14,-1,Davis,CA,Charlie,080010,98-00010,C560,,,us_military_serial,KMHR,0.1,22.99,218,2023-03-13T18:16:38.840000+00:00,2023-03-13T20:08:06.390000+00:00
2023-03-13,2023-03-14,-1,Davis,CA,Charlie,a1b7ad,N21FG,BE20,CALIFORNIA DEPARTMENT OF FISH AND GAME,1981,government_operator_string,KSAC,0.2,13.14,530,2023-03-13T16:35:32.320000+00:00,2023-03-13T21:03:53.350000+00:00
2023-03-13,2023-03-14,-1,Davis,CA,Charlie,a34de0,N3117L,PA44,ATP AIRCRAFT 2 LLC,2005,dbflag:LADD,KSAC,0.4,12.45,2660,2023-03-13T16:25:08.600000+00:00,2023-03-13T23:59:56.150000+00:00
2023-03-13,2023-03-14,-1,Davis,CA,Charlie,a47851,N38749,P32R,EPPERSON MATTHEW,1977,dbflag:LADD,KSAC,0.2,13.31,188,2023-03-13T02:16:51.430000+00:00,2023-03-13T02:45:26.170000+00:00
2023-03-13,2023-03-14,-1,Davis,CA,Charlie,a4f7fb,N4190V,C72R,ATP AIRCRAFT 2 LLC,1998,dbflag:LADD,KSAC,0.6,13.24,5,2023-03-13T15:21:01.170000+00:00,2023-03-13T15:27:21.120000+00:00
2023-03-13,2023-03-14,-1,Davis,CA,Charlie,a50acc,N424DF,S2P,"USDA FOREST SERVICE FEPP, CALIFORNIA DEPARTMENT OF FORESTRY AND ",2001,government_operator_string,KMCC,0.3,18.37,627,2023-03-13T17:13:06.660000+00:00,2023-03-13T18:30:09.490000+00:00
2023-03-13,2023-03-14,-1,Davis,CA,Charlie,a51e03,N429KV,B429,DUKE ENERGY BUSINESS SERVICES LLC,2019,dbflag:LADD,KSAC,0.4,13.23,141,2023-03-13T14:54:24.670000+00:00,2023-03-13T23:59:54.650000+00:00
2023-03-13,2023-03-14,-1,Davis,CA,Charlie,a6c4f0,N535VW,C172,ATP AIRCRAFT 4 LLC,2000,dbflag:LADD,KSAC,0.3,11.28,938,2023-03-13T16:30:23.380000+00:00,2023-03-13T23:59:56.040000+00:00
2023-03-13,2023-03-14,-1,Davis,CA,Charlie,a749d9,N569RJ,C172,NATIONAL TRAINING I LLC,,dbflag:LADD,KSAC,0.3,12.13,1133,2023-03-13T16:40:24.620000+00:00,2023-03-13T18:27:58.700000+00:00
2023-03-13,2023-03-14,-1,Davis,CA,Charlie,a82300,N623SP,C172,ATP AIRCRAFT 2 LLC,2000,dbflag:LADD,KSAC,0.3,8.64,875,2023-03-13T16:23:17.500000+00:00,2023-03-13T19:40:33+00:00
2023-03-13,2023-03-14,-1,Davis,CA,Charlie,a84f35,N63419,C72R,AVIATION TRAINING LLC,2004,dbflag:LADD,KSAC,0.3,13.05,1882,2023-03-13T15:23:15.210000+00:00,2023-03-13T22:35:26.950000+00:00
2023-03-13,2023-03-14,-1,Davis,CA,Charlie,a8e479,N672PP,E550,LIVE OAK BANKING CO,2020,dbflag:LADD,KSAC,0.1,13.25,189,2023-03-13T19:14:21.930000+00:00,2023-03-13T19:31:04.140000+00:00
2023-03-13,2023-03-14,-1,Davis,CA,Charlie,aa0f13,N7471N,BE36,BRITTON SHAWN,1968,dbflag:LADD,KSAC,0.3,7.5,76,2023-03-13T15:53:53.080000+00:00,2023-03-13T16:03:18.740000+00:00
2023-03-13,2023-03-14,-1,Davis,CA,Charlie,ab20b6,N816LX,H25B,HAWKER 800XP 258363 LLC,1998,dbflag:LADD,KMCC,0.6,18.26,153,2023-03-13T04:59:41.830000+00:00,2023-03-13T05:16:31.020000+00:00
2023-03-13,2023-03-14,-1,Davis,CA,Charlie,ad424b,N9531D,C72R,ATP AIRCRAFT 4 LLC,1999,dbflag:LADD,KSAC,0.3,11.35,1815,2023-03-13T16:08:39.600000+00:00,2023-03-13T20:13:42.230000+00:00
2023-03-13,2023-03-14,-1,Davis,CA,Charlie,adab84,N980DW,BE9L,RAVEN AVIATION LLC,2014,dbflag:LADD,KMHR,0.5,23.42,142,2023-03-13T15:50:32.290000+00:00,2023-03-13T16:05:01.580000+00:00
2023-03-13,2023-03-14,-1,Davis,CA,Charlie,adaf3b,N981DW,AS50,RAVEN AVIATION LLC,2015,dbflag:LADD,KMHR,0.5,23.45,169,2023-03-13T16:03:04.910000+00:00,2023-03-13T16:52:26.770000+00:00
2023-03-14,2023-03-14,0,Davis,CA,Charlie,ae0114,97-5303,C30J,,,us_military_serial|dbflag:military,KMHR,0.6,1.88,437,2023-03-14T03:04:40.750000+00:00,2023-03-14T23:48:03.300000+00:00
2023-03-14,2023-03-14,0,Davis,CA,Charlie,a1c9ea,N214RW,CL30,MIDWEST NAS INC,2018,dbflag:LADD,KMCC,0.3,19.9,107,2023-03-14T16:20:08.800000+00:00,2023-03-14T16:31:15.970000+00:00
2023-03-14,2023-03-14,0,Davis,CA,Charlie,a34de0,N3117L,PA44,ATP AIRCRAFT 2 LLC,2005,dbflag:LADD,KSAC,0.3,9.94,920,2023-03-14T00:00:00.540000+00:00,2023-03-14T01:58:04.680000+00:00
2023-03-14,2023-03-14,0,Davis,CA,Charlie,a51e03,N429KV,B429,DUKE ENERGY BUSINESS SERVICES LLC,2019,dbflag:LADD,KSAC,0.4,13.26,74,2023-03-14T00:00:13.610000+00:00,2023-03-14T00:10:15.120000+00:00
2023-03-14,2023-03-14,0,Davis,CA,Charlie,a7d73a,N604MM,CL60,TC FLIGHT LLC,1998,dbflag:LADD,KMCC,0.6,14.37,133,2023-03-14T13:46:12.930000+00:00,2023-03-14T14:01:16.210000+00:00
2023-03-14,2023-03-14,0,Davis,CA,Charlie,a82300,N623SP,C172,ATP AIRCRAFT 2 LLC,2000,dbflag:LADD,KSAC,0.3,13.22,352,2023-03-14T04:22:28.500000+00:00,2023-03-14T05:00:10.680000+00:00
2023-03-14,2023-03-14,0,Davis,CA,Charlie,a88dd0,N650MC,PC12,N650MC LLC,2005,dbflag:LADD,KSAC,0.2,13.17,181,2023-03-14T00:09:06.850000+00:00,2023-03-14T05:07:27.670000+00:00
2023-03-14,2023-03-14,0,Davis,CA,Charlie,a8e479,N672PP,E550,LIVE OAK BANKING CO,2020,dbflag:LADD,KSAC,0.3,13.23,194,2023-03-14T12:38:24.220000+00:00,2023-03-14T13:23:53.180000+00:00
2023-03-14,2023-03-14,0,Davis,CA,Charlie,c821b8,ZK-IUL,B429,,,non_us_registration|dbflag:LADD,KSAC,0.4,13.27,110,2023-03-14T00:00:12.120000+00:00,2023-03-14T00:14:32.470000+00:00
2023-03-15,2023-03-14,1,Davis,CA,Charlie,ae06e1,163553,BE20,,,non_us_registration|dbflag:military,KMHR,0.6,21.86,271,2023-03-15T17:01:09.870000+00:00,2023-03-15T19:52:55.300000+00:00
2023-03-15,2023-03-14,1,Davis,CA,Charlie,ae63de,64-13240,T38,,,us_military_serial|dbflag:military,KMHR,0.2,1.3,1507,2023-03-15T16:07:25.440000+00:00,2023-03-15T23:18:40.020000+00:00
2023-03-15,2023-03-14,1,Davis,CA,Charlie,adfecf,84-00489,BE20,,,us_military_serial|dbflag:military,KMHR,0.3,20.38,1293,2023-03-15T21:19:43.940000+00:00,2023-03-15T23:50:34.490000+00:00
2023-03-15,2023-03-14,1,Davis,CA,Charlie,adfedc,86-00086,BE20,,,us_military_serial|dbflag:military,KMHR,0.7,24.02,15,2023-03-15T15:16:35.170000+00:00,2023-03-15T15:27:56.310000+00:00
2023-03-15,2023-03-14,1,Davis,CA,Charlie,a16d80,N191SP,PC12,JKE HELM LLC,1999,dbflag:LADD,KMHR,0.3,23.45,134,2023-03-15T19:02:46.210000+00:00,2023-03-15T22:07:05.230000+00:00
2023-03-15,2023-03-14,1,Davis,CA,Charlie,a23e46,N24352,C72R,NATIONAL TRAINING I LLC,2000,dbflag:LADD,KSAC,0.4,2.53,2334,2023-03-15T15:16:29.270000+00:00,2023-03-15T23:13:42.540000+00:00
2023-03-15,2023-03-14,1,Davis,CA,Charlie,a31d2c,N30CA,BE33,"STATE OF CALIFORNIA DEPARTMENT OF TRANSPORTATION, DIVISION OF AE",1974,government_operator_string,KSAC,0.3,12.55,582,2023-03-15T22:03:48.820000+00:00,2023-03-15T23:21:55.050000+00:00
2023-03-15,2023-03-14,1,Davis,CA,Charlie,a34de0,N3117L,PA44,ATP AIRCRAFT 2 LLC,2005,dbflag:LADD,KSAC,0.3,4.67,3139,2023-03-15T13:38:49.080000+00:00,2023-03-15T23:59:58.150000+00:00
2023-03-15,2023-03-14,1,Davis,CA,Charlie,a4c772,N407JH,B407,SACRAMENTO EXECUTIVE HELICOPTERS INC,2011,government_operator_string,K1O3,0.6,25.19,653,2023-03-15T16:58:49.110000+00:00,2023-03-15T19:46:58.300000+00:00
2023-03-15,2023-03-14,1,Davis,CA,Charlie,a4f7fb,N4190V,C72R,ATP AIRCRAFT 2 LLC,1998,dbflag:LADD,KSAC,0.3,5.52,599,2023-03-15T15:04:16.740000+00:00,2023-03-15T22:17:29.550000+00:00
2023-03-15,2023-03-14,1,Davis,CA,Charlie,a50acc,N424DF,S2P,"USDA FOREST SERVICE FEPP, CALIFORNIA DEPARTMENT OF FORESTRY AND ",2001,government_operator_string,KMCC,0.3,16.89,1337,2023-03-15T17:29:07.640000+00:00,2023-03-15T22:09:08.310000+00:00
2023-03-15,2023-03-14,1,Davis,CA,Charlie,a6c4f0,N535VW,C172,ATP AIRCRAFT 4 LLC,2000,dbflag:LADD,KSAC,0.2,1.32,2279,2023-03-15T19:31:35.440000+00:00,2023-03-15T23:16:26.650000+00:00
2023-03-15,2023-03-14,1,Davis,CA,Charlie,a6f0fb,N5463D,BE35,"BLANCO AUSTIN, BLANCO JENNIFER",1957,dbflag:LADD,KLHM,0.3,31.81,44,2023-03-15T20:56:05.920000+00:00,2023-03-15T21:16:01.270000+00:00
2023-03-15,2023-03-14,1,Davis,CA,Charlie,a749d9,N569RJ,C172,NATIONAL TRAINING I LLC,,dbflag:LADD,KSAC,0.3,3.1,1216,2023-03-15T14:16:00.750000+00:00,2023-03-15T23:54:42.100000+00:00
2023-03-15,2023-03-14,1,Davis,CA,Charlie,a7bd16,N598WC,F900,WASTE CONNECTIONS US INC,2016,dbflag:LADD,KMHR,0.2,23.15,321,2023-03-15T16:04:59.940000+00:00,2023-03-15T20:51:03.340000+00:00
2023-03-15,2023-03-14,1,Davis,CA,Charlie,a82300,N623SP,C172,ATP AIRCRAFT 2 LLC,2000,dbflag:LADD,KSAC,0.2,2.32,2190,2023-03-15T16:33:03.890000+00:00,2023-03-15T23:34:57.160000+00:00
2023-03-15,2023-03-14,1,Davis,CA,Charlie,a84f35,N63419,C72R,AVIATION TRAINING LLC,2004,dbflag:LADD,KSAC,0.2,8.07,438,2023-03-15T17:34:37.790000+00:00,2023-03-15T21:48:05.750000+00:00
2023-03-15,2023-03-14,1,Davis,CA,Charlie,a9f188,N74PT,LJ45,PALMER CAPITAL INC,2006,dbflag:LADD,KMHR,0.6,21.77,172,2023-03-15T20:50:31.090000+00:00,2023-03-15T21:02:27.880000+00:00
2023-03-15,2023-03-14,1,Davis,CA,Charlie,acb9c4,N919TA,C72R,ATP AIRCRAFT 4 LLC,2000,dbflag:LADD,KSAC,0.2,9.62,1385,2023-03-15T19:16:44.910000+00:00,2023-03-15T23:32:11.510000+00:00
2023-03-15,2023-03-14,1,Davis,CA,Charlie,ad424b,N9531D,C72R,ATP AIRCRAFT 4 LLC,1999,dbflag:LADD,KSAC,0.3,7.4,3437,2023-03-15T13:39:11.260000+00:00,2023-03-15T23:28:52.350000+00:00
2023-03-20,2023-03-21,-1,New Brunswick,NJ,TPUSA,c01121,C-FGMQ,PC12,"Government Of Canada, Royal Canadian Mounted Police",2009,non_us_registration|dbflag:LADD|government_operator_string,KTEB,0.0,23.84,495,2023-03-20T14:26:09.210000+00:00,2023-03-20T20:45:48.620000+00:00
2023-03-20,2023-03-21,-1,New Brunswick,NJ,TPUSA,c030ea,C-FSNP,C25B,Airsprint Inc.,2022,non_us_registration,KTEB,0.4,24.12,328,2023-03-20T13:15:24.830000+00:00,2023-03-20T22:05:19.190000+00:00
2023-03-20,2023-03-21,-1,New Brunswick,NJ,TPUSA,c04a89,C-GCFW,BE23,Motif Healthcare Inc.,1977,non_us_registration,KTEB,0.1,32.21,23,2023-03-20T23:23:18.940000+00:00,2023-03-20T23:29:37.730000+00:00
2023-03-20,2023-03-21,-1,New Brunswick,NJ,TPUSA,c05ef9,C-GJZC,DH8D,Jazz Aviation LP,2007,non_us_registration,KEWR,0.7,14.8,306,2023-03-20T18:01:57.590000+00:00,2023-03-20T20:35:05.820000+00:00
