reg,hex,type,operator,flag_reasons,event_ground_date_city_pairs,event_cities,event_states,control_ground_pairs,event_pairs_detail
N582MM,a77e75,LJ60,"TK ENTERPRISES LLC, JRO AVIATION LLC, DOJA CONTRACTING LLC",tracked_fleet:N582MM,43,23,12,2,"2023-09-14 San Diego,CA; 2023-09-28 Tempe,AZ; 2023-12-16 Phoenix,AZ; 2023-12-17 Phoenix,AZ; 2023-12-19 Phoenix,AZ; 2024-03-14 Fullerton,CA; 2024-03-21 Las Vegas,NV; 2024-04-23 Salt Lake City,UT; 2024-04-24 Salt Lake City,UT; 2024-06-07 San Antonio,TX; 2024-06-15 Detroit,MI; 2024-09-04 Phoenix,AZ; 2024-09-05 Madison,WI; 2024-09-10 Boulder,CO; 2024-09-11 Denton,TX; 2024-09-12 Denton,TX; 2024-10-12 Corvallis,OR; 2024-10-15 Flagstaff,AZ; 2024-10-21 Atlanta,GA; 2024-10-21 Chapel Hill,NC; 2024-10-22 Chapel Hill,NC; 2024-10-23 Athens,GA; 2024-10-23 Duluth,GA; 2024-10-24 Duluth,GA; 2024-10-24 Las Vegas,NV; 2024-10-27 Phoenix,AZ; 2024-12-20 Phoenix,AZ; 2024-12-21 Phoenix,AZ; 2024-12-22 Phoenix,AZ; 2024-12-23 Phoenix,AZ; 2025-02-19 Phoenix,AZ; 2025-02-20 Phoenix,AZ; 2025-02-20 Tampa,FL; 2025-03-03 Los Angeles,CA; 2025-05-01 San Diego,CA; 2025-05-06 San Francisco,CA; 2025-06-13 Grapevine,TX; 2025-06-15 Grapevine,TX; 2025-07-10 Tampa,FL; 2025-07-13 Tampa,FL; 2025-08-07 Rancho Palos Verdes,CA; 2025-08-09 Rancho Palos Verdes,CA; 2025-09-11 Orem,UT"
N368QX,a42b78,,PHOENIX SKY HARBOR INTERNATIONAL AIRPORT,,23,3,1,0,"2023-09-26 Tempe,AZ; 2023-09-27 Tempe,AZ; 2023-09-28 Tempe,AZ; 2023-12-15 Phoenix,AZ; 2023-12-19 Phoenix,AZ; 2023-12-20 Phoenix,AZ; 2024-03-18 Phoenix,AZ; 2024-03-20 Phoenix,AZ; 2024-09-02 Phoenix,AZ; 2024-09-03 Phoenix,AZ; 2024-09-04 Phoenix,AZ; 2024-10-27 Phoenix,AZ; 2024-12-19 Phoenix,AZ; 2024-12-20 Phoenix,AZ; 2024-12-21 Phoenix,AZ; 2024-12-22 Phoenix,AZ; 2024-12-23 Phoenix,AZ; 2025-02-17 Phoenix,AZ; 2025-02-19 Phoenix,AZ; 2025-02-20 Phoenix,AZ; 2025-09-20 Glendale,AZ; 2025-09-21 Glendale,AZ; 2025-09-22 Glendale,AZ"
N53216,a6ba75,P28A,ALF IX LLC,,22,3,1,0,"2023-09-26 Tempe,AZ; 2023-09-27 Tempe,AZ; 2023-12-15 Phoenix,AZ; 2023-12-16 Phoenix,AZ; 2023-12-17 Phoenix,AZ; 2023-12-20 Phoenix,AZ; 2024-03-18 Phoenix,AZ; 2024-03-20 Phoenix,AZ; 2024-09-03 Phoenix,AZ; 2024-09-04 Phoenix,AZ; 2024-10-27 Phoenix,AZ; 2024-12-19 Phoenix,AZ; 2024-12-20 Phoenix,AZ; 2024-12-21 Phoenix,AZ; 2024-12-22 Phoenix,AZ; 2024-12-23 Phoenix,AZ; 2025-02-17 Phoenix,AZ; 2025-02-19 Phoenix,AZ; 2025-02-20 Phoenix,AZ; 2025-09-20 Glendale,AZ; 2025-09-21 Glendale,AZ; 2025-09-22 Glendale,AZ"
N470AV,a5c12e,SR20,"WESTWIND SCHOOL OF AERONAUTICS PHOENIX LLC DBA, UNITED AVIATE AC",,22,4,2,0,"2023-09-27 Tempe,AZ; 2023-11-08 Los Angeles,CA; 2023-12-15 Phoenix,AZ; 2023-12-16 Phoenix,AZ; 2023-12-17 Phoenix,AZ; 2023-12-19 Phoenix,AZ; 2024-03-18 Phoenix,AZ; 2024-09-02 Phoenix,AZ; 2024-09-03 Phoenix,AZ; 2024-09-04 Phoenix,AZ; 2024-10-27 Phoenix,AZ; 2024-12-19 Phoenix,AZ; 2024-12-20 Phoenix,AZ; 2024-12-21 Phoenix,AZ; 2024-12-22 Phoenix,AZ; 2024-12-23 Phoenix,AZ; 2025-02-17 Phoenix,AZ; 2025-02-19 Phoenix,AZ; 2025-02-20 Phoenix,AZ; 2025-09-20 Glendale,AZ; 2025-09-21 Glendale,AZ; 2025-09-22 Glendale,AZ"
N857MB,abc26e,AS50,TVPX AIRCRAFT SOLUTIONS INC TRUSTEE,,22,3,1,0,"2023-09-27 Tempe,AZ; 2023-09-28 Tempe,AZ; 2023-12-15 Phoenix,AZ; 2023-12-16 Phoenix,AZ; 2023-12-17 Phoenix,AZ; 2024-03-18 Phoenix,AZ; 2024-03-20 Phoenix,AZ; 2024-09-02 Phoenix,AZ; 2024-09-03 Phoenix,AZ; 2024-09-04 Phoenix,AZ; 2024-10-27 Phoenix,AZ; 2024-12-19 Phoenix,AZ; 2024-12-20 Phoenix,AZ; 2024-12-21 Phoenix,AZ; 2024-12-22 Phoenix,AZ; 2024-12-23 Phoenix,AZ; 2025-02-17 Phoenix,AZ; 2025-02-19 Phoenix,AZ; 2025-02-20 Phoenix,AZ; 2025-09-20 Glendale,AZ; 2025-09-21 Glendale,AZ; 2025-09-22 Glendale,AZ"
N24483,a24267,C72R,FLY 172R LLC,,22,2,1,0,"2023-12-15 Phoenix,AZ; 2023-12-16 Phoenix,AZ; 2023-12-17 Phoenix,AZ; 2023-12-19 Phoenix,AZ; 2023-12-20 Phoenix,AZ; 2024-03-18 Phoenix,AZ; 2024-03-20 Phoenix,AZ; 2024-09-02 Phoenix,AZ; 2024-09-03 Phoenix,AZ; 2024-09-04 Phoenix,AZ; 2024-10-27 Phoenix,AZ; 2024-12-19 Phoenix,AZ; 2024-12-20 Phoenix,AZ; 2024-12-21 Phoenix,AZ; 2024-12-22 Phoenix,AZ; 2024-12-23 Phoenix,AZ; 2025-02-17 Phoenix,AZ; 2025-02-19 Phoenix,AZ; 2025-02-20 Phoenix,AZ; 2025-09-20 Glendale,AZ; 2025-09-21 Glendale,AZ; 2025-09-22 Glendale,AZ"
N79SC,aab73f,LJ60,D E MAGARIN ASSET MANAGEMENT LLC,,22,13,8,0,"2023-12-17 Phoenix,AZ; 2023-12-19 Phoenix,AZ; 2024-03-20 Pittsburgh,PA; 2024-05-07 Seattle,WA; 2024-06-07 San Antonio,TX; 2024-09-02 Phoenix,AZ; 2024-09-03 Phoenix,AZ; 2024-10-22 Atlanta,GA; 2024-10-22 Duluth,GA; 2024-12-20 Phoenix,AZ; 2024-12-21 Phoenix,AZ; 2024-12-22 Phoenix,AZ; 2024-12-23 Phoenix,AZ; 2025-02-20 Phoenix,AZ; 2025-03-04 Los Angeles,CA; 2025-05-06 San Francisco,CA; 2025-07-12 Tampa,FL; 2025-07-13 Tampa,FL; 2025-08-05 Rancho Palos Verdes,CA; 2025-08-20 Dallas,TX; 2025-09-11 Orem,UT; 2025-09-21 Glendale,AZ"
N448AV,a56869,SR20,"WESTWIND SCHOOL OF AERONAUTICS PHOENIX LLC DBA, UNITED AVIATE AC",,21,6,2,0,"2023-09-16 San Diego,CA; 2023-09-26 Tempe,AZ; 2023-12-16 Phoenix,AZ; 2023-12-17 Phoenix,AZ; 2023-12-18 Phoenix,AZ; 2023-12-19 Phoenix,AZ; 2023-12-20 Phoenix,AZ; 2024-03-18 Phoenix,AZ; 2024-09-04 Phoenix,AZ; 2024-10-17 Tucson,AZ; 2024-10-27 Phoenix,AZ; 2024-12-19 Phoenix,AZ; 2024-12-20 Phoenix,AZ; 2024-12-21 Phoenix,AZ; 2024-12-22 Phoenix,AZ; 2024-12-23 Phoenix,AZ; 2025-02-17 Phoenix,AZ; 2025-02-20 Phoenix,AZ; 2025-08-09 Rancho Palos Verdes,CA; 2025-09-20 Glendale,AZ; 2025-09-21 Glendale,AZ"
N471AV,a5c4e5,SR20,"WESTWIND SCHOOL OF AERONAUTICS PHOENIX LLC DBA, UNITED AVIATE AC",,21,4,1,0,"2023-09-26 Tempe,AZ; 2023-12-15 Phoenix,AZ; 2023-12-17 Phoenix,AZ; 2023-12-19 Phoenix,AZ; 2023-12-20 Phoenix,AZ; 2024-03-18 Phoenix,AZ; 2024-09-03 Phoenix,AZ; 2024-09-04 Phoenix,AZ; 2024-10-16 Flagstaff,AZ; 2024-10-27 Phoenix,AZ; 2024-12-19 Phoenix,AZ; 2024-12-20 Phoenix,AZ; 2024-12-21 Phoenix,AZ; 2024-12-22 Phoenix,AZ; 2024-12-23 Phoenix,AZ; 2025-02-17 Phoenix,AZ; 2025-02-19 Phoenix,AZ; 2025-02-20 Phoenix,AZ; 2025-09-20 Glendale,AZ; 2025-09-21 Glendale,AZ; 2025-09-22 Glendale,AZ"
N714SC,a98c7c,C172,JULIET CHARLIE AVIATION LLC,,21,4,1,0,"2023-09-26 Tempe,AZ; 2023-09-27 Tempe,AZ; 2023-12-15 Phoenix,AZ; 2023-12-16 Phoenix,AZ; 2023-12-19 Phoenix,AZ; 2024-03-18 Phoenix,AZ; 2024-09-02 Phoenix,AZ; 2024-09-03 Phoenix,AZ; 2024-09-04 Phoenix,AZ; 2024-10-15 Tucson,AZ; 2024-10-27 Phoenix,AZ; 2024-12-19 Phoenix,AZ; 2024-12-20 Phoenix,AZ; 2024-12-21 Phoenix,AZ; 2024-12-23 Phoenix,AZ; 2025-02-17 Phoenix,AZ; 2025-02-19 Phoenix,AZ; 2025-02-20 Phoenix,AZ; 2025-09-20 Glendale,AZ; 2025-09-21 Glendale,AZ; 2025-09-22 Glendale,AZ"
