adelson_tail,tel_aviv_first_heard_utc,previous_field,previous_country,previous_last_heard_utc,hours_previous_to_tel_aviv,kirk_side_jets_at_previous_field_6h
N804MS,2023-06-19T02:43:44.300000+00:00,PANC,US,2023-03-19T04:26:48.800000+00:00,2206.3,
N804MS,2023-06-20T09:16:28.470000+00:00,LLBG,IL,2023-06-19T02:50:10.900000+00:00,30.4,
N804MS,2023-06-25T20:24:42.250000+00:00,LLBG,IL,2023-06-20T09:28:52.640000+00:00,130.9,
N804MS,2023-06-28T12:35:46.260000+00:00,LLBG,IL,2023-06-25T20:34:05.130000+00:00,64.0,
N804MS,2024-06-26T08:04:38.040000+00:00,KLAS,US,2024-06-24T23:43:45.980000+00:00,32.3,
N804MS,2024-07-01T09:57:34.150000+00:00,LLBG,IL,2024-06-26T08:56:45.400000+00:00,121.0,
N804MS,2024-07-04T09:29:58.040000+00:00,LLBG,IL,2024-07-01T10:00:01.730000+00:00,71.5,
N804MS,2024-07-13T18:41:30.890000+00:00,LIPZ,IT,2024-07-11T13:05:08.450000+00:00,53.6,
N804MS,2024-07-16T06:24:54.410000+00:00,LLBG,IL,2024-07-13T18:56:05.790000+00:00,59.5,
N804MS,2025-03-12T04:16:23.590000+00:00,LHBP,HU,2025-03-11T23:59:42.580000+00:00,4.3,
N804MS,2025-03-13T11:27:33.760000+00:00,LLBG,IL,2025-03-12T04:20:20.460000+00:00,31.1,
N804MS,2025-03-25T07:48:41.860000+00:00,RJTT,JP,2025-03-24T14:31:21.380000+00:00,17.3,
N804MS,2025-03-28T06:44:01.250000+00:00,LLBG,IL,2025-03-25T07:50:43.010000+00:00,70.9,
N804MS,2025-04-05T13:41:01.840000+00:00,LLBG,IL,2025-03-28T06:59:06.410000+00:00,198.7,
N804MS,2025-04-07T20:59:14.910000+00:00,LLBG,IL,2025-04-05T13:44:06.330000+00:00,55.3,
N804MS,2025-07-13T12:32:47.240000+00:00,LIEA,IT,2025-07-13T06:49:12.480000+00:00,5.7,
N804MS,2025-07-18T05:49:22.410000+00:00,LLBG,IL,2025-07-13T13:54:15.100000+00:00,111.9,
N804MS,2025-07-27T15:18:51.290000+00:00,LFMN,FR,2025-07-27T12:06:36.260000+00:00,3.2,
N804MS,2025-07-29T09:10:12.790000+00:00,LLBG,IL,2025-07-27T15:20:51.150000+00:00,41.8,
N804MS,2025-09-26T15:36:19.570000+00:00,KLAS,US,2025-09-26T00:06:57.750000+00:00,15.5,
N804MS,2025-09-29T13:42:05.410000+00:00,LLBG,IL,2025-09-26T15:42:11.810000+00:00,70.0,
N804MS,2025-10-05T14:47:36.510000+00:00,KEWR,US,2025-10-05T04:54:11.270000+00:00,9.9,
N804MS,2025-10-06T09:35:34.890000+00:00,LLBG,IL,2025-10-05T14:49:53.070000+00:00,18.8,
N804MS,2025-10-14T10:37:32.700000+00:00,LGTS,GR,2025-10-14T08:48:41.250000+00:00,1.8,
N804MS,2025-10-16T19:25:56.920000+00:00,LEBL,ES,2025-10-16T15:43:32.880000+00:00,3.7,
N804MS,2025-10-18T15:18:10.670000+00:00,LLBG,IL,2025-10-16T19:32:13.110000+00:00,43.8,
N804MS,2025-11-03T16:57:46.800000+00:00,KBOS,US,2025-11-03T07:33:34.400000+00:00,9.4,
N804MS,2025-11-05T08:13:45.690000+00:00,LLBG,IL,2025-11-03T17:00:03+00:00,39.2,
N804MS,2026-01-18T17:00:43.570000+00:00,KFLL,US,2026-01-18T05:51:38.240000+00:00,11.2,
N804MS,2026-01-22T21:15:15.840000+00:00,LLBG,IL,2026-01-18T17:02:55.740000+00:00,100.2,
