date,tail,airport,event_city,event_who,event_title,first_heard_local,heard_minutes
2024-10-21,N582MM,KATL,"Atlanta, GA",Charlie,Prove Me Wrong with Vivek Ramaswamy — Georgia State University,2024-10-21 14:41,50
2024-10-21,N582MM,KRDU,"Chapel Hill, NC",Charlie,Prove Me Wrong with Vivek Ramaswamy — UNC Chapel Hill,2024-10-21 16:29,0
2024-10-21,N582MM,KRDU,"Chapel Hill, NC",Charlie,Prove Me Wrong with Vivek Ramaswamy — UNC Chapel Hill,2024-10-21 20:55,0
2025-09-10,N102DZ,KSDL,"Phoenix, AZ",Erika,Personal account: where she was when Charlie was shot (NOT a public appearance),2025-09-10 07:01,11
2025-09-10,N102DZ,KSLC,"Orem, UT",Charlie,The American Comeback Tour — UVU (first stop of the fall tour),2025-09-10 12:58,2
2025-09-10,N102DZ,KSDL,"Phoenix, AZ",Erika,Personal account: where she was when Charlie was shot (NOT a public appearance),2025-09-10 13:11,20
2025-09-10,N102DZ,KPVU,"Provo, UT",Erika,Personal account: flew to Utah after shooting (NOT a public appearance),2025-09-10 15:30,39
2025-09-10,N102DZ,KPVU,"Provo, UT",Erika,Personal account: flew to Utah after shooting (NOT a public appearance),2025-09-10 19:31,2
2025-09-10,N40JD,KSDL,"Phoenix, AZ",Erika,Personal account: where she was when Charlie was shot (NOT a public appearance),2025-09-10 12:09,18
2025-09-10,N40JD,KPVU,"Provo, UT",Erika,Personal account: flew to Utah after shooting (NOT a public appearance),2025-09-10 14:29,43
2025-09-10,N40JD,KSDL,"Phoenix, AZ",Erika,Personal account: where she was when Charlie was shot (NOT a public appearance),2025-09-10 15:26,2
2025-09-10,N560TW,KSDL,"Phoenix, AZ",Erika,Personal account: where she was when Charlie was shot (NOT a public appearance),2025-09-10 07:48,13
2025-09-10,N560TW,KPVU,"Provo, UT",Erika,Personal account: flew to Utah after shooting (NOT a public appearance),2025-09-10 10:07,20
2025-09-10,N560TW,KSDL,"Phoenix, AZ",Erika,Personal account: where she was when Charlie was shot (NOT a public appearance),2025-09-10 12:43,3
2025-09-10,N582MM,KPVU,"Provo, UT",Erika,Personal account: flew to Utah after shooting (NOT a public appearance),2025-09-10 18:57,2
2025-09-10,N79SC,KPVU,"Provo, UT",Erika,Personal account: flew to Utah after shooting (NOT a public appearance),2025-09-10 20:23,33
2025-09-10,N79SC,KDVT,"Phoenix, AZ",Erika,Personal account: where she was when Charlie was shot (NOT a public appearance),2025-09-10 21:07,3
2025-09-10,N872RA,KPVU,"Provo, UT",Erika,Personal account: flew to Utah after shooting (NOT a public appearance),2025-09-10 16:36,40
2025-09-10,N888KG,KPVU,"Provo, UT",Erika,Personal account: flew to Utah after shooting (NOT a public appearance),2025-09-10 13:06,122
2025-09-11,N102DZ,KPVU,"Salt Lake City, UT",Erika,"Escort of Charlie Kirk's casket aboard Air Force Two, SLC -> Phoenix",2025-09-11 09:54,9
2025-09-11,N102DZ,KPHX,"Phoenix, AZ",Erika,Arrival of Air Force Two with casket,2025-09-11 10:15,5
2025-09-11,N40JD,KSDL,"Phoenix, AZ",Erika,Arrival of Air Force Two with casket,2025-09-11 13:24,201
2025-09-11,N582MM,KPVU,"Salt Lake City, UT",Erika,"Escort of Charlie Kirk's casket aboard Air Force Two, SLC -> Phoenix",2025-09-11 08:08,11
2025-09-11,N79SC,KDVT,"Phoenix, AZ",Erika,Arrival of Air Force Two with casket,2025-09-11 05:29,7
2025-09-11,N79SC,KPVU,"Salt Lake City, UT",Erika,"Escort of Charlie Kirk's casket aboard Air Force Two, SLC -> Phoenix",2025-09-11 07:35,127
2025-09-11,N79SC,KSLC,"Salt Lake City, UT",Erika,"Escort of Charlie Kirk's casket aboard Air Force Two, SLC -> Phoenix",2025-09-11 16:36,1
2025-09-11,N79SC,KPHX,"Phoenix, AZ",Erika,Arrival of Air Force Two with casket,2025-09-11 16:59,36
2025-09-11,N79SC,KSDL,"Phoenix, AZ",Erika,Arrival of Air Force Two with casket,2025-09-11 18:53,1
2025-09-11,N872RA,KSLC,"Salt Lake City, UT",Erika,"Escort of Charlie Kirk's casket aboard Air Force Two, SLC -> Phoenix",2025-09-11 16:51,2
