date_from,date_to,date_certainty,city,state,country,venue,event_title,event_type,erika_role,charlie_present,source_url,source_type,quote
2023-03-03,2023-03-03,EVENT_DATE,,,USA,"UNKNOWN - host ministry (Unity Ministries) is based in Eagle, ID; venue not stated",Nights of Unity - Extraordinary Women,church_womens_event,guest speaker,unknown,https://www.youtube.com/watch?v=o68319_-owI,video,"Nights of Unity - March 3rd, 2023 - Extraordinary Women (ft. Erika Kirk) ... With special guest speaker Erika Kirk! Even better, it's FREE! Watch from the comfort of your home. [CITY UNKNOWN; in-person vs remote not stated]"
2023-06-09,2023-06-09,EVENT_DATE,Grapevine,TX,USA,Gaylord Texan Resort & Convention Center (YWLS 2023 venue per Gage Skidmore captions),YWLS 2023 breakout 'tea time' (Rise Up in Ministry),summit,breakout host,unknown,https://www.youtube.com/watch?v=K9Mlhbf0lWg,video,"Join Erkia LIVE before YWLS on Friday, June 9th at 11:15 am for tea time as she talks about the importance of women in ministry ... REGISTER for YWLS in Dallas, Texas June 9th-11th [pre-event announcement uploaded 2023-06-02 by TPUSA Faith]"
2023-06-09,2023-06-11,EVENT_DATE,Grapevine,TX,USA,Gaylord Texan Resort & Convention Center,YWLS 2023 main-stage speech 'Live Your Life Abundantly',summit,speaker,unknown,https://podcasts.apple.com/us/podcast/midweek-rise-up/id1478078208,other,"To start this new season I wanted to share with you my speech from the 2023 Turning Point USA Young Women's Leadership Summit in Dallas, Texas ... to share with over 2,700 incredible women [Midweek Rise Up ep 'S3: 01 live life abundantly.' pub 2023-06-14; RSS https://anchor.fm/s/d2a6450/podcast/rss; same speech on YouTube HEugMQkFFeM. Day within June 9-11 not stated]"
2023-06-10,2023-06-10,EVENT_DATE,Grapevine,TX,USA,Gaylord Texan Resort & Convention Center,Young Women's Leadership Summit 2023,summit,speaker,unknown,https://www.flickr.com/photos/gageskidmore/52984808289,social,"Erika Kirk speaking with attendees at the 2023 Young Women's Leadership Summit hosted by Turning Point USA at the Gaylord Texan Resort & Convention Center in Grapevine, Texas. [Flickr date taken 2023-06-10; 48 photos incl. 'Erika Kirk & RaeLynn']"
2023-11-01,2023-11-26,MONTH,,,USA,UNKNOWN,"TPUSA Faith 'RISE UP' tea (panel with Eileen Marx, Stephanie Denham, Rachel Jensen)",faith_womens_event,host,unknown,https://anchor.fm/s/d2a6450/podcast/rss,other,"A few weeks ago I was so blessed and honored to have a tea hosted by TPUSA Faith, called RISE UP where I had 3 phenomenal women alongside me on stage [episode 'S3: 04 waterboy vs. quarterback' published 2023-11-26; date approx 'a few weeks' before; CITY UNKNOWN]"
2024-12-19,2024-12-22,EVENT_DATE,Phoenix,AZ,USA,Phoenix Convention Center,AmericaFest 2024 Faith Night on stage with Charlie ('Keys to a Thriving Marriage'),conference,co-speaker,yes,https://www.youtube.com/watch?v=rla3oibU0h0,video,The Keys to a Thriving Marriage | Erika & Charlie Kirk ... #amfest2024 Watch LIVE: live.amfest.com [TPUSA upload 2024-12-22]; Fox clip: 'Charlie and Erika took the stage together on Faith Night at AmFest 2024' (https://www.fox.com/watch/clip/fmc-t9dopmhsn67q2105/charlie-and-erika-kirk-at-americafest-2024-emphasize-faith-and-courage). Exact day not stated
2024-12-19,2024-12-22,EVENT_DATE,Phoenix,AZ,USA,Phoenix Convention Center,AmericaFest 2024 closing remarks + TPUSA staff meeting (Charlie left with Trump on Air Force One),conference,closing speaker,no,https://www.deseret.com/politics/2025/12/18/america-fest-erika-kirk-charlie-kirk-tpusa-tucker-carlson-ben-shapiro/,press,"As Charlie Kirk chased after Trump to get on Air Force One, he asked his wife to give the final remarks and hold the TPUSA staff meeting, she told the audience. [Trump spoke at AmFest on Sun 2024-12-22 per Deseret 2024-12-22, so closing likely 12-22 but not stated]"
2024-12-19,2024-12-22,EVENT_DATE,Phoenix,AZ,USA,Phoenix Convention Center,Sage Steele Show sit-down at AmFest 2024,podcast_in_person,guest,no,https://www.youtube.com/watch?v=Y8Hko7ezDaM,video,"At AmFest2024, Sage Steele sat down with businesswoman Erika Kirk, the wife of conservative activist and founder of Turning Point USA, Charlie Kirk [uploaded 2025-01-02; day not stated]"
2024-12-19,2024-12-22,EVENT_DATE,Phoenix,AZ,USA,Phoenix Convention Center,Midweek Rise Up recording with Charlie at AmFest 2024,podcast_in_person,host,yes,https://anchor.fm/s/d2a6450/podcast/rss,other,We sit down together at AmericaFest 2024 discussing a multitude of topics [episode 'S04: 01 Here I Am Lord feat. Charlie Kirk' pub 2025-02-26; day not stated]
2024-12-20,2024-12-20,EVENT_DATE,Phoenix,AZ,USA,Phoenix Convention Center,AmericaFest 2024 (with Pastor James Kaddis),conference,speaker,unknown,https://www.flickr.com/photos/gageskidmore/54233065561,social,"James Kaddis and Erika Kirk speaking with attendees at the 2024 AmericaFest at the Phoenix Convention Center in Phoenix, Arizona. [Flickr date taken 2024-12-20; also solo photo 54232152087]"
2024-12-21,2024-12-21,EVENT_DATE,Phoenix,AZ,USA,Phoenix Convention Center,AmericaFest 2024 Day Three speech,conference,speaker,unknown,https://www.youtube.com/watch?v=68UfzkLk9yg,video,FULL SPEECH: Erika Kirk Speaks at TPUSA's America Fest Conference: Day Three - 12/21/24 [RSBN upload 2024-12-21]
2025-01-19,2025-01-19,EVENT_DATE,Washington,DC,USA,Salamander Hotel,Turning Point USA Inaugural-Eve Ball,gala,attendee/on stage,yes,https://www.gettyimages.com/search/2/image?phrase=erika%20frantzve,press,"WASHINGTON, DC - JANUARY 19: Charlie Kirk (R) and and his wife Erika Lane Frantzve (L) on stage during the Turning Point USA Inaugural-Eve Ball at the Salamander Hotel on January 19, 2025 in Washington, DC. (Photo by Samuel Corum/Getty Images)"
2025-03-21,2025-03-22,EVENT_DATE,San Clemente,CA,USA,"Calvary South OC, 1311 Calle Batido",BLOOM Women's Spring Conference 2025 (incl. Q&A with Michelle Randall),church_womens_event,featured speaker,no,http://www.calvarywomen.net/bloom-womens-conference-2025,event_page,"BLOOM CONFERENCE, MARCH 21 & 22, 2025 ... 1311 Calle Batido, San Clemente, CA 92673 [featured speaker Erika Kirk; session videos uploaded 2025-03-22 by Calvary South OC: vzONwp522gM, V_KFd3faCjM, YK5H-u24xYs. Her podcast 'S04: 04 Live Q&A' (2025-04-10) describes 'a recent Live Q&A from Calvary OC' - likely same event]"
2025-05-31,2025-05-31,EVENT_DATE,Phoenix,AZ,USA,Arizona Biltmore,Andy Biggs for Governor campaign rally,political_rally,speaker,yes,https://www.flickr.com/photos/gageskidmore/54570846701,social,"Erika Kirk and Charlie Kirk speaking with attendees at a campaign rally for Andy Biggs for Governor at the Arizona Biltmore in Phoenix, Arizona. [Flickr date taken 2025-05-31]"
2025-06-13,2025-06-13,EVENT_DATE,Grapevine,TX,USA,Gaylord Texan Resort & Convention Center,Young Women's Leadership Summit 2025 - opening night with Charlie,summit,speaker,yes,https://www.flickr.com/photos/gageskidmore/54618348893,social,"Erika Kirk and Charlie Kirk speaking with attendees at the 2025 Young Women's Leadership Summit at the Gaylord Texan Resort & Convention Center in Grapevine, Texas. [Flickr date taken 2025-06-13]; Freethought Now: 'Closing the first night with her husband next to her, Erika Kirk professed...' (https://freethoughtnow.org/charlie-kirk-glorifies-a-life-of-subordination-for-women-and-girls-at-young-womens-leadership-summit/)"
2025-06-14,2025-06-14,EVENT_DATE,Grapevine,TX,USA,Gaylord Texan Resort & Convention Center,Young Women's Leadership Summit 2025 - day 2 (with Elena Cardone),summit,speaker,unknown,https://www.flickr.com/photos/gageskidmore/54620065327,social,"Elena Cardone and Erika Kirk speaking with attendees at the 2025 Young Women's Leadership Summit at the Gaylord Texan Resort & Convention Center in Grapevine, Texas. [Flickr date taken 2025-06-14]"
2025-07-16,2025-07-16,PUBLISH_PROXY,Signal Hill,CA,USA,Calvary Chapel Signal Hill,Women's Conference: Summer in the Psalms (Pastor James Kaddis),church_womens_event,speaker,no,https://podcasts.apple.com/jm/podcast/s04-09-summer-in-the-psalms-speech-at-calvary-chapel/id1478078208?i=1000717585427,other,This special episode was recorded live at Calvary Chapel Signal Hill for Pastor James Kaddis's Women's Conference: Summer in the Psalms. I had the honor of speaking on Psalm 144 [episode published 2025-07-16; event date not stated]
2025-09-10,2025-09-10,EVENT_DATE,Phoenix,AZ,USA,hospital room of her mother (hospital not named),Personal account: where she was when Charlie was shot (NOT a public appearance),personal_account,n/a,no,https://www.yahoo.com/news/articles/erika-kirk-describes-moment-she-160659195.html,press,"Stayed behind in Arizona to help her mother, who was receiving medical treatment in a Phoenix hospital. She was at her mother's bedside when she received a call from her husband's assistant, Michael McCoy [Yahoo 2025-09-21 citing her New York Times interview; IBTimes 2025-09-29: 'Erika Kirk later told The New York Times that she had stayed behind in Phoenix']"
2025-09-10,2025-09-10,EVENT_DATE,Provo,UT,USA,flight destination Provo; hospital not named in this source,Personal account: flew to Utah after shooting (NOT a public appearance),personal_account,n/a,no,https://www.yahoo.com/news/articles/erika-kirk-describes-moment-she-160659195.html,press,"The mother of two was on her husband's chartered plane, headed to Provo, Utah, when she was told he had been pronounced dead at a nearby hospital. [self-reported via NYT; date = day of shooting]"
2025-09-11,2025-09-11,EVENT_DATE,Salt Lake City,UT,USA,airport tarmac (Air Force Two departure),"Escort of Charlie Kirk's casket aboard Air Force Two, SLC -> Phoenix",travel_public,family escort,no,https://globalnews.ca/news/11416576/jd-vance-escorts-charlie-kirk-casket-phoenix-air-force-two/,press,"Air Force Two arrived in Phoenix from Salt Lake City after Kirk was shot and killed ... Vance's wife, Usha, stepped off the plane with Kirk's widow, Erika"
