kirk_tail,adelson_tail,airport,airport_name,field_type,municipality,region,kirk_first_local,kirk_last_local,adelson_first_local,adelson_last_local,tier,minutes_heard_together,minutes_apart,kirk_previous_stop,adelson_next_stops,adelson_next_abroad,timezone_method
N872RA,N336LS,KSNA,John Wayne Orange County International Airport,large_airport,Santa Ana,US-CA,2023-04-14 11:30,2023-04-14 13:08,2023-04-14 09:12,2023-04-14 09:14,SAME_FIELD_WITHIN_3H,0,136,KSNA 2023-04-12 18:21 (2 min heard),KSNA (US) 2023-04-16 19:48Z | KOAK (US) 2023-04-17 16:53Z | KVNY (US) 2023-04-18 22:12Z,,state_table_APPROXIMATE
N582MM,N889LS,KVNY,Van Nuys Airport,medium_airport,Van Nuys,US-CA,2023-07-28 07:38,2023-07-28 07:38,2023-07-28 10:38,2023-07-28 10:38,SAME_FIELD_WITHIN_3H,0,180,KFFZ 2023-07-28 06:28 (5 min heard),KVNY (US) 2023-07-29 20:13Z | KLAS (US) 2023-07-29 21:01Z | KVNY (US) 2023-07-30 19:22Z,,state_table_APPROXIMATE
N582MM,N338LS,KLAS,Harry Reid International Airport,large_airport,Las Vegas,US-NV,2023-08-24 10:12,2023-08-24 12:22,2023-08-24 11:12,2023-08-24 11:12,HEARD_TOGETHER,0,0,KSNA 2023-08-22 18:33 (92 min heard),KLAX (US) 2023-08-24 19:02Z | KLAX (US) 2023-08-27 05:00Z | KLAS (US) 2023-08-27 06:25Z,,state_table_APPROXIMATE
N582MM,N339LS,KLAS,Harry Reid International Airport,large_airport,Las Vegas,US-NV,2023-08-24 10:12,2023-08-24 12:22,2023-08-24 07:39,2023-08-24 07:39,SAME_FIELD_WITHIN_3H,0,153,KSNA 2023-08-22 18:33 (92 min heard),CYVR (CA) 2023-08-24 16:42Z | CYVR (CA) 2023-08-24 21:50Z | KSNA (US) 2023-09-02 22:45Z,CYVR CA,state_table_APPROXIMATE
N582MM,N339LS,KDAL,Dallas Love Field,large_airport,Dallas,US-TX,2023-10-20 16:51,2023-10-20 17:31,2023-10-20 18:00,2023-10-20 18:00,SAME_FIELD_WITHIN_3H,0,29,KSAN 2023-10-20 11:05 (63 min heard),KLAS (US) 2023-10-21 01:29Z | KLAX (US) 2023-10-25 15:57Z | KLAS (US) 2023-10-25 20:43Z,,state_table_APPROXIMATE
N102DZ,N889LS,KVNY,Van Nuys Airport,medium_airport,Van Nuys,US-CA,2024-01-28 16:42,2024-01-28 16:48,2024-01-28 16:46,2024-01-28 16:51,HEARD_TOGETHER,2,0,KJWN 2024-01-07 17:45 (0 min heard),KVNY (US) 2024-01-29 22:51Z | KLAS (US) 2024-03-01 21:24Z | KDAL (US) 2024-03-05 20:56Z,,state_table_APPROXIMATE
N102DZ,N108MS,KVNY,Van Nuys Airport,medium_airport,Van Nuys,US-CA,2024-02-14 17:07,2024-02-14 17:54,2024-02-14 14:51,2024-02-14 14:54,SAME_FIELD_WITHIN_3H,0,133,KBNA 2024-02-10 15:33 (0 min heard),KVNY (US) 2024-02-17 22:21Z | KLAS (US) 2024-02-22 19:14Z | KDAL (US) 2024-02-22 21:11Z,,state_table_APPROXIMATE
N102DZ,N108MS,KVNY,Van Nuys Airport,medium_airport,Van Nuys,US-CA,2024-02-17 12:48,2024-02-17 13:15,2024-02-17 14:21,2024-02-17 14:30,SAME_FIELD_WITHIN_3H,0,66,KVNY 2024-02-16 03:54 (7 min heard),KLAS (US) 2024-02-22 19:14Z | KDAL (US) 2024-02-22 21:11Z | KVNY (US) 2024-02-23 21:09Z,,state_table_APPROXIMATE
N102DZ,N108MS,KVNY,Van Nuys Airport,medium_airport,Van Nuys,US-CA,2024-02-28 12:31,2024-02-28 12:57,2024-02-28 12:26,2024-02-28 12:31,HEARD_TOGETHER,0,0,KVNY 2024-02-27 15:31 (16 min heard),KVNY (US) 2024-02-29 17:52Z | KLAS (US) 2024-02-29 22:11Z | KLAS (US) 2024-03-04 03:43Z,,state_table_APPROXIMATE
N872RA,N889LS,KSFO,San Francisco International Airport,large_airport,San Francisco,US-CA,2024-04-02 14:46,2024-04-02 16:01,2024-04-02 15:26,2024-04-02 15:28,HEARD_TOGETHER,2,0,KSNA 2024-04-02 11:59 (2 min heard),KSFO (US) 2024-04-03 05:33Z | KDAL (US) 2024-04-05 18:32Z | KDAL (US) 2024-04-06 04:43Z,,state_table_APPROXIMATE
