tail,date,source,dbFlags,flags,ownOp,registration,file
N102DZ,2022-05-01,adsbexchange-samples,0,none,WILMINGTON TRUST CO TRUSTEE,N102DZ,N102DZ_2022-05-01_adsbexchange-samples_trace_full.json
N102DZ,2022-06-01,adsbexchange-samples,0,none,WILMINGTON TRUST CO TRUSTEE,N102DZ,N102DZ_2022-06-01_adsbexchange-samples_trace_full.json
N102DZ,2022-11-01,adsbexchange-samples,0,none,WILMINGTON TRUST CO TRUSTEE,N102DZ,N102DZ_2022-11-01_adsbexchange-samples_trace_full.json
N102DZ,2023-02-06,airplanes-live,0,none,WILMINGTON TRUST CO TRUSTEE,N102DZ,N102DZ_2023-02-06_airplanes-live_trace_full.json.gz
N102DZ,2023-02-08,airplanes-live,0,none,WILMINGTON TRUST CO TRUSTEE,N102DZ,N102DZ_2023-02-08_airplanes-live_trace_full.json.gz
N102DZ,2023-02-13,airplanes-live,0,none,WILMINGTON TRUST CO TRUSTEE,N102DZ,N102DZ_2023-02-13_airplanes-live_trace_full.json.gz
N102DZ,2023-02-14,airplanes-live,0,none,WILMINGTON TRUST CO TRUSTEE,N102DZ,N102DZ_2023-02-14_airplanes-live_trace_full.json.gz
N102DZ,2023-02-22,adsb-lol,0,none,WILMINGTON TRUST CO TRUSTEE,N102DZ,N102DZ_2023-02-22_adsb-lol_trace_full.json.gz
N102DZ,2023-02-22,airplanes-live,0,none,WILMINGTON TRUST CO TRUSTEE,N102DZ,N102DZ_2023-02-22_airplanes-live_trace_full.json.gz
N102DZ,2023-02-24,adsb-lol,0,none,WILMINGTON TRUST CO TRUSTEE,N102DZ,N102DZ_2023-02-24_adsb-lol_trace_full.json.gz
N102DZ,2023-02-24,airplanes-live,0,none,WILMINGTON TRUST CO TRUSTEE,N102DZ,N102DZ_2023-02-24_airplanes-live_trace_full.json.gz
N102DZ,2023-03-01,adsb-lol,0,none,WILMINGTON TRUST CO TRUSTEE,N102DZ,N102DZ_2023-03-01_adsb-lol_trace_full.json.gz
N102DZ,2023-03-01,adsbexchange-samples,0,none,WILMINGTON TRUST CO TRUSTEE,N102DZ,N102DZ_2023-03-01_adsbexchange-samples_trace_full.json
N102DZ,2023-03-01,airplanes-live,0,none,WILMINGTON TRUST CO TRUSTEE,N102DZ,N102DZ_2023-03-01_airplanes-live_trace_full.json.gz
N102DZ,2023-03-02,adsb-lol,0,none,WILMINGTON TRUST CO TRUSTEE,N102DZ,N102DZ_2023-03-02_adsb-lol_trace_full.json.gz
N102DZ,2023-03-02,airplanes-live,0,none,WILMINGTON TRUST CO TRUSTEE,N102DZ,N102DZ_2023-03-02_airplanes-live_trace_full.json.gz
N102DZ,2023-03-03,adsb-lol,0,none,WILMINGTON TRUST CO TRUSTEE,N102DZ,N102DZ_2023-03-03_adsb-lol_trace_full.json.gz
N102DZ,2023-03-03,airplanes-live,0,none,WILMINGTON TRUST CO TRUSTEE,N102DZ,N102DZ_2023-03-03_airplanes-live_trace_full.json.gz
N102DZ,2023-03-05,adsb-lol,0,none,WILMINGTON TRUST CO TRUSTEE,N102DZ,N102DZ_2023-03-05_adsb-lol_trace_full.json.gz
N102DZ,2023-03-05,airplanes-live,0,none,WILMINGTON TRUST CO TRUSTEE,N102DZ,N102DZ_2023-03-05_airplanes-live_trace_full.json.gz
N102DZ,2023-03-08,adsb-lol,0,none,WILMINGTON TRUST CO TRUSTEE,N102DZ,N102DZ_2023-03-08_adsb-lol_trace_full.json.gz
N102DZ,2023-03-08,airplanes-live,0,none,WILMINGTON TRUST CO TRUSTEE,N102DZ,N102DZ_2023-03-08_airplanes-live_trace_full.json.gz
N102DZ,2023-03-09,adsb-lol,0,none,WILMINGTON TRUST CO TRUSTEE,N102DZ,N102DZ_2023-03-09_adsb-lol_trace_full.json.gz
N102DZ,2023-03-09,airplanes-live,0,none,WILMINGTON TRUST CO TRUSTEE,N102DZ,N102DZ_2023-03-09_airplanes-live_trace_full.json.gz
N102DZ,2023-03-23,adsb-lol,0,none,WILMINGTON TRUST CO TRUSTEE,N102DZ,N102DZ_2023-03-23_adsb-lol_trace_full.json.gz
N102DZ,2023-03-23,airplanes-live,0,none,,N102DZ,N102DZ_2023-03-23_airplanes-live_trace_full.json.gz
N102DZ,2023-03-24,adsb-lol,0,none,WILMINGTON TRUST CO TRUSTEE,N102DZ,N102DZ_2023-03-24_adsb-lol_trace_full.json.gz
N102DZ,2023-03-24,airplanes-live,0,none,,N102DZ,N102DZ_2023-03-24_airplanes-live_trace_full.json.gz
N102DZ,2023-03-25,airplanes-live,0,none,,N102DZ,N102DZ_2023-03-25_airplanes-live_trace_full.json.gz
N102DZ,2023-03-30,airplanes-live,0,none,,N102DZ,N102DZ_2023-03-30_airplanes-live_trace_full.json.gz
N102DZ,2023-03-31,airplanes-live,0,none,,N102DZ,N102DZ_2023-03-31_airplanes-live_trace_full.json.gz
N102DZ,2023-04-01,adsb-lol,0,none,WILMINGTON TRUST CO TRUSTEE,N102DZ,N102DZ_2023-04-01_adsb-lol_trace_full.json.gz
N102DZ,2023-04-01,adsbexchange-samples,0,none,WILMINGTON TRUST CO TRUSTEE,N102DZ,N102DZ_2023-04-01_adsbexchange-samples_trace_full.json
N102DZ,2023-04-01,airplanes-live,0,none,,N102DZ,N102DZ_2023-04-01_airplanes-live_trace_full.json.gz
N102DZ,2023-04-03,adsb-lol,0,none,WILMINGTON TRUST CO TRUSTEE,N102DZ,N102DZ_2023-04-03_adsb-lol_trace_full.json.gz
N102DZ,2023-04-03,airplanes-live,0,none,,N102DZ,N102DZ_2023-04-03_airplanes-live_trace_full.json.gz
