tail,source,field,before,after,last_day_before,first_day_after,bracket_days
N102DZ,adsb-lol,ownOp,WILMINGTON TRUST CO TRUSTEE,GV 555 LLC,2024-02-10,2024-02-13,3
N102DZ,adsb-lol,summary,first held 2023-02-22 flags=none ownOp=WILMINGTON TRUST CO TRUSTEE,last held 2025-10-09 flags=none ownOp=GV 555 LLC,,,191
N102DZ,adsbexchange-samples,ownOp,WILMINGTON TRUST CO TRUSTEE,GV 555 LLC,2023-04-01,2024-01-01,275
N102DZ,adsbexchange-samples,ownOp,GV 555 LLC,"ELDERBERRY CHESTNUT LLC, SUNNY BLUE SKY LLC, UST ENTERPRISES LLC",2025-09-01,2025-12-01,91
N102DZ,adsbexchange-samples,flags,none,LADD,2025-12-01,2026-04-01,121
N102DZ,adsbexchange-samples,summary,first held 2022-05-01 flags=none ownOp=WILMINGTON TRUST CO TRUSTEE,"last held 2026-06-01 flags=LADD ownOp=ELDERBERRY CHESTNUT LLC, SUNNY BLUE SKY LLC, UST ENTERPRISES LLC",,,18
N102DZ,adsblol-github-backup,summary,first held 2025-10-13 flags=none ownOp=GV 555 LLC,last held 2025-10-13 flags=none ownOp=GV 555 LLC,,,1
N102DZ,airplanes-live,ownOp,WILMINGTON TRUST CO TRUSTEE,,2023-03-09,2023-03-23,14
N102DZ,airplanes-live,ownOp,,WILMINGTON TRUST CO TRUSTEE,2023-07-21,2023-12-05,137
N102DZ,airplanes-live,ownOp,WILMINGTON TRUST CO TRUSTEE,REGISTRATION PENDING,2023-12-07,2024-01-01,25
N102DZ,airplanes-live,ownOp,REGISTRATION PENDING,GV 555 LLC,2024-02-04,2024-02-10,6
N102DZ,airplanes-live,ownOp,GV 555 LLC,REGISTRATION PENDING,2025-10-13,2025-10-15,2
N102DZ,airplanes-live,ownOp,REGISTRATION PENDING,ELDERBERRY CHESTNUT LLC,2025-11-22,2025-11-30,8
N102DZ,airplanes-live,flags,none,LADD,2026-05-18,2026-05-20,2
N102DZ,airplanes-live,summary,first held 2023-02-06 flags=none ownOp=WILMINGTON TRUST CO TRUSTEE,last held 2026-09-16 flags=LADD ownOp=ELDERBERRY CHESTNUT LLC,,,517
N108MS,airplanes-live,flags,LADD,none,2023-03-08,2023-03-10,2
N108MS,airplanes-live,ownOp,YONA AVIATION II LLC,,2023-03-08,2023-03-10,2
N108MS,airplanes-live,flags,none,LADD,2023-08-27,2023-10-05,39
N108MS,airplanes-live,ownOp,,YONA AVIATION II LLC,2023-08-27,2023-10-05,39
N108MS,airplanes-live,summary,first held 2023-02-06 flags=LADD ownOp=YONA AVIATION II LLC,last held 2026-09-16 flags=LADD ownOp=YONA AVIATION II LLC,,,399
N336LS,adsb-lol,summary,first held 2023-09-05 flags=LADD ownOp=LAS VEGAS SANDS CORP,last held 2023-09-11 flags=LADD ownOp=LAS VEGAS SANDS CORP,,,3
N336LS,airplanes-live,flags,LADD,none,2023-03-09,2023-03-27,18
N336LS,airplanes-live,ownOp,LAS VEGAS SANDS CORP,,2023-03-09,2023-03-27,18
N336LS,airplanes-live,flags,none,not_in_header,2023-09-04,2023-09-12,8
N336LS,airplanes-live,registration,N336LS,,2023-09-04,2023-09-12,8
N336LS,airplanes-live,flags,not_in_header,LADD,2023-09-21,2023-10-10,19
N336LS,airplanes-live,ownOp,,LAS VEGAS SANDS CORP,2023-09-21,2023-10-10,19
N336LS,airplanes-live,registration,,N336LS,2023-09-21,2023-10-10,19
N336LS,airplanes-live,summary,first held 2023-02-12 flags=LADD ownOp=LAS VEGAS SANDS CORP,last held 2026-09-08 flags=LADD ownOp=LAS VEGAS SANDS CORP,,,256
N337LS,adsb-lol,summary,first held 2026-08-16 flags=LADD ownOp=LAS VEGAS SANDS CORP,last held 2026-08-16 flags=LADD ownOp=LAS VEGAS SANDS CORP,,,1
N337LS,airplanes-live,flags,LADD,none,2023-02-24,2023-04-01,36
N337LS,airplanes-live,ownOp,LAS VEGAS SANDS CORP,,2023-02-24,2023-04-01,36
N337LS,airplanes-live,flags,none,LADD,2023-04-02,2023-11-10,222
N337LS,airplanes-live,ownOp,,LAS VEGAS SANDS CORP,2023-04-02,2023-11-10,222
N337LS,airplanes-live,flags,LADD,not_in_header,2023-11-21,2025-09-29,678
N337LS,airplanes-live,ownOp,LAS VEGAS SANDS CORP,,2023-11-21,2025-09-29,678
N337LS,airplanes-live,registration,N337LS,,2023-11-21,2025-09-29,678
N337LS,airplanes-live,flags,not_in_header,LADD,2025-10-07,2025-10-15,8
N337LS,airplanes-live,ownOp,,LAS VEGAS SANDS CORP,2025-10-07,2025-10-15,8
N337LS,airplanes-live,registration,,N337LS,2025-10-07,2025-10-15,8
N337LS,airplanes-live,summary,first held 2023-02-24 flags=LADD ownOp=LAS VEGAS SANDS CORP,last held 2026-09-15 flags=LADD ownOp=LAS VEGAS SANDS CORP,,,72
N338LS,adsb-lol,summary,first held 2023-09-08 flags=LADD ownOp=LAS VEGAS SANDS CORP,last held 2023-09-08 flags=LADD ownOp=LAS VEGAS SANDS CORP,,,1
N338LS,airplanes-live,flags,LADD,none,2023-03-07,2023-03-17,10
N338LS,airplanes-live,ownOp,LAS VEGAS SANDS CORP,,2023-03-07,2023-03-17,10
N338LS,airplanes-live,flags,none,not_in_header,2023-09-03,2023-09-17,14
N338LS,airplanes-live,registration,N338LS,,2023-09-03,2023-09-17,14
N338LS,airplanes-live,flags,not_in_header,LADD,2023-09-17,2023-12-11,85
N338LS,airplanes-live,ownOp,,LAS VEGAS SANDS CORP,2023-09-17,2023-12-11,85
N338LS,airplanes-live,registration,,N338LS,2023-09-17,2023-12-11,85
N338LS,airplanes-live,summary,first held 2023-02-08 flags=LADD ownOp=LAS VEGAS SANDS CORP,last held 2026-08-27 flags=LADD ownOp=LAS VEGAS SANDS CORP,,,266
