tail,private_from,private_basis,date_utc,airport,airport_name,city,region,country,first_heard_utc,last_heard_utc,first_heard_local,sources
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2025-12-03,KPBI,President Donald J. Trump International Airport,West Palm Beach,US-FL,US,2025-12-03T16:32:01.980000+00:00,2025-12-03T16:41:23.690000+00:00,2025-12-03 11:32,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2025-12-04,KPBI,President Donald J. Trump International Airport,West Palm Beach,US-FL,US,2025-12-04T04:15:58.450000+00:00,2025-12-04T04:48:02.790000+00:00,2025-12-03 23:15,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2025-12-06,KSDL,Scottsdale Airport,Scottsdale,US-AZ,US,2025-12-06T01:08:07.310000+00:00,2025-12-06T01:11:18.210000+00:00,2025-12-05 18:08,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2025-12-07,KSDL,Scottsdale Airport,Scottsdale,US-AZ,US,2025-12-07T21:34:25.220000+00:00,2025-12-07T21:40:40.610000+00:00,2025-12-07 14:34,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2025-12-08,KPBI,President Donald J. Trump International Airport,West Palm Beach,US-FL,US,2025-12-08T01:20:13.920000+00:00,2025-12-08T01:23:42.130000+00:00,2025-12-07 20:20,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2025-12-08,KPBI,President Donald J. Trump International Airport,West Palm Beach,US-FL,US,2025-12-08T14:58:53.470000+00:00,2025-12-08T15:07:04.990000+00:00,2025-12-08 09:58,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2025-12-11,KPBI,President Donald J. Trump International Airport,West Palm Beach,US-FL,US,2025-12-11T01:31:16.020000+00:00,2025-12-11T02:06:02.850000+00:00,2025-12-10 20:31,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2025-12-11,KSDL,Scottsdale Airport,Scottsdale,US-AZ,US,2025-12-11T06:32:57.080000+00:00,2025-12-11T06:34:19.920000+00:00,2025-12-10 23:32,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2025-12-15,KSDL,Scottsdale Airport,Scottsdale,US-AZ,US,2025-12-15T15:21:51.790000+00:00,2025-12-15T15:23:29.800000+00:00,2025-12-15 08:21,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2025-12-15,KBNA,Nashville International Airport,Nashville,US-TN,US,2025-12-15T18:16:04.060000+00:00,2025-12-15T18:22:22.980000+00:00,2025-12-15 12:16,airplanes-live
