tail,date,file_date,dated_from_previous_utc_day,airport_code,airport_name,airport_city,median_km_from_field,ground_points,first_seen_utc,last_seen_utc,lat,lon,type,registration,sources,archives_agreeing,nearest_event_city,nearest_event_state,nearest_event_date,nearest_event_who,nearest_event_title,charlie_present,erika_present,event_offset_days,miles_to_event_city,within_50mi,same_day,event_page
N560TW,2022-01-01,2022-01-01,False,KRIL,Garfield County Regional Airport,Rifle,0.09,34,2022-01-01T01:49:22.600000Z,2022-01-01T01:55:56.600000Z,39.52554,-107.72661,C56X,N560TW,adsbexchange-samples,1,,,,,,,,,,no,no,
N560TW,2022-01-01,2022-01-01,False,KRIL,Garfield County Regional Airport,Rifle,0.63,49,2022-01-01T03:22:55.700000Z,2022-01-01T03:43:18.800000Z,39.52574,-107.71967,C56X,N560TW,adsbexchange-samples,1,,,,,,,,,,no,no,
N560TW,2022-01-01,2022-01-01,False,KSDL,Scottsdale Airport,Scottsdale,0.88,24,2022-01-01T00:00:00Z,2022-01-01T00:10:07.800000Z,33.62812,-111.90393,C56X,N560TW,adsbexchange-samples,1,,,,,,,,,,no,no,
N560TW,2022-01-01,2022-01-01,False,KSDL,Scottsdale Airport,Scottsdale,0.09,15,2022-01-01T04:43:17.400000Z,2022-01-01T04:44:41.600000Z,33.62271,-111.91006,C56X,N560TW,adsbexchange-samples,1,,,,,,,,,,no,no,
N560TW,2022-02-01,2022-02-01,False,KSDL,Scottsdale Airport,Scottsdale,0.98,40,2022-02-01T00:00:00Z,2022-02-01T00:06:22.200000Z,33.61621,-111.91791,C56X,N560TW,adsbexchange-samples,1,,,,,,,,,,no,no,
T7-ELL,2022-02-01,2022-02-01,False,KTUS,Tucson International Airport,Tucson,0.56,49,2022-02-01T00:31:19.700000Z,2022-02-01T00:38:19.300000Z,32.11632,-110.94379,GLEX,T7-ELL,adsbexchange-samples,1,,,,,,,,,,no,no,
N888KG,2022-03-01,2022-03-01,False,KTEB,Teterboro Airport,Teterboro,0.67,49,2022-03-01T00:00:00Z,2022-03-01T00:25:52Z,40.85614,-74.06035,CL30,N888KG,adsbexchange-samples,1,,,,,,,,,,no,no,
N560TW,2022-04-01,2022-04-01,False,KJAC,Jackson Hole Airport,Jackson,0.75,5,2022-04-01T00:00:00Z,2022-04-01T00:00:56.600000Z,43.61311,-110.73336,C56X,N560TW,adsbexchange-samples,1,Auburn,AL,2022-03-31,Charlie,Educate Don't Mandate Tour — Auburn University,yes,not_documented,-1,1559.67,no,no,site/docs/Planes/following/speaking/20220331_auburn.mdx
N560TW,2022-04-01,2022-04-01,False,KSDL,Scottsdale Airport,Scottsdale,0.09,35,2022-04-01T01:31:23.800000Z,2022-04-01T01:33:40.600000Z,33.62235,-111.91033,C56X,N560TW,adsbexchange-samples,1,Auburn,AL,2022-03-31,Charlie,Educate Don't Mandate Tour — Auburn University,yes,not_documented,-1,1526.16,no,no,site/docs/Planes/following/speaking/20220331_auburn.mdx
N582MM,2022-04-01,2022-04-01,False,KMEV,Minden-Tahoe Airport,Minden,0.72,27,2022-04-01T03:13:01.100000Z,2022-04-01T03:17:35.300000Z,39.00673,-119.75198,LJ60,N582MM,adsbexchange-samples,1,Auburn,AL,2022-03-31,Charlie,Educate Don't Mandate Tour — Auburn University,yes,not_documented,-1,1957.57,no,no,site/docs/Planes/following/speaking/20220331_auburn.mdx
N582MM,2022-04-01,2022-04-01,False,KTUS,Tucson International Airport,Tucson,1.66,38,2022-04-01T01:07:25.600000Z,2022-04-01T01:32:38.900000Z,32.12913,-110.9439,LJ60,N582MM,adsbexchange-samples,1,Auburn,AL,2022-03-31,Charlie,Educate Don't Mandate Tour — Auburn University,yes,not_documented,-1,1481.97,no,no,site/docs/Planes/following/speaking/20220331_auburn.mdx
N582MM,2022-04-01,2022-04-01,False,KVGT,North Las Vegas Airport,Las Vegas,0.88,32,2022-04-01T00:00:00Z,2022-04-01T00:13:40.600000Z,36.21342,-115.20223,LJ60,N582MM,adsbexchange-samples,1,Auburn,AL,2022-03-31,Charlie,Educate Don't Mandate Tour — Auburn University,yes,not_documented,-1,1704.86,no,no,site/docs/Planes/following/speaking/20220331_auburn.mdx
N872RA,2022-04-01,2022-04-01,False,KAUS,Austin Bergstrom International Airport,Austin,1.38,38,2022-04-01T00:00:00Z,2022-04-01T00:16:52.400000Z,30.18528,-97.65995,BE40,N872RA,adsbexchange-samples,1,Auburn,AL,2022-03-31,Charlie,Educate Don't Mandate Tour — Auburn University,yes,not_documented,-1,736.26,no,no,site/docs/Planes/following/speaking/20220331_auburn.mdx
N872RA,2022-04-01,2022-04-01,False,KSNA,John Wayne Orange County International Airport,Santa Ana,0.13,31,2022-04-01T03:23:52.800000Z,2022-04-01T03:25:39.700000Z,33.67432,-117.8704,BE40,N872RA,adsbexchange-samples,1,Auburn,AL,2022-03-31,Charlie,Educate Don't Mandate Tour — Auburn University,yes,not_documented,-1,1866.84,no,no,site/docs/Planes/following/speaking/20220331_auburn.mdx
N888KG,2022-04-01,2022-04-01,False,KPBI,President Donald J. Trump International Airport,West Palm Beach,0.77,4,2022-04-01T00:00:00Z,2022-04-01T00:01:23.800000Z,26.68342,-80.08784,CL30,N888KG,adsbexchange-samples,1,Auburn,AL,2022-03-31,Charlie,Educate Don't Mandate Tour — Auburn University,yes,not_documented,-1,522.27,no,no,site/docs/Planes/following/speaking/20220331_auburn.mdx
N560TW,2022-05-01,2022-05-01,False,KAPA,Centennial Airport,Denver,0.64,82,2022-05-01T01:33:59.900000Z,2022-05-01T02:09:44.800000Z,39.57568,-104.85061,C56X,N560TW,adsbexchange-samples,1,,,,,,,,,,no,no,
N560TW,2022-05-01,2022-05-01,False,KSDL,Scottsdale Airport,Scottsdale,1.13,43,2022-05-01T00:00:00Z,2022-05-01T00:21:11.300000Z,33.62965,-111.90182,C56X,N560TW,adsbexchange-samples,1,,,,,,,,,,no,no,
N560TW,2022-05-01,2022-05-01,False,KSDL,Scottsdale Airport,Scottsdale,0.13,33,2022-05-01T03:43:02.500000Z,2022-05-01T03:45:46.800000Z,33.62172,-111.91112,C56X,N560TW,adsbexchange-samples,1,,,,,,,,,,no,no,
N102DZ,2022-06-01,2022-06-01,False,KTEB,Teterboro Airport,Teterboro,0.61,31,2022-06-01T01:39:14.100000Z,2022-06-01T01:40:12.900000Z,40.85505,-74.05763,GLF5,N102DZ,adsbexchange-samples,1,Grapevine,TX,2022-06-02,Charlie,Young Women's Leadership Summit 2022,yes,not_documented,1,1379.26,no,no,site/docs/Planes/following/speaking/20220602_grapevine.mdx
N59906,2022-06-01,2022-06-01,False,KWVI,Watsonville Municipal Airport,Watsonville,0.38,1,2022-06-01T00:00:00Z,2022-06-01T00:00:00Z,36.93881,-121.78813,PA31,N59906,adsbexchange-samples,1,Grapevine,TX,2022-06-02,Charlie,Young Women's Leadership Summit 2022,yes,not_documented,1,1422.59,no,no,site/docs/Planes/following/speaking/20220602_grapevine.mdx
N888KG,2022-06-01,2022-06-01,False,KDAL,Dallas Love Field,Dallas,1.57,16,2022-06-01T00:00:00Z,2022-06-01T00:03:51.500000Z,32.85691,-96.85619,CL30,N888KG,adsbexchange-samples,1,Grapevine,TX,2022-06-02,Charlie,Young Women's Leadership Summit 2022,yes,not_documented,1,13.84,yes,no,site/docs/Planes/following/speaking/20220602_grapevine.mdx
