tail,date,verdict,archives_held,archives_asked_none,unresolved_by_our_tooling,adsb_lol_hole,adsb_lol_403_band,is_control,trace_points,first_seen_utc,last_seen_utc,bytes,stored_file,source_url,retrieved_utc
CONTROL-LUFTHANSA,2022-01-02,NEITHER_HAS_IT,,adsb-lol|airplanes-live,,no,no,yes,,,,,,,
CONTROL-LUFTHANSA,2022-02-17,NEITHER_HAS_IT,,adsb-lol|airplanes-live,,no,no,yes,,,,,,,
CONTROL-LUFTHANSA,2022-04-02,NEITHER_HAS_IT,,adsb-lol|airplanes-live,,no,no,yes,,,,,,,
CONTROL-LUFTHANSA,2022-04-14,NEITHER_HAS_IT,,adsb-lol|airplanes-live,,no,no,yes,,,,,,,
CONTROL-LUFTHANSA,2022-05-17,NEITHER_HAS_IT,,adsb-lol|airplanes-live,,no,no,yes,,,,,,,
CONTROL-LUFTHANSA,2022-06-01,NEITHER_HAS_IT,,adsb-lol|airplanes-live,,no,no,yes,,,,,,,
CONTROL-LUFTHANSA,2022-07-05,NEITHER_HAS_IT,,adsb-lol|airplanes-live,,no,no,yes,,,,,,,
CONTROL-LUFTHANSA,2022-07-25,NEITHER_HAS_IT,,adsb-lol|airplanes-live,,no,no,yes,,,,,,,
CONTROL-LUFTHANSA,2022-08-14,NEITHER_HAS_IT,,adsb-lol|airplanes-live,,no,no,yes,,,,,,,
CONTROL-LUFTHANSA,2022-09-19,NEITHER_HAS_IT,,adsb-lol|airplanes-live,,no,no,yes,,,,,,,
CONTROL-LUFTHANSA,2022-10-04,NEITHER_HAS_IT,,adsb-lol|airplanes-live,,no,no,yes,,,,,,,
CONTROL-LUFTHANSA,2022-10-05,NEITHER_HAS_IT,,adsb-lol|airplanes-live,,no,no,yes,,,,,,,
CONTROL-LUFTHANSA,2022-10-06,NEITHER_HAS_IT,,adsb-lol|airplanes-live,,no,no,yes,,,,,,,
CONTROL-LUFTHANSA,2022-10-10,NEITHER_HAS_IT,,adsb-lol|airplanes-live,,no,no,yes,,,,,,,
CONTROL-LUFTHANSA,2022-10-18,NEITHER_HAS_IT,,adsb-lol|airplanes-live,,no,no,yes,,,,,,,
CONTROL-LUFTHANSA,2022-10-19,NEITHER_HAS_IT,,adsb-lol|airplanes-live,,no,no,yes,,,,,,,
CONTROL-LUFTHANSA,2022-10-20,NEITHER_HAS_IT,,adsb-lol|airplanes-live,,no,no,yes,,,,,,,
CONTROL-LUFTHANSA,2022-10-21,NEITHER_HAS_IT,,adsb-lol|airplanes-live,,no,no,yes,,,,,,,
CONTROL-LUFTHANSA,2022-10-26,NEITHER_HAS_IT,,adsb-lol|airplanes-live,,no,no,yes,,,,,,,
CONTROL-LUFTHANSA,2022-10-31,NEITHER_HAS_IT,,adsb-lol|airplanes-live,,no,no,yes,,,,,,,
CONTROL-LUFTHANSA,2022-11-01,NEITHER_HAS_IT,,adsb-lol|airplanes-live,,no,no,yes,,,,,,,
CONTROL-LUFTHANSA,2022-11-02,NEITHER_HAS_IT,,adsb-lol|airplanes-live,,no,no,yes,,,,,,,
CONTROL-LUFTHANSA,2022-11-12,NEITHER_HAS_IT,,adsb-lol|airplanes-live,,no,no,yes,,,,,,,
CONTROL-LUFTHANSA,2022-11-13,NEITHER_HAS_IT,,adsb-lol|airplanes-live,,no,no,yes,,,,,,,
CONTROL-LUFTHANSA,2022-11-14,NEITHER_HAS_IT,,adsb-lol|airplanes-live,,no,no,yes,,,,,,,
CONTROL-LUFTHANSA,2022-11-16,NEITHER_HAS_IT,,adsb-lol|airplanes-live,,no,no,yes,,,,,,,
CONTROL-LUFTHANSA,2022-11-17,NEITHER_HAS_IT,,adsb-lol|airplanes-live,,no,no,yes,,,,,,,
CONTROL-LUFTHANSA,2022-11-18,NEITHER_HAS_IT,,adsb-lol|airplanes-live,,no,no,yes,,,,,,,
CONTROL-LUFTHANSA,2022-11-24,NEITHER_HAS_IT,,adsb-lol|airplanes-live,,no,no,yes,,,,,,,
CONTROL-LUFTHANSA,2022-11-25,NEITHER_HAS_IT,,adsb-lol|airplanes-live,,no,no,yes,,,,,,,
CONTROL-LUFTHANSA,2022-11-26,NEITHER_HAS_IT,,adsb-lol|airplanes-live,,no,no,yes,,,,,,,
CONTROL-LUFTHANSA,2022-12-04,NEITHER_HAS_IT,,adsb-lol|airplanes-live,,no,no,yes,,,,,,,
CONTROL-LUFTHANSA,2022-12-05,NEITHER_HAS_IT,,adsb-lol|airplanes-live,,no,no,yes,,,,,,,
CONTROL-LUFTHANSA,2022-12-06,NEITHER_HAS_IT,,adsb-lol|airplanes-live,,no,no,yes,,,,,,,
CONTROL-LUFTHANSA,2022-12-16,NEITHER_HAS_IT,,adsb-lol|airplanes-live,,no,no,yes,,,,,,,
CONTROL-LUFTHANSA,2022-12-19,NEITHER_HAS_IT,,adsb-lol|airplanes-live,,no,no,yes,,,,,,,
CONTROL-LUFTHANSA,2022-12-20,NEITHER_HAS_IT,,adsb-lol|airplanes-live,,no,no,yes,,,,,,,
CONTROL-LUFTHANSA,2022-12-21,NEITHER_HAS_IT,,adsb-lol|airplanes-live,,no,no,yes,,,,,,,
CONTROL-LUFTHANSA,2022-12-26,NEITHER_HAS_IT,,adsb-lol|airplanes-live,,no,no,yes,,,,,,,
CONTROL-LUFTHANSA,2022-12-27,NEITHER_HAS_IT,,adsb-lol|airplanes-live,,no,no,yes,,,,,,,
CONTROL-LUFTHANSA,2022-12-28,NEITHER_HAS_IT,,adsb-lol|airplanes-live,,no,no,yes,,,,,,,
CONTROL-LUFTHANSA,2023-01-11,NEITHER_HAS_IT,,adsb-lol|airplanes-live,,no,no,yes,,,,,,,
CONTROL-LUFTHANSA,2023-01-12,NEITHER_HAS_IT,,adsb-lol|airplanes-live,,no,no,yes,,,,,,,
CONTROL-LUFTHANSA,2023-01-13,NEITHER_HAS_IT,,adsb-lol|airplanes-live,,no,no,yes,,,,,,,
CONTROL-LUFTHANSA,2023-01-14,NEITHER_HAS_IT,,adsb-lol|airplanes-live,,no,no,yes,,,,,,,
CONTROL-LUFTHANSA,2023-01-15,NEITHER_HAS_IT,,adsb-lol|airplanes-live,,no,no,yes,,,,,,,
CONTROL-LUFTHANSA,2023-01-16,NEITHER_HAS_IT,,adsb-lol|airplanes-live,,no,no,yes,,,,,,,
CONTROL-LUFTHANSA,2023-02-07,ONLY_ON_AIRPLANES_LIVE,airplanes-live,adsb-lol,,no,no,yes,,,,507604,CONTROL-LUFTHANSA/data/recovered/CONTROL-LUFTHANSA_2023-02-07_airplanes-live_trace_full.json.gz,https://globe.airplanes.live/globe_history/2023/02/07/traces/44/trace_full_3c6444.json,2026-08-24T22:34:48Z
CONTROL-LUFTHANSA,2023-02-09,ONLY_ON_AIRPLANES_LIVE,airplanes-live,adsb-lol,,no,no,yes,,,,702418,CONTROL-LUFTHANSA/data/recovered/CONTROL-LUFTHANSA_2023-02-09_airplanes-live_trace_full.json.gz,https://globe.airplanes.live/globe_history/2023/02/09/traces/44/trace_full_3c6444.json,2026-08-26T18:10:58Z
CONTROL-LUFTHANSA,2023-02-10,ONLY_ON_AIRPLANES_LIVE,airplanes-live,adsb-lol,,no,no,yes,,,,668882,CONTROL-LUFTHANSA/data/recovered/CONTROL-LUFTHANSA_2023-02-10_airplanes-live_trace_full.json.gz,https://globe.airplanes.live/globe_history/2023/02/10/traces/44/trace_full_3c6444.json,2026-08-26T18:11:00Z
CONTROL-LUFTHANSA,2023-02-11,ONLY_ON_AIRPLANES_LIVE,airplanes-live,adsb-lol,,no,no,yes,,,,289792,CONTROL-LUFTHANSA/data/recovered/CONTROL-LUFTHANSA_2023-02-11_airplanes-live_trace_full.json.gz,https://globe.airplanes.live/globe_history/2023/02/11/traces/44/trace_full_3c6444.json,2026-08-26T18:11:02Z
CONTROL-LUFTHANSA,2023-02-24,BOTH_HAVE_IT,adsb-lol|airplanes-live,,,no,no,yes,,,,468239,CONTROL-LUFTHANSA/data/recovered/CONTROL-LUFTHANSA_2023-02-24_adsb-lol_trace_full.json.gz,https://adsb.lol/globe_history/2023/02/24/traces/44/trace_full_3c6444.json,2026-08-26T18:11:06Z
