hex,reg,type,operator,flags,event_days,distinct_cities,states,states_list,top_city,top_city_hits,top_city_share,off_m1,off_0,off_p1,day0_share,control_cities,control_contaminated
a77e75,N582MM,LJ60,"TK ENTERPRISES LLC, JRO AVIATION LLC, DOJA CONTRACTING LLC",tracked_fleet:N582MM,50,23,12,AZ|CA|CO|FL|GA|MI|NC|NV|OR|TX|UT|WI,"Phoenix,AZ",21,0.323,11,30,24,0.462,Spokane,yes
aab73f,N79SC,LJ60,D E MAGARIN ASSET MANAGEMENT LLC,NONE,26,13,8,AZ|CA|FL|GA|PA|TX|UT|WA,"Phoenix,AZ",17,0.486,9,13,13,0.371,,no
acaa1c,N915JX,E145,DELUX PUBLIC CHARTER LLC,NONE,23,8,5,AZ|CA|CO|NV|TX,"Las Vegas,NV",10,0.278,9,11,16,0.306,,no
a28392,N261JX,E135,DELUX PUBLIC CHARTER LLC,NONE,20,6,3,AZ|CA|NV,"Las Vegas,NV",16,0.444,12,14,10,0.389,,no
acf1ac,N933JX,E145,DELUX PUBLIC CHARTER LLC,NONE,18,8,4,AZ|CA|CO|TX,"Phoenix,AZ",15,0.517,9,11,9,0.379,,no
acd552,N926JX,E145,DELUX PUBLIC CHARTER LLC,NONE,18,8,4,AZ|CA|NV|TX,"Las Vegas,NV",8,0.286,7,9,12,0.321,,no
a56869,N448AV,SR20,"WESTWIND SCHOOL OF AERONAUTICS PHOENIX LLC DBA, UNITED AVIATE AC",NONE,18,6,2,AZ|CA,"Phoenix,AZ",27,0.818,11,9,13,0.273,,no
ac9ef7,N912JX,E145,DELUX PUBLIC CHARTER LLC,NONE,17,10,5,AZ|CA|CO|NV|TX,"Las Vegas,NV",8,0.381,7,6,8,0.286,,no
ad6472,N962JX,E145,DELUX PUBLIC CHARTER LLC,NONE,17,8,5,AZ|CA|CO|NV|TX,"Dallas,TX",8,0.308,9,9,8,0.346,,no
a5b767,N468AV,SR20,"WESTWIND SCHOOL OF AERONAUTICS PHOENIX LLC DBA, UNITED AVIATE AC",NONE,17,3,2,AZ|CA,"Phoenix,AZ",27,0.794,11,11,12,0.324,,no
a25fca,N252JX,E135,BANK OF UTAH TRUSTEE,NONE,16,7,3,AZ|CA|NV,"Phoenix,AZ",7,0.333,5,8,8,0.381,,no
ad6829,N963JX,E145,DELUX PUBLIC CHARTER LLC,NONE,16,5,5,AZ|CA|NV|TX|UT,"Phoenix,AZ",11,0.367,10,10,10,0.333,,no
a4d434,N410AV,SR20,"WESTWIND SCHOOL OF AERONAUTICS PHOENIX DBA, UNITED AVIATE ACADEM",NONE,16,4,2,AZ|CA,"Phoenix,AZ",25,0.833,8,10,12,0.333,,no
a5c12e,N470AV,SR20,"WESTWIND SCHOOL OF AERONAUTICS PHOENIX LLC DBA, UNITED AVIATE AC",NONE,16,4,2,AZ|CA,"Phoenix,AZ",28,0.848,12,11,10,0.333,,no
a3761c,N322DU,BCS3,DELTA AIR LINES INC,NONE,15,11,8,CA|CO|FL|GA|MN|TX|UT|WA,"Salt Lake City,UT",3,0.13,9,8,6,0.348,Spokane,yes
ad56f4,N959JX,E145,DELUX PUBLIC CHARTER LLC,NONE,15,9,5,AZ|CA|CO|NV|TX,"Dallas,TX",6,0.261,8,5,10,0.217,,no
a64342,N502VJ,GL5T,BANK OF UTAH TRUSTEE,dbflag:LADD,15,7,6,AZ|CA|DC|NJ|NV|OR,"Las Vegas,NV",6,0.286,7,7,7,0.333,,no
aa9d1a,N783QS,CL30,"NETJETS SALES INC, MD WHITE ASSOCIATES LLC, CAMPBELL SALES CO, B",NONE,15,6,6,AZ|CA|FL|MN|NV|OR,"Phoenix,AZ",6,0.316,4,7,8,0.368,Spokane,yes
a25c13,N251JX,E135,BANK OF UTAH TRUSTEE,NONE,15,6,3,AZ|CA|NV,"Las Vegas,NV",12,0.5,9,7,8,0.292,,no
a24727,N246JX,E145,DELUX PUBLIC CHARTER LLC,NONE,15,5,4,AZ|CA|NV|TX,"Phoenix,AZ",8,0.381,4,7,10,0.333,Albuquerque,yes
a0e819,N158C,PC12,"RUSH FAMILY AIRCRAFT LLC, APBX ADVENTURES LLC, 72 SEMINAR LLC, F",dbflag:LADD,15,4,2,AZ|UT,"Phoenix,AZ",15,0.75,7,5,8,0.25,Albuquerque|Spokane,yes
a213b9,N233AV,DA42,DIAMOND AIRCRAFT SALES USA INC,NONE,15,3,2,AZ|CA,"Phoenix,AZ",25,0.862,9,9,11,0.31,,no
a390da,N329MH,BE20,DESERT AVIATION LLC,NONE,15,2,2,AZ|CA,"Phoenix,AZ",14,0.778,4,6,8,0.333,Albuquerque,yes
a34e9d,N312DU,BCS3,DELTA AIR LINES INC,NONE,14,8,6,CA|DC|GA|MN|TX|UT,"Grapevine,TX",4,0.25,6,5,5,0.312,,no
ad533d,N958JX,E145,DELUX PUBLIC CHARTER LLC,NONE,14,8,5,AZ|CA|CO|NV|TX,"Las Vegas,NV",4,0.222,4,7,7,0.389,,no
a09cfe,N139DU,BCS1,DELTA AIR LINES INC,NONE,14,7,4,CA|MN|TX|UT,"Rancho Palos Verdes,CA",4,0.267,4,4,7,0.267,Spokane,yes
a83f2b,N630QS,C68A,"NETJETS SALES INC, APOGEE1701 LLC, CHAVEZ CHRIS, CHAVEZ ANDREA, ",NONE,14,7,4,AZ|CO|FL|TX,"West Palm Beach,FL",6,0.353,5,6,6,0.353,,no
a63975,N50VC,GL5T,VERDE CAPITAL CORP,dbflag:LADD,14,6,3,AZ|CA|UT,"Phoenix,AZ",10,0.625,6,4,6,0.25,,no
ab3cbb,N823HM,LJ45,"CYPRUS CENTER SERVICES LLC, RIAVA INVESTMENTS LLC",NONE,14,6,3,AZ|GA|MN,"Phoenix,AZ",14,0.667,8,7,6,0.333,Albuquerque,yes
acedf5,N932JX,E145,DELUX PUBLIC CHARTER LLC,NONE,14,5,4,AZ|CA|NV|TX,"Phoenix,AZ",15,0.6,6,9,10,0.36,,no
a24b29,N247MX,LJ45,SOUTHWEST AIRCRAFT CHARTER LC,NONE,14,3,2,AZ|CA,"Phoenix,AZ",19,0.905,6,6,9,0.286,Albuquerque,yes
a584c3,N455AV,SR20,"WESTWIND SCHOOL OF AERONAUTICS PHOENIX LLC DBA, UNITED AVIATE AC",NONE,14,3,2,AZ|CA,"Phoenix,AZ",22,0.846,9,8,9,0.308,,no
a8b6d5,N66018,C172,EXECUTIVE AVIATION LLC,government_operator_string,14,3,2,AZ|CA,"Phoenix,AZ",19,0.826,10,8,5,0.348,,no
ad83a6,N970AA,SH36,ACC INTEGRATED SERVICES INC,NONE,14,2,2,AZ|NV,"Phoenix,AZ",17,0.773,7,8,7,0.364,,no
a0757f,N129DU,BCS1,DELTA AIR LINES INC,NONE,13,10,6,CA|MN|NJ|TX|UT|WA,"Grapevine,TX",4,0.222,4,10,4,0.556,Spokane,yes
a73659,N564FX,CL30,"FLEXJET LLC, BIA OPS LLC, GULBAN MICHAEL, GULBAN ANN MARIE, JB V",NONE,13,8,5,AZ|CA|DC|NV|WA,"Las Vegas,NV",3,0.214,4,5,5,0.357,Albuquerque|Spokane,yes
a02681,N109DU,BCS1,BANK OF UTAH TRUSTEE,NONE,13,8,5,CA|CO|MN|TX|UT,"Dallas,TX",8,0.348,9,8,6,0.348,Spokane,yes
a03b6d,N114DU,BCS1,BANK OF UTAH TRUSTEE,NONE,13,8,4,CA|MN|TX|UT,"Grapevine,TX",4,0.211,7,7,5,0.368,Spokane,yes
a35254,N313DU,BCS3,DELTA AIR LINES INC,NONE,13,8,6,CA|DC|MI|TX|UT|WA,"Detroit,MI",3,0.214,7,4,3,0.286,,no
a75746,N572QS,C68A,"NETJETS SALES INC, STRAYER EDUCATION INC, DERRICK CORP, EXELON G",NONE,13,7,6,CA|DC|IL|NJ|NV|TX,"Grapevine,TX",5,0.278,6,6,6,0.333,Albuquerque|Spokane,yes
a4b859,N403FX,E545,"GLOBALFOUNDRIES U S INC, BEAL BARRY A, BEAL BARRY A JR, BEAL STU",NONE,13,7,5,AZ|CO|FL|NJ|TX,"West Palm Beach,FL",5,0.263,5,8,6,0.421,,no
a7566a,N572FX,CL30,"FLEXJET LLC, MVRE LLC, PARK AIR LLC, SYMPHONY INVESTMENTS LLC, J",NONE,13,7,5,AZ|CA|CO|FL|NV,"Phoenix,AZ",5,0.357,3,6,5,0.429,Spokane,yes
aca2ae,N913JX,E145,DELUX PUBLIC CHARTER LLC,NONE,13,7,4,AZ|CA|NV|TX,"Las Vegas,NV",6,0.4,5,4,6,0.267,,no
a6a45e,N527QS,C68A,"NETJETS SALES INC, PSV SERVICES LLC, SCRIPPS NETWORKS LLC, WRAY ",NONE,13,6,4,AZ|MN|NV|TX,"Phoenix,AZ",5,0.357,3,5,6,0.357,Chattanooga|Spokane,yes
a665b9,N511FX,CL30,"FLEXJET LLC, RICHEY ROBERT COOPER, KOHLBERG JAMES A, NAPLES REAL",NONE,13,6,5,AZ|CA|GA|KS|TX,"Phoenix,AZ",11,0.579,5,6,8,0.316,Syracuse,yes
a7424d,N567QD,PC12,QUEST DIAGNOSTICS CLINICAL LABORATORIES INC,NONE,13,5,4,FL|GA|PA|TX,"West Palm Beach,FL",6,0.375,4,5,7,0.312,Syracuse,yes
acc676,N922JX,E145,DELUX PUBLIC CHARTER LLC,NONE,13,5,3,AZ|CA|TX,"Grapevine,TX",6,0.316,6,8,5,0.421,,no
a2d0d5,N28030,P28A,CAE OXFORD AVIATION ACADEMY PHOENIX INC,NONE,13,4,2,AZ|CA,"Phoenix,AZ",11,0.688,6,6,4,0.375,,no
a5fb40,N485AV,SR20,"WESTWIND SCHOOL OF AERONAUTICS PHOENIX LLC DBA, UNITED AVIATE AC",NONE,13,3,2,AZ|CA,"Phoenix,AZ",14,0.778,6,5,7,0.278,,no
a4b423,N402AV,SR20,"WESTWIND SCHOOL OR AERONAUTICS PHOENIX LLC, UNITED AVIATE ACADEM",NONE,13,3,2,AZ|CA,"Phoenix,AZ",17,0.81,7,7,7,0.333,,no
ac1c9b,N88MM,PRM1,CRAIG AIR LLC,NONE,13,3,2,AZ|CA,"Phoenix,AZ",15,0.882,5,6,6,0.353,Albuquerque|Des Moines,yes
ab6f0e,N836EF,SR20,LUFTHANSA AVIATION TRAINING USA INC,NONE,13,2,2,AZ|CA,"Phoenix,AZ",22,0.957,7,8,8,0.348,,no
a23dcc,N2432K,C72R,CHRISTIANSEN AVIATION LLC,NONE,13,2,2,AZ|NV,"Las Vegas,NV",13,0.812,7,5,4,0.312,,no
a3411f,N309DU,BCS3,DELTA AIR LINES INC,NONE,12,8,4,CA|TX|UT|WA,"Grapevine,TX",6,0.333,7,6,5,0.333,Spokane,yes
a95d9d,N702SS,H25B,N702SS LLC,dbflag:LADD,12,8,5,AZ|CA|MN|NV|VA,"Phoenix,AZ",5,0.357,5,3,6,0.214,,no
a79dfa,N590FX,CL30,FLEXJET LLC,NONE,12,8,6,AZ|CA|FL|GA|MN|TX,"Rancho Palos Verdes,CA",6,0.353,4,5,8,0.294,,no
aa02d5,N744QS,CL30,"NETJETS SALES INC, MCCABE CHARLES, MCCABE GAIL, CR FINANCE LLC, ",NONE,12,7,6,AZ|CA|CO|GA|NJ|TX,"Rancho Palos Verdes,CA",4,0.308,4,4,5,0.308,,no
a90c14,N682QS,C56X,"NETJETS SALES INC, NETJETS AVIATION INC",NONE,12,7,5,AZ|CA|DC|OK|TX,"Dallas,TX",7,0.368,7,6,6,0.316,,no
a968b8,N705SG,C56X,"UNION OF OPERATING ENGINEERS, LOCAL 12/NOMINEE",dbflag:LADD,12,6,3,AZ|CA|NV,"Rancho Palos Verdes,CA",6,0.353,6,5,6,0.294,,no
adf21a,N998TX,C750,RYAN AIR LLC,NONE,12,6,5,AZ|DC|GA|NC|NV,"Phoenix,AZ",4,0.286,6,4,4,0.286,Albuquerque,yes
ad24e1,N946QS,C68A,"BP HOLDINGS I LLC, ELEVEN LEVELS LLC, FOUR STAR FREIGHTLINER INC",NONE,12,6,6,AZ|CO|DC|FL|OR|TX,"Tampa,FL",6,0.429,6,4,4,0.286,Spokane,yes
a23494,N241JX,E145,DELUX PUBLIC CHARTER LLC,NONE,12,6,4,AZ|CA|CO|TX,"Grapevine,TX",9,0.391,6,8,9,0.348,,no
ad445c,N954JS,C750,CITATION X PARTS LLC,NONE,12,6,4,AZ|CA|CO|TX,"Grapevine,TX",5,0.333,4,5,6,0.333,,no
a7b169,N595QS,C68A,"NETJETS SALES INC, STRAY DOG CAPITAL LLC, AERO MCPLANEFACE LLC, ",NONE,12,5,4,CA|FL|NV|TX,"Las Vegas,NV",3,0.231,5,4,4,0.308,,no
a27fdb,N260JX,E135,DELUX PUBLIC CHARTER LLC,NONE,12,5,3,AZ|CA|NV,"Las Vegas,NV",5,0.333,6,4,5,0.267,,no
a7907c,N587FX,CL30,FLEXJET LLC,NONE,12,5,4,AZ|FL|NV|TX,"Phoenix,AZ",4,0.286,2,4,8,0.286,,no
aa8477,N777QS,CL30,"NETJETS SALES INC, BANK OF UTAH TRUSTEE, CEGG LLC, HAMAC LLC, SO",NONE,12,5,5,AZ|CA|FL|NV|TX,"West Palm Beach,FL",6,0.375,5,6,5,0.375,,no
a944c8,N697AS,E55P,EXECUTIVE AIRSHARE LLC,government_operator_string,12,5,4,AZ|CA|CO|TX,"Dallas,TX",7,0.368,6,8,5,0.421,,no
a1ad46,N207NX,PC12,ISAIAH AVIATION LLC,NONE,12,4,2,AZ|CO,"Phoenix,AZ",14,0.824,6,5,6,0.294,Albuquerque,yes
a9f084,N74DH,GL5T,HALBERT & ASSOCIATES LLC,dbflag:LADD,12,4,2,AZ|TX,"Grapevine,TX",8,0.533,4,5,6,0.333,,no
a4cf33,N409MR,CL30,FLEX AIR LLC,dbflag:LADD,12,4,2,AZ|GA,"Phoenix,AZ",11,0.786,2,6,6,0.429,Des Moines,yes
