sweep_date,tail,source,circle_key,circle_kind,city,state,event_date,offset_days,who,points_in_circle,on_ground_in_circle,min_dist_mi,ground_lat,ground_lon,passed_geo_sweep_prefilter,trace_file
2023-02-07,N872RA,airplanes-live,20230208_tempe,event,Tempe,AZ,2023-02-08,-1,Charlie,263,False,2.78,,,True,N872RA/data/recovered/N872RA_2023-02-07_airplanes-live_trace_full.json.gz
2023-02-08,N582MM,airplanes-live,20230208_tempe,event,Tempe,AZ,2023-02-08,0,Charlie,142,False,10.16,,,True,N582MM/data/recovered/N582MM_2023-02-08_airplanes-live_trace_full.json.gz
2023-03-08,N560TW,airplanes-live,20230308_lexington,event,Lexington,KY,2023-03-08,0,Charlie,179,False,8.95,,,True,N560TW/data/recovered/N560TW_2023-03-08_airplanes-live_trace_full.json.gz
2023-03-08,N560TW,adsb-lol,control_albuquerque,control,Albuquerque,NM,,0,CONTROL — no known Kirk/TPUSA event,44,False,6.18,,,True,N560TW/data/recovered/N560TW_2023-03-08_adsb-lol_trace_full.json.gz
2023-03-08,N560TW,airplanes-live,control_albuquerque,control,Albuquerque,NM,,0,CONTROL — no known Kirk/TPUSA event,32,False,6.32,,,True,N560TW/data/recovered/N560TW_2023-03-08_airplanes-live_trace_full.json.gz
2023-03-09,N560TW,airplanes-live,20230308_lexington,event,Lexington,KY,2023-03-08,1,Charlie,129,False,2.15,,,True,N560TW/data/recovered/N560TW_2023-03-09_airplanes-live_trace_full.json.gz
2023-03-21,N582MM,adsb-lol,control_albuquerque,control,Albuquerque,NM,,0,CONTROL — no known Kirk/TPUSA event,4,False,49.17,,,True,N582MM/data/recovered/N582MM_2023-03-21_adsb-lol_trace_full.json.gz
2023-03-21,N582MM,airplanes-live,control_albuquerque,control,Albuquerque,NM,,0,CONTROL — no known Kirk/TPUSA event,5,False,49.14,,,True,N582MM/data/recovered/N582MM_2023-03-21_airplanes-live_trace_full.json.gz
2023-03-22,N582MM,adsb-lol,control_albuquerque,control,Albuquerque,NM,,0,CONTROL — no known Kirk/TPUSA event,27,False,30.63,,,True,N582MM/data/recovered/N582MM_2023-03-22_adsb-lol_trace_full.json.gz
2023-03-22,N582MM,airplanes-live,control_albuquerque,control,Albuquerque,NM,,0,CONTROL — no known Kirk/TPUSA event,40,False,30.63,,,True,N582MM/data/recovered/N582MM_2023-03-22_airplanes-live_trace_full.json.gz
2023-03-23,N102DZ,adsb-lol,control_albuquerque,control,Albuquerque,NM,,0,CONTROL — no known Kirk/TPUSA event,28,False,4.12,,,True,N102DZ/data/recovered/N102DZ_2023-03-23_adsb-lol_trace_full.json.gz
2023-03-23,N102DZ,airplanes-live,control_albuquerque,control,Albuquerque,NM,,0,CONTROL — no known Kirk/TPUSA event,39,False,3.87,,,True,N102DZ/data/recovered/N102DZ_2023-03-23_airplanes-live_trace_full.json.gz
2023-03-23,N582MM,adsb-lol,control_albuquerque,control,Albuquerque,NM,,0,CONTROL — no known Kirk/TPUSA event,35,False,5.12,,,True,N582MM/data/recovered/N582MM_2023-03-23_adsb-lol_trace_full.json.gz
2023-03-23,N582MM,airplanes-live,control_albuquerque,control,Albuquerque,NM,,0,CONTROL — no known Kirk/TPUSA event,50,False,5.13,,,True,N582MM/data/recovered/N582MM_2023-03-23_airplanes-live_trace_full.json.gz
2023-03-26,N582MM,adsb-lol,20230327_fort_worth,event,Fort Worth,TX,2023-03-27,-1,Charlie,141,False,16.14,,,True,N582MM/data/recovered/N582MM_2023-03-26_adsb-lol_trace_full.json.gz
2023-03-26,N582MM,airplanes-live,20230327_fort_worth,event,Fort Worth,TX,2023-03-27,-1,Charlie,146,False,16.14,,,True,N582MM/data/recovered/N582MM_2023-03-26_airplanes-live_trace_full.json.gz
2023-03-26,N582MM,adsb-lol,control_albuquerque,control,Albuquerque,NM,,0,CONTROL — no known Kirk/TPUSA event,23,False,33.48,,,True,N582MM/data/recovered/N582MM_2023-03-26_adsb-lol_trace_full.json.gz
2023-03-26,N582MM,airplanes-live,control_albuquerque,control,Albuquerque,NM,,0,CONTROL — no known Kirk/TPUSA event,35,False,33.46,,,True,N582MM/data/recovered/N582MM_2023-03-26_airplanes-live_trace_full.json.gz
2023-04-03,N102DZ,adsb-lol,control_albuquerque,control,Albuquerque,NM,,0,CONTROL — no known Kirk/TPUSA event,17,False,19.93,,,True,N102DZ/data/recovered/N102DZ_2023-04-03_adsb-lol_trace_full.json.gz
2023-04-03,N102DZ,airplanes-live,control_albuquerque,control,Albuquerque,NM,,0,CONTROL — no known Kirk/TPUSA event,25,False,19.93,,,True,N102DZ/data/recovered/N102DZ_2023-04-03_airplanes-live_trace_full.json.gz
2023-06-16,N582MM,adsb-lol,control_syracuse,control,Syracuse,NY,,0,CONTROL — no known Kirk/TPUSA event,23,False,23.08,,,True,N582MM/data/recovered/N582MM_2023-06-16_adsb-lol_trace_full.json.gz
2023-06-16,N582MM,airplanes-live,control_syracuse,control,Syracuse,NY,,0,CONTROL — no known Kirk/TPUSA event,51,False,22.95,,,True,N582MM/data/recovered/N582MM_2023-06-16_airplanes-live_trace_full.json.gz
2023-06-20,N582MM,adsb-lol,control_des_moines,control,Des Moines,IA,,0,CONTROL — no known Kirk/TPUSA event,19,False,33.77,,,True,N582MM/data/recovered/N582MM_2023-06-20_adsb-lol_trace_full.json.gz
2023-06-20,N582MM,airplanes-live,control_des_moines,control,Des Moines,IA,,0,CONTROL — no known Kirk/TPUSA event,28,False,33.79,,,True,N582MM/data/recovered/N582MM_2023-06-20_airplanes-live_trace_full.json.gz
2023-07-16,N582MM,adsb-lol,control_albuquerque,control,Albuquerque,NM,,0,CONTROL — no known Kirk/TPUSA event,18,False,29.76,,,True,N582MM/data/recovered/N582MM_2023-07-16_adsb-lol_trace_full.json.gz
