slug,date_first,date_last,date_certainty,who,attendee_class,city,state,venue,geocode_method,arrival_airport,arrival_airport_name,arrival_selection_basis,arrival_dist_from_city_mi,est_arrival_local,est_departure_local,est_confidence,kirk_side_observed_on_adsb,airports_within_radius,jet_capable,light_jet_capable,no_scheduled_service,su_found_in_radius,adsb_ground_contacts,adsb_ground_contacts_su,flights_csv_stays,flights_csv_stays_su,claimed_overlaps,su_just_outside_radius,su_just_outside_tails,archive_control_verdict,aircraft_days_needed,aircraft_days_held,coverage_pct_all_tails,coverage_pct_following_fleet,queried_pct_following_fleet,following_days_never_asked,yaml
20220104_phoenix,2022-01-04,2022-01-04,EVENT_DATE,Charlie,CHARLIE_ONLY,Phoenix,AZ,"Dream City Church, 13613 N Cave Creek Rd, Phoenix",us_census_2024_gazetteer,KPHX,Phoenix Sky Harbor International Airport,CURATED_tpusa_events.csv_VALUE_KEPT_computed_nearest_jet_field_DIFFERS,10.6,2022-01-04 15:30,2022-01-04 22:30,medium,0,43,11,5,41,no,0,0,0,0,0,0,,ARCHIVE RETENTION BOUNDARY,85,0,0.0,0.0,100.0,0,site/docs/Planes/following/speaking/20220104_phoenix.yaml
20220216_st_charles,2022-02-16,2022-02-16,EVENT_DATE,Charlie,CHARLIE_ONLY,St. Charles,IL,"Arcada Theatre, St. Charles, IL",us_census_2024_gazetteer,KDPA,Dupage Airport,CURATED_CSV_AND_COMPUTED_NEAREST_JET_FIELD_AGREE,3.3,2022-02-16 16:00,2022-02-16 23:00,medium,0,80,8,0,78,no,0,0,0,0,0,0,,ARCHIVE RETENTION BOUNDARY,85,0,0.0,0.0,100.0,0,site/docs/Planes/following/speaking/20220216_st_charles.yaml
20220329_colorado_springs,2022-03-29,2022-03-29,EVENT_DATE,Charlie,CHARLIE_ONLY,Colorado Springs,CO,"Fervent Church, Colorado Springs",us_census_2024_gazetteer,KCOS,City of Colorado Springs Municipal Airport,CURATED_CSV_AND_COMPUTED_NEAREST_JET_FIELD_AGREE,5.3,2022-03-29 16:00,2022-03-29 23:00,medium,0,43,4,2,41,no,0,0,0,0,0,0,,ARCHIVE RETENTION BOUNDARY,85,0,0.0,0.0,100.0,0,site/docs/Planes/following/speaking/20220329_colorado_springs.yaml
20220330_fayetteville,2022-03-30,2022-03-30,EVENT_DATE,Charlie,CHARLIE_ONLY,Fayetteville,AR,University of Arkansas,us_census_2024_gazetteer,KXNA,Northwest Arkansas National Airport,CURATED_tpusa_events.csv_VALUE_KEPT_computed_nearest_jet_field_DIFFERS,16.5,2022-03-30 16:00,2022-03-30 23:00,low,0,46,7,1,45,no,0,0,0,0,0,0,,ARCHIVE RETENTION BOUNDARY,85,4,4.7,0.0,100.0,0,site/docs/Planes/following/speaking/20220330_fayetteville.yaml
20220331_auburn,2022-03-31,2022-03-31,EVENT_DATE,Charlie,CHARLIE_ONLY,Auburn,AL,Hotel at Auburn University auditorium,us_census_2024_gazetteer,KAUO,Auburn University Regional Airport,CURATED_CSV_AND_COMPUTED_NEAREST_JET_FIELD_AGREE,3.6,2022-03-31 16:00,2022-03-31 23:00,medium,0,23,9,1,22,no,0,0,0,0,0,0,,ARCHIVE RETENTION BOUNDARY,85,4,4.7,0.0,100.0,0,site/docs/Planes/following/speaking/20220331_auburn.yaml
20220403_st_louis,2022-04-03,2022-04-03,EVENT_DATE,Charlie,CHARLIE_ONLY,St. Louis,MO,"Grace Church, St. Louis",us_census_2024_gazetteer,KSTL,St. Louis Lambert International Airport,CURATED_tpusa_events.csv_VALUE_KEPT_computed_nearest_jet_field_DIFFERS,10.3,2022-04-03 16:00,2022-04-03 23:00,low,0,40,6,1,38,no,0,0,0,0,0,0,,ARCHIVE RETENTION BOUNDARY,85,4,4.7,0.0,100.0,0,site/docs/Planes/following/speaking/20220403_st_louis.yaml
20220412_boulder,2022-04-12,2022-04-12,EVENT_DATE,Charlie,CHARLIE_ONLY,Boulder,CO,University of Colorado Boulder,us_census_2024_gazetteer,KBJC,Rocky Mountain Metropolitan Airport,CURATED_tpusa_events.csv_VALUE_KEPT_computed_nearest_jet_field_DIFFERS,10.7,2022-04-12 16:00,2022-04-12 23:00,medium,0,51,6,5,49,no,0,0,0,0,0,0,,ARCHIVE RETENTION BOUNDARY,85,0,0.0,0.0,100.0,0,site/docs/Planes/following/speaking/20220412_boulder.yaml
20220413_berkeley,2022-04-13,2022-04-13,EVENT_DATE,Charlie,CHARLIE_ONLY,Berkeley,CA,"Pauley Ballroom, UC Berkeley (afternoon Sproul Plaza tabling)",us_census_2024_gazetteer,KOAK,Oakland San Francisco Bay Airport,CURATED_CSV_AND_COMPUTED_NEAREST_JET_FIELD_AGREE,10.9,2022-04-13 15:30,2022-04-13 22:30,medium,0,21,9,1,16,no,0,0,0,0,0,0,,ARCHIVE RETENTION BOUNDARY,85,0,0.0,0.0,100.0,0,site/docs/Planes/following/speaking/20220413_berkeley.yaml
20220414_fullerton,2022-04-14,2022-04-14,EVENT_DATE,Charlie,CHARLIE_ONLY,Fullerton,CA,Cal State Fullerton,us_census_2024_gazetteer,KFUL,Fullerton Municipal Airport,CURATED_tpusa_events.csv_VALUE_KEPT_computed_nearest_jet_field_DIFFERS,3.1,2022-04-14 16:00,2022-04-14 23:00,medium,0,22,10,3,16,no,0,0,0,0,0,0,,ARCHIVE RETENTION BOUNDARY,85,0,0.0,0.0,100.0,0,site/docs/Planes/following/speaking/20220414_fullerton.yaml
20220420_milwaukee,2022-04-20,2022-04-20,EVENT_DATE,Charlie,CHARLIE_ONLY,Milwaukee,WI,University of Wisconsin-Milwaukee,us_census_2024_gazetteer,KMKE,General Mitchell International Airport,CURATED_tpusa_events.csv_VALUE_KEPT_computed_nearest_jet_field_DIFFERS,8.8,2022-04-20 17:02,2022-04-21 00:02,medium,0,56,5,5,55,no,0,0,0,0,0,0,,ARCHIVE RETENTION BOUNDARY,85,0,0.0,0.0,100.0,0,site/docs/Planes/following/speaking/20220420_milwaukee.yaml
20220519_tpusa_debate_night,2022-05-19,2022-05-19,EVENT_DATE,Charlie,CHARLIE_ONLY,UNKNOWN,,TPUSA Debate Night (streamed),FAILED,,,UNRESOLVED,, , ,,0,0,0,0,0,no,0,0,0,0,0,0,,,0,0,0,0,0,0,site/docs/Planes/following/speaking/20220519_tpusa_debate_night.yaml
20220521_tpusa_debate_night,2022-05-21,2022-05-21,PODCAST_PROXY,Charlie,CHARLIE_ONLY,UNKNOWN,,TPUSA Debate Night,FAILED,,,UNRESOLVED,, , ,,0,0,0,0,0,no,0,0,0,0,0,0,,,0,0,0,0,0,0,site/docs/Planes/following/speaking/20220521_tpusa_debate_night.yaml
20220602_grapevine,2022-06-02,2022-06-04,EVENT_DATE,Charlie,CHARLIE_ONLY,Grapevine,TX,"Gaylord Texan Resort & Convention Center, Grapevine, TX",us_census_2024_gazetteer,KDFW,Dallas Fort Worth International Airport,CURATED_CSV_AND_COMPUTED_NEAREST_JET_FIELD_AGREE,3.4,2022-06-02 16:00,2022-06-04 23:00,low,1,132,15,3,129,no,1,0,0,0,0,0,,ARCHIVE RETENTION BOUNDARY,119,5,4.2,2.4,100.0,0,site/docs/Planes/following/speaking/20220602_grapevine.yaml
20220705_tpusa_debate_night,2022-07-05,2022-07-05,PODCAST_PROXY,Charlie,CHARLIE_ONLY,UNKNOWN,,TPUSA Debate Night,FAILED,,,UNRESOLVED,, , ,,0,0,0,0,0,no,0,0,0,0,0,0,,,0,0,0,0,0,0,site/docs/Planes/following/speaking/20220705_tpusa_debate_night.yaml
20220722_tampa,2022-07-22,2022-07-24,EVENT_DATE,Charlie,CHARLIE_ONLY,Tampa,FL,Tampa Convention Center,us_census_2024_gazetteer,KTPA,Tampa International Airport,CURATED_CSV_AND_COMPUTED_NEAREST_JET_FIELD_AGREE,3.3,2022-07-22 16:00,2022-07-24 23:00,low,0,29,7,2,26,no,0,0,0,0,0,0,,ARCHIVE RETENTION BOUNDARY,119,0,0.0,0.0,100.0,0,site/docs/Planes/following/speaking/20220722_tampa.yaml
20220810_san_diego,2022-08-10,2022-08-12,EVENT_DATE,Charlie,CHARLIE_ONLY,San Diego,CA,"Loews Coronado Bay Resort, Coronado / San Diego",us_census_2024_gazetteer,KSAN,San Diego International Airport,CURATED_tpusa_events.csv_VALUE_KEPT_computed_nearest_jet_field_DIFFERS,6.5,2022-08-10 16:00,2022-08-12 23:00,low,0,22,7,3,19,no,0,0,0,0,0,0,,ARCHIVE RETENTION BOUNDARY,119,0,0.0,0.0,100.0,0,site/docs/Planes/following/speaking/20220810_san_diego.yaml
20220814_phoenix,2022-08-14,2022-08-14,EVENT_DATE,Charlie,CHARLIE_ONLY,Phoenix,AZ,"Arizona Financial Theatre, Phoenix",us_census_2024_gazetteer,KPHX,Phoenix Sky Harbor International Airport,CURATED_tpusa_events.csv_VALUE_KEPT_computed_nearest_jet_field_DIFFERS,10.6,2022-08-14 16:00,2022-08-14 23:00,low,0,43,11,5,41,no,0,0,0,0,0,0,,ARCHIVE RETENTION BOUNDARY,85,0,0.0,0.0,100.0,0,site/docs/Planes/following/speaking/20220814_phoenix.yaml
20220916_phoenix,2022-09-16,2022-09-17,EVENT_DATE,Charlie,CHARLIE_ONLY,Phoenix,AZ,"Arizona Grand Resort, 8000 Arizona Grand Pkwy, Phoenix",us_census_2024_gazetteer,KPHX,Phoenix Sky Harbor International Airport,CURATED_tpusa_events.csv_VALUE_KEPT_computed_nearest_jet_field_DIFFERS,10.6,2022-09-16 16:00,2022-09-17 23:00,low,0,43,11,5,41,no,0,0,0,0,0,0,,ARCHIVE RETENTION BOUNDARY,102,0,0.0,0.0,100.0,0,site/docs/Planes/following/speaking/20220916_phoenix.yaml
