dates,who,city,state,country,title,university_or_venue,time,event_type,date_certainty,source,source_url,notes,mdx_page
2022-01-04,Charlie,Phoenix,AZ,USA,Freedom Night in America,"Dream City Church, 13613 N Cave Creek Rd, Phoenix",18:30 local,faith,EVENT_DATE,TPUSA ('tonight' posting),https://tpusa.com/live/come-listen-to-charlie-kirk-at-freedom-night-in-america-tonight-at-dream-city-church-in-phoenix,"EVENT DATE Jan 4, 2022. Guest Pastor Luke Barnett. First sourced 2022 Charlie appearance.",site/docs/Planes/following/speaking/20220104_phoenix.mdx
2022-02-16,Charlie,St. Charles,IL,USA,No Forced Masks Rally,"Arcada Theatre, St. Charles, IL",evening,rally,EVENT_DATE,College of DuPage Courier; Shaw Local Kane County Chronicle,https://codcourier.org/charlie-kirk-and-local-high-school-students-hold-anti-mask-rally-in-st-charles/,"EVENT DATE Feb 16, 2022. TPUSA-hosted. Kirk grew up nearby. Guest attorney Thomas DeVore + local high-school students.",site/docs/Planes/following/speaking/20220216_st_charles.mdx
2022-03-29,Charlie,Colorado Springs,CO,USA,Saving America Tour — Fervent Church,"Fervent Church, Colorado Springs",evening,faith,EVENT_DATE,Colorado Times Recorder 30 Mar 2022,https://coloradotimesrecorder.com/2022/03/in-co-springs-speech-right-wing-activist-slams-churches-for-not-taking-firmer-stance-against-lgbtq-people/44482/,"EVENT DATE March 29, 2022. TPUSA Faith Saving America megachurch tour.",site/docs/Planes/following/speaking/20220329_colorado_springs.mdx
2022-03-30,Charlie,Fayetteville,AR,USA,Educate Don't Mandate Tour — University of Arkansas,University of Arkansas,,campus,EVENT_DATE,TPUSA Events Instagram tour card 15 Mar 2022 (3/30 @ uark),https://www.instagram.com/p/CbJGYGDPBCZ/,"EVENT DATE March 30, 2022. Replaces the 2022-04-15 podcast-proxy Arkansas row. Allie Beth Stuckey on this tour.",site/docs/Planes/following/speaking/20220330_fayetteville.mdx
2022-03-31,Charlie,Auburn,AL,USA,Educate Don't Mandate Tour — Auburn University,Hotel at Auburn University auditorium,evening,campus,EVENT_DATE,Auburn Plainsman 1 Apr 2022,https://www.theplainsman.com/article/2022/04/right-wing-activist-charlie-kirk-visits-auburn,"EVENT DATE March 31, 2022. Allie Beth Stuckey co-hosted. Replaces the 2022-04-22 podcast-proxy Auburn row.",site/docs/Planes/following/speaking/20220331_auburn.mdx
2022-04-03,Charlie,St. Louis,MO,USA,Saving America Tour — Grace Church,"Grace Church, St. Louis",,faith,EVENT_DATE,Word & Way 5 Apr 2022; USA Today church-tour coverage,https://wordandway.org/2022/04/05/charlies-no-angel/,"EVENT DATE April 3, 2022. MISSOURI clustering-claim state. Faith tour, not a campus hall.",site/docs/Planes/following/speaking/20220403_st_louis.mdx
2022-04-12,Charlie,Boulder,CO,USA,Educate Don't Mandate Tour — CU Boulder,University of Colorado Boulder,evening,campus,EVENT_DATE,"Colorado Times Recorder April 12, 2022",https://coloradotimesrecorder.com/2022/04/charlie-kirk-continues-transphobic-tirade-at-cu-boulder/45013/,"EVENT DATE April 12, 2022. Not on the original Instagram tour card.",site/docs/Planes/following/speaking/20220412_boulder.mdx
2022-04-13,Charlie,Berkeley,CA,USA,Educate Don't Mandate Tour — UC Berkeley,"Pauley Ballroom, UC Berkeley (afternoon Sproul Plaza tabling)",doors ~18:30; evening speech,campus,EVENT_DATE,Daily Californian,https://www.dailycal.org/news/campus/charlie-kirk-speaks-to-large-audience-met-with-silence-outside/article_58acb0eb-5089-54ef-a1a9-3118db2e8192.html,"EVENT DATE April 13, 2022. ~300 inside Pauley. Matches Instagram 4/13 @tpberkeley.",site/docs/Planes/following/speaking/20220413_berkeley.mdx
2022-04-14,Charlie,Fullerton,CA,USA,Educate Don't Mandate Tour — Cal State Fullerton,Cal State Fullerton,evening,campus,EVENT_DATE,TPUSA Events Instagram 4/14 @tpusacsuf; TPUSA YouTube,https://www.youtube.com/watch?v=nupkEWjai7I,"EVENT DATE April 14, 2022. Replaces the 2022-05-11 podcast-proxy Fullerton row.",site/docs/Planes/following/speaking/20220414_fullerton.mdx
2022-04-20,Charlie,Milwaukee,WI,USA,Educate Don't Mandate Tour — UW-Milwaukee with Candace Owens,University of Wisconsin-Milwaukee,~20:02 EDT stream,campus,EVENT_DATE,Rumble stream 20 Apr 2022; Instagram 4/20 @tpusauwm,https://rumble.com/v11r1ff-charlie-kirk-and-candace-owens-live-from-uw-milwaukee-educate-dont-mandate-.html,"EVENT DATE April 20, 2022. Candace Owens on stage. Replaces the 2022-04-24 podcast-proxy Milwaukee row.",site/docs/Planes/following/speaking/20220420_milwaukee.mdx
