docket_no	title	file_id	embed_label	size	url
1	Information, 9-16-25	15011912-ef6a-4cb0-9110-da11ae43c0b8	9 16 25 Information	284KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/15011912-ef6a-4cb0-9110-da11ae43c0b8.pdf
2	Probable Cause Affidavit, 9-16-25	6176388e-e453-4f96-aa18-b7417f6c3853	9 16 25 Probable Cause Affidavit	77.2KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/6176388e-e453-4f96-aa18-b7417f6c3853.pdf
3	Public Safety Assessment Report, 9-16-25	3d101069-1ce7-40a7-a630-7b95ae234197	9 16 25 Public Safety Assessment	720KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/3d101069-1ce7-40a7-a630-7b95ae234197.pdf
4	Bail Order, 9-16-25	5a7cca47-f738-488e-9107-6e0495524469	9 16 25 Bail Order	708KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/5a7cca47-f738-488e-9107-6e0495524469.pdf
5	Return of Electronic Notification, 9-16-25	c31a6d84-7df7-459e-9f83-61007028a30a	9 16 25 Return Of Electronic Notification	20.4KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/c31a6d84-7df7-459e-9f83-61007028a30a.pdf
6	Acknowledgment of Firearm Restriction, 9-16-25	361d1fcb-c9de-4549-8c02-78450bae7fb7	9 16 25 Acknowledgment Of Firearm Restriction	140KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/361d1fcb-c9de-4549-8c02-78450bae7fb7.pdf
7	Order (Proposed) Pretrial Protective Order, 9-16-25	c6387776-9454-44bb-beb1-33a226b44572	9 16 25 Proposed Pretrial Protective Order	384KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/c6387776-9454-44bb-beb1-33a226b44572.pdf
8	Return of Electronic Notification, 9-16-25	35c5a943-39cf-499e-b42b-df84896ce849	9 16 25 Return Of Electronic Notification 2	20.4KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/35c5a943-39cf-499e-b42b-df84896ce849.pdf
10	State’s Notice of Intent to Seek the Death Penalty, 9-16-25	0de50288-75a3-4d17-981e-720a32158ce3	9 16 25 Notice Of Intent To Seek Death Penalty	179KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/0de50288-75a3-4d17-981e-720a32158ce3.pdf
12	Request for Designation of Victim Representative, 9-16-25	f479c8bd-2db7-492f-957e-82923b693154	9 16 25 Request For Designation Of Victim Representative	95.7KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/f479c8bd-2db7-492f-957e-82923b693154.pdf
14	Order Pretrial Protective Order, 9-16-25	903f010b-5e13-4966-9bb4-36c76b544a45	9 16 25 Pretrial Protective Order Erika Kirk	770KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/903f010b-5e13-4966-9bb4-36c76b544a45.pdf
17	Initial Appearance, 9-22-25	27a066c0-ece9-4514-986a-85f44487912c	9 17 25 Initial Appearance	711KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/27a066c0-ece9-4514-986a-85f44487912c.pdf
20	Notice for Case 251403576 FS Judge: Tony F. Graf Jr., 9-23-25	3d3005e1-7eae-4f87-b187-f53ca8acb166	9 23 25 Notice	20.8KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/3d3005e1-7eae-4f87-b187-f53ca8acb166.pdf
22	Order for Court Reporter, 9-22-25	bcadabfb-5b7a-402a-98e6-2b2279e60c76	9 22 25 Order For Court Reporter	202KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/bcadabfb-5b7a-402a-98e6-2b2279e60c76.pdf
23	Protection Order Re: Pre-Trial and Trial Publicity, 9-22-25	318a8e0e-652a-495d-b86f-b89a1784b365	9 22 25 Protection Order Re Trial Publicity	267KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/318a8e0e-652a-495d-b86f-b89a1784b365.pdf
24	Order to Transport, 9-24-25	c4357d04-b414-49e6-8e63-5baecc6c449c	9 24 25 Order To Transport	127KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/c4357d04-b414-49e6-8e63-5baecc6c449c.pdf
28	Standing Decorum Order, 9-24-25	20aa8189-c801-47d0-8b7e-1e4a84d74983	9 24 25 Standing Decorum Order	579KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/20aa8189-c801-47d0-8b7e-1e4a84d74983.pdf
32	Affidavit/Declaration Rule 8 Declaration of Kathryn N. Nester, 9-25-25	bf5aee24-3c96-4862-82fc-8ab02671c83f	9 25 25 Rule 8 Declaration Of Kathryn Nester	170KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/bf5aee24-3c96-4862-82fc-8ab02671c83f.pdf
33	Affidavit/Declaration Rule 8 Declaration of Michael N. Burt, 9-25-25	d980601e-4539-46f1-9f82-16ca8535b13a	9 25 25 Michael N	151KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/d980601e-4539-46f1-9f82-16ca8535b13a.pdf
34	Affidavit/Declaration Rule 8 Declaration of Richard G. Novak, 9-25-25	fcef7e1e-0d8b-4719-a382-f44f380b16ab	9 25 25 Richard G	181KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/fcef7e1e-0d8b-4719-a382-f44f380b16ab.pdf
35	Motion Pro Hac Vice to Admit Michael N. Burt, 9-25-25	04b4bdef-7773-4ac9-9830-a3ddae4f85e9	9 25 25 Motion To Admit Michael Burt Phv	360KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/04b4bdef-7773-4ac9-9830-a3ddae4f85e9.pdf
36	Motion Pro Hac Vice to Admit Richard G. Novak, 9-25-25	5d7398b3-f6e4-42dd-a0a6-d719fa27fc6c	9 25 25 Motion To Admit Richard Novak Phv	334KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/5d7398b3-f6e4-42dd-a0a6-d719fa27fc6c.pdf
41	Order Admitting Michael N. Burt Pro Hac Vice, 9-26-25	4ebb4802-a92a-4c22-8b76-173a618dc35c	9 26 25 Order Admitting Michael Burt Phv	752KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/4ebb4802-a92a-4c22-8b76-173a618dc35c.pdf
42	Order Findings of Fact and Conclusions of Law Regarding Appointment of Rule 8 Counsel, 9-27-25	b7951b82-052a-42f7-8bbd-715e4faf5868	9 27 25 Fofacol On Rule 8 Counsel	752KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/b7951b82-052a-42f7-8bbd-715e4faf5868.pdf
44	Order Admitting Richard G. Novak Pro Hac Vice, 9-27-25	99b9f3de-4371-4db5-a957-c770aeeaeb4f	9 27 25 Order Admitting Richard Novak Phv	752KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/99b9f3de-4371-4db5-a957-c770aeeaeb4f.pdf
47	Supplemental Exhibit to Motion and Consent of Sponsoring Local Counsel for Pro Hac Vice Admission of Out of State Counsel Michael N. Burt, 9-28-25	8e18e9dd-966e-4b4b-ac42-292e1b747f53	9 28 25 Supp Exhibit To Motion Re Phv Of Michael Burt	297KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/8e18e9dd-966e-4b4b-ac42-292e1b747f53.pdf
48	Supplemental Exhibit to Motion and Consent of Sponsoring Local Counsel for Pro Hac Vice Admission of Out of State Counsel Richard G. Novak, 9-28-25	cf06cc47-adf9-412f-ae7a-88c300c8143b	9 28 25 Supp Exhibit To Motion Re Phv Of Richard Novak	205KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/cf06cc47-adf9-412f-ae7a-88c300c8143b.pdf
49	Supplemental Exhibit to Rule 8 Declaration of Michael N. Burt, 9-28-25	1bc8f49b-a8cc-4585-a741-c9a0bf19ae3e	9 28 25 Supp Exhibit To Michael Burt Phv Affidavit	288KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/1bc8f49b-a8cc-4585-a741-c9a0bf19ae3e.pdf
50	Supplemental Exhibit to Rule 8 Declaration of Richard G. Novak, 9-28-25	3394a3a2-6a29-47f4-b6c9-795eb3675e44	9 28 25 Supp Exhibit To Richard Novak Phv Affidavit	311KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/3394a3a2-6a29-47f4-b6c9-795eb3675e44.pdf
55	Appearance of Counsel/Notice of Limited Appearance of Counsel, 9-30-25	64ea8c52-3263-4546-bb20-0b8e84ddca12	9 30 25 Notice Of Appearance Chad Grunander For State	144KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/64ea8c52-3263-4546-bb20-0b8e84ddca12.pdf
56	Appearance of Counsel/Notice of Limited Appearance of Counsel, 9-30-25	74a72add-92b7-47e6-a32e-4649a5992d2b	9 30 25 Notice Of Appearance Christopher Ballard For State	144KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/74a72add-92b7-47e6-a32e-4649a5992d2b.pdf
57	Appearance of Counsel/Notice of Limited Appearance of Counsel, 9-30-25	451541a4-d71e-43df-b2b9-7322bb688209	9 30 25 Notice Of Appearance David Sturgill For State	144KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/451541a4-d71e-43df-b2b9-7322bb688209.pdf
58	Appearance of Counsel/Notice of Limited Appearance of Counsel, 9-30-25	4ff5ca32-d4fb-433b-a2f2-6dce59a84a6c	9 30 25 Notice Of Appearance Lauren Hunt For State	143KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/4ff5ca32-d4fb-433b-a2f2-6dce59a84a6c.pdf
59	Appearance of Counsel/Notice of Limited Appearance of Counsel, 9-30-25	2f39b1cf-e5b8-49d5-9fc2-bffd1529fc3b	9 30 25 Notice Of Appearance Ryan Mcbride For State	144KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/2f39b1cf-e5b8-49d5-9fc2-bffd1529fc3b.pdf
61	Request for Discovery, 9-30-25	26bc3b24-7536-403d-9a99-f4c48cf2a373	9 30 25 Request For Discovery	266KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/26bc3b24-7536-403d-9a99-f4c48cf2a373.pdf
64	Telephonic Conference, 10-1-25	b4cf5290-71e5-4491-be01-45a5a8422e18	10 1 25 Telephonic Conference 64	710KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/b4cf5290-71e5-4491-be01-45a5a8422e18.pdf
65	Telephonic Conference, 10-1-25	7036d3e3-5ebc-480c-ab8d-d74ae1e2a454	10 1 25 Telephonic Conference 65	709KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/7036d3e3-5ebc-480c-ab8d-d74ae1e2a454.pdf
66	Request and Order for Electronic Media Coverage of Court Proceedings, 9-29-25	a9ba24be-f672-42d5-afd9-62a1b4a2dc7d	9 29 25 Request And Order For Electronic Media Coverage	119KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/a9ba24be-f672-42d5-afd9-62a1b4a2dc7d.pdf
71	Request for Audio Recording, 10-6-25	bcaecd49-8a97-44b1-ad9f-89299e143a35	10 6 25 Request For Audio Recording	99KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/bcaecd49-8a97-44b1-ad9f-89299e143a35.pdf
74	Copy of Video/Audio Record (completed), 10-8-25	6903bbde-de6a-4e8c-b9c6-ab7375432e44	10 8 25 Copy Of Video Audio Record Completed	117KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/6903bbde-de6a-4e8c-b9c6-ab7375432e44.pdf
75	Motion to Preserve Evidence, 10-8-25	213c1939-16c4-428a-90bb-3121cfe74dec	10 8 25 Motion To Preserve Evidence	125KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/213c1939-16c4-428a-90bb-3121cfe74dec.pdf
79	Motion Permission to File Overlength Motion to Appear in Civilian Clothes and Without Restraints, 10-9-25	8edc4b88-8a8f-4db1-97eb-89f3d689e142	10 9 25 Motion For Permission To File Overlength Brief	159KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/8edc4b88-8a8f-4db1-97eb-89f3d689e142.pdf
80	Request/Notice to Submit Motion for Permission to File Overlength Motion to Appear in Civilian Clothes and Without Restraints, 10-9-25	4bd7410f-fb0c-4448-91b5-562d58ea5007	10 9 25 Request To Submit Motion For Overlength Brief	139KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/4bd7410f-fb0c-4448-91b5-562d58ea5007.pdf
83	Motion (Hearing Requested) to Appear at All In-Person Proceedings in Civilian Clothing and Without Restraints and Memorandum in Support, 10-9-25	9bb9127e-4fe5-4c5a-bcdc-13d075d83a90	10 9 25 Motion To Appear At All In Person Proceedings In Civilian Clothing And Without Restraints And Memorandum In Support	509KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/9bb9127e-4fe5-4c5a-bcdc-13d075d83a90.pdf
