filename,bytes,docket_label,source_url
2025-09-16_dkt_Acknowledgment_of_Firearm_Restriction.pdf,142881,"Acknowledgment of Firearm Restriction, 9-16-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/361d1fcb-c9de-4549-8c02-78450bae7fb7.pdf
2025-09-16_dkt_Bail_Order.pdf,724774,"Bail Order, 9-16-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/5a7cca47-f738-488e-9107-6e0495524469.pdf
2025-09-16_dkt_Information.pdf,290634,"Information, 9-16-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/15011912-ef6a-4cb0-9110-da11ae43c0b8.pdf
2025-09-16_dkt_Order_Pretrial_Protective_Order.pdf,788956,"Order Pretrial Protective Order, 9-16-25 <div class=""",https://andreaburkhart.substack.com/api/v1/file/903f010b-5e13-4966-9bb4-36c76b544a45.pdf
2025-09-16_dkt_Order_Proposed_Pretrial_Protective_Order.pdf,393197,"Order (Proposed) Pretrial Protective Order, 9-16-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/c6387776-9454-44bb-beb1-33a226b44572.pdf
2025-09-16_dkt_Probable_Cause_Affidavit.pdf,79015,"Probable Cause Affidavit, 9-16-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/6176388e-e453-4f96-aa18-b7417f6c3853.pdf
2025-09-16_dkt_Public_Safety_Assessment_Report.pdf,737186,"Public Safety Assessment Report, 9-16-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/3d101069-1ce7-40a7-a630-7b95ae234197.pdf
2025-09-16_dkt_Request_for_Designation_of_Victim_Representative.pdf,97973,"Request for Designation of Victim Representative, 9-16-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/f479c8bd-2db7-492f-957e-82923b693154.pdf
2025-09-16_dkt_Return_of_Electronic_Notification_01.pdf,20882,"Return of Electronic Notification, 9-16-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/c31a6d84-7df7-459e-9f83-61007028a30a.pdf
2025-09-16_dkt_Return_of_Electronic_Notification_02.pdf,20934,"Return of Electronic Notification, 9-16-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/35c5a943-39cf-499e-b42b-df84896ce849.pdf
2025-09-16_dkt_State_s_Notice_of_Intent_to_Seek_the_Death_Penalty.pdf,183354,"State’s Notice of Intent to Seek the Death Penalty, 9-16-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/0de50288-75a3-4d17-981e-720a32158ce3.pdf
2025-09-22_dkt_Initial_Appearance.pdf,728301,"Initial Appearance, 9-22-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/27a066c0-ece9-4514-986a-85f44487912c.pdf
2025-09-22_dkt_Order_for_Court_Reporter.pdf,206932,"Order for Court Reporter, 9-22-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/bcadabfb-5b7a-402a-98e6-2b2279e60c76.pdf
2025-09-22_dkt_Protection_Order_Re_Pre_Trial_and_Trial_Publicity.pdf,273063,"Protection Order Re: Pre-Trial and Trial Publicity, 9-22-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/318a8e0e-652a-495d-b86f-b89a1784b365.pdf
2025-09-23_dkt_Notice_for_Case_251403576_FS_Judge_Tony_F_Graf_Jr.pdf,21251,"Notice for Case 251403576 FS Judge: Tony F. Graf Jr., 9-23-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/3d3005e1-7eae-4f87-b187-f53ca8acb166.pdf
2025-09-24_dkt_Order_to_Transport.pdf,129923,"Order to Transport, 9-24-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/c4357d04-b414-49e6-8e63-5baecc6c449c.pdf
2025-09-24_dkt_Standing_Decorum_Order.pdf,593267,"Standing Decorum Order, 9-24-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/20aa8189-c801-47d0-8b7e-1e4a84d74983.pdf
2025-09-25_dkt_Affidavit_Declaration_Rule_8_Declaration_of_Kathryn_N_Nester.pdf,173914,"Affidavit/Declaration Rule 8 Declaration of Kathryn N. Nester, 9-25-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/bf5aee24-3c96-4862-82fc-8ab02671c83f.pdf
2025-09-25_dkt_Affidavit_Declaration_Rule_8_Declaration_of_Michael_N_Burt.pdf,154738,"Affidavit/Declaration Rule 8 Declaration of Michael N. Burt, 9-25-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/d980601e-4539-46f1-9f82-16ca8535b13a.pdf
2025-09-25_dkt_Affidavit_Declaration_Rule_8_Declaration_of_Richard_G_Novak.pdf,185498,"Affidavit/Declaration Rule 8 Declaration of Richard G. Novak, 9-25-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/fcef7e1e-0d8b-4719-a382-f44f380b16ab.pdf
2025-09-25_dkt_Motion_Pro_Hac_Vice_to_Admit_Michael_N_Burt.pdf,368948,"Motion Pro Hac Vice to Admit Michael N. Burt, 9-25-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/04b4bdef-7773-4ac9-9830-a3ddae4f85e9.pdf
2025-09-25_dkt_Motion_Pro_Hac_Vice_to_Admit_Richard_G_Novak.pdf,342182,"Motion Pro Hac Vice to Admit Richard G. Novak, 9-25-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/5d7398b3-f6e4-42dd-a0a6-d719fa27fc6c.pdf
2025-09-26_dkt_Order_Admitting_Michael_N_Burt_Pro_Hac_Vice.pdf,770303,"Order Admitting Michael N. Burt Pro Hac Vice, 9-26-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/4ebb4802-a92a-4c22-8b76-173a618dc35c.pdf
2025-09-27_dkt_Order_Admitting_Richard_G_Novak_Pro_Hac_Vice.pdf,770389,"Order Admitting Richard G. Novak Pro Hac Vice, 9-27-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/99b9f3de-4371-4db5-a957-c770aeeaeb4f.pdf
2025-09-27_dkt_Order_Findings_of_Fact_and_Conclusions_of_Law_Regarding_Appointment_of_Rule_8_Counsel_div_.pdf,769798,"Order Findings of Fact and Conclusions of Law Regarding Appointment of Rule 8 Counsel, 9-27-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/b7951b82-052a-42f7-8bbd-715e4faf5868.pdf
