overlap_id,dir_name,person,following_tail,kirk_tail,airport_code,date,times_status,drawable,built_date,skip_reason
OWENS-001,,,SU-BTT,,KJFK,2022-10-05,none,no,,"neither free archive holds a trace for SU-BTT on this date - a coverage fact, not an absence"
OWENS-002,,,SU-BTT,,KORD,2022-10-20,none,no,,"neither free archive holds a trace for SU-BTT on this date - a coverage fact, not an absence"
OWENS-003,,,SU-BTT,,KBOS,2022-11-01,none,no,,"neither free archive holds a trace for SU-BTT on this date - a coverage fact, not an absence"
OWENS-004,,,SU-BTT,,KICT,2022-11-13,none,no,,"neither free archive holds a trace for SU-BTT on this date - a coverage fact, not an absence"
OWENS-005,,,SU-BTT,,KILG,2022-11-17,none,no,,"neither free archive holds a trace for SU-BTT on this date - a coverage fact, not an absence"
OWENS-043,,,SU-BTT,,KILG,2022-11-25,none,no,,"neither free archive holds a trace for SU-BTT on this date - a coverage fact, not an absence"
OWENS-044,,,SU-BTT,,KORD,2022-12-05,none,no,,"neither free archive holds a trace for SU-BTT on this date - a coverage fact, not an absence"
OWENS-006,,,SU-BTT,,KSTL,2022-12-20,none,no,,"neither free archive holds a trace for SU-BTT on this date - a coverage fact, not an absence"
OWENS-007,,,SU-BTT,,KBGR,2022-12-27,none,no,,"neither free archive holds a trace for SU-BTT on this date - a coverage fact, not an absence"
OWENS-045,,,SU-BTT,,KICT,2023-01-12,none,no,,"neither free archive holds a trace for SU-BTT on this date - a coverage fact, not an absence"
OWENS-008,,,SU-BTT,,KATL,2023-01-15,none,no,,"neither free archive holds a trace for SU-BTT on this date - a coverage fact, not an absence"
OWENS-009,,,SU-BTT,,KILG,2023-02-10,none,no,,"neither free archive holds a trace for SU-BTT on this date - a coverage fact, not an absence"
OWENS-046,2023_02_25_KSUS_Erika_MO_st_louis,Erika,SU-BTT,,KSUS,2023-02-25,complete,yes,2026-08-29,
OWENS-047,,,SU-BTT,,KOMA,2023-03-15,none,no,,"neither free archive holds a trace for SU-BTT on this date - a coverage fact, not an absence"
OWENS-048,,,SU-BTT,,KILG,2023-03-27,none,no,,"neither free archive holds a trace for SU-BTT on this date - a coverage fact, not an absence"
OWENS-010,,,SU-BTT,,KSTL,2023-04-01,none,no,,"TPUSA event with neither Kirk claimed present - outside this template, which draws one following aircraft against one Kirk side (a measured window for SU-BTT DOES exist at this field on this date)"
SITE-001,,,SU-BTT;SU-BND,,KSTL/KCPS/KSUS,2023-04-02,none,no,,"this row names a metro area (KSTL/KCPS/KSUS), not one field"
OWENS-011,2023_04_06_KILG_Erika_DE_wilmington,Erika,SU-BTT,,KILG,2023-04-06,complete,yes,2026-08-29,
OWENS-012,,,SU-BTT,,KICT,2023-04-14,none,no,,archives hold this tail for this date but it was not at the claimed field (SU-BTT closest 27.58 km)
OWENS-013,2023_04_20_KILG_Erika_DE_wilmington,Erika,SU-BTT,,KILG,2023-04-20,complete,yes,2026-08-29,
EXTRA-003,,,SU-BTT,,KTOP,2023-04-23,none,no,,"TPUSA event with neither Kirk claimed present - outside this template, which draws one following aircraft against one Kirk side"
OWENS-049,,,SU-BTT,,KICT,2023-04-25,none,no,,"TPUSA event with neither Kirk claimed present - outside this template, which draws one following aircraft against one Kirk side"
OWENS-014,2023_05_03_KCPS_Erika_IL_cahokia,Erika,SU-BND,,KCPS,2023-05-03,complete,yes,2026-08-29,
OWENS-015,,,SU-BND,,CYYR,2023-05-09,none,no,,archives hold this tail for this date but it was not at the claimed field (SU-BND closest 1062.56 km)
OWENS-050,,,SU-BND,,KSTL,2023-05-12,none,no,,archives hold this tail for this date but it was not at the claimed field (SU-BND closest 7034.48 km)
OWENS-051,,,SU-BTT,,KICT,2023-06-08,none,no,,"neither free archive holds a trace for SU-BTT on this date - a coverage fact, not an absence"
OWENS-016,,,SU-BND,,KPVU,2023-06-12,none,no,,"neither free archive holds a trace for SU-BND on this date - a coverage fact, not an absence"
OWENS-052,,,SU-BND,,KILG,2023-06-25,none,no,,"neither free archive holds a trace for SU-BND on this date - a coverage fact, not an absence"
