event_key,event,path_to_cvg,description
km_01_wiped_out_premonition,KM-01 wiped-out premonition — when Charlie wrote he might get wiped out at any time,site/internals/static/img/km-timelines/km-01-timeline.svg,"Likelihood of when Charlie Kirk wrote the long-running premonition text (fuller form: since the beginning of TPUSA he knew in his gut he might get wiped out at any time; dreams about it). Multi-year axis (TPUSA founding ~2012 through SEPT 2025); strongest public dating claim puts related Candace Owens texts around 2018. Not a SEPT 9 kill-me item. Distinct from km_07_sept9_all_caps and the Israel-split cluster (km_02 through km_06)."
km_02_harrison_smith_relay,KM-02 Harrison Smith relay — when Charlie’s underlying Israel-kill fear was expressed (if at all),site/internals/static/img/km-timelines/km-02-timeline.svg,"Likelihood of when Charlie expressed the fear that Israel would kill him if he turned against them — as third-hand relayed by Harrison Smith’s AUG 13 2025 X post (source unnamed). Peak on/before AUG 13 (post date is solid; conversation day is not). X users say ~3 or ~6 weeks before death counting from that post. Measures the underlying remark timing, not the public post alone. Sibling first-person slogans: km_03_break_away_pro_israel and km_04_go_against_israel (do not collapse into this third-hand relay)."
km_03_break_away_pro_israel,KM-03 break-away slogan — when “they will kill me if I break away from being pro-Israel” was said,site/internals/static/img/km-timelines/km-03-timeline.svg,"Likelihood window for the shorter slogan-form first-person attribution: They will kill me if I break away from being pro-Israel. Investigation index KB156 dates AUG 13 2025; public retellings often sit in mid-AUG 13–16 with km_04_go_against_israel. Delivery mode (verbal vs text) disputed. Distinct from km_02_harrison_smith_relay (third-hand Smith post) and from km_04_go_against_israel (fuller conditional go-against line; often bimodal AUG 13/16)."
km_04_go_against_israel,KM-04 go-against-Israel line — when “if I go against Israel I think they will kill me” was said,site/internals/static/img/km-timelines/km-04-timeline.svg,"Likelihood for the fuller conditional first-person line: Hey if I go against Israel I think they will kill me. Beat indexes often AUG 16 (KB155); Instagram reels and many X posts still stamp AUG 13; chart is bimodal. Context claim: told to a friend instructed to post online. Distinct from km_03_break_away_pro_israel (shorter break-away slogan) and km_02_harrison_smith_relay (Smith third-hand paraphrase)."
km_05_turek_want_me_dead,KM-05 Frank Turek — when “I know they want me dead / under the gun / pray for me” was texted,site/internals/static/img/km-timelines/km-05-timeline.svg,"Likelihood for Turek-attributed fear texts: I know they want me dead; under the gun; please pray for me (and related exchange forms). Primary on-record framing is weeks before SEPT 10 (mid–late AUG hump); secondary packaging days-before or SEPT 9; counter-claim that under-the-gun and want-me-dead bubbles were months apart. Wide deliberately. Related structure on a different day framing: km_12_security_exchange. Not the same as km_07_sept9_all_caps (Owens staffer all-caps night-before cluster)."
km_06_worried_israel_kill_me,KM-06 — when “I’m worried that Israel is going to kill me” was said,site/internals/static/img/km-timelines/km-06-timeline.svg,"Likelihood for the one-day-before attribution: I’m worried that Israel is going to kill me (master file and X packaging → SEPT 9 2025). Source chain thinner than named-witness items. Soft range SEPT 8–9. If later proven to be a paraphrase of km_02_harrison_smith_relay or km_04_go_against_israel the mass would move mid-AUG; that alternative stays low until primary sourcing appears."
km_07_sept9_all_caps,KM-07 — when “THEY ARE GOING TO KILL ME” was texted (SEPT 9 combative meeting),site/internals/static/img/km-timelines/km-07-timeline.svg,"Likelihood for the all-caps day-before line during/after the SEPT 9 2025 combative high-pressure meeting: THEY ARE GOING TO KILL ME. X/web say 24 hours before night before hours before. Sharp SEPT 9 peak. Not the Kolvet-authenticated ~48h leave-pro-Israel WhatsApp. Sibling same-day lanes: km_08_kolvet_they_will_kill_me km_09_three_people_warned; security execute-tomorrow: km_10_flood_executed_tomorrow."
km_08_kolvet_they_will_kill_me,KM-08 — when the “they will kill me” message to Andrew Kolvet was sent,site/internals/static/img/km-timelines/km-08-timeline.svg,"Likelihood for the night-before kill-me message reported as sent to Andrew Kolvet (They will kill me / They are going to kill me). Owens ecosystem: night of SEPT 9 sometimes after emergency Zoom. Do not date from Kolvet’s separate confirmation of the donor leave-pro-Israel WhatsApp. Same calendar cluster as km_07_sept9_all_caps and km_09_three_people_warned; Flood lane is km_10_flood_executed_tomorrow."
km_09_three_people_warned,KM-09 — when “I think they’re going to kill me” was sent to about three people,site/internals/static/img/km-timelines/km-09-timeline.svg,"Likelihood for the multi-recipient same-day set: I think they’re going to kill me to ~three people on SEPT 9 2025 (Candace Owens / public-reporting synthesis as a second set that day). Peak SEPT 9. May overlap named lanes km_08_kolvet_they_will_kill_me and km_10_flood_executed_tomorrow / km_13_donor_executed_tomorrow depending on who the three are; kept separate until native exports prove identity of threads."
km_10_flood_executed_tomorrow,KM-10 Dan Flood — when “executed tomorrow” / kill-me-tomorrow was texted to security,site/internals/static/img/km-timelines/km-10-timeline.svg,"Likelihood for the night-of-SEPT-9 security text to head of security Dan Flood after a donor call: executed tomorrow / they are going to kill me tomorrow (tomorrow = SEPT 10). Sharp SEPT 9 night peak. Competing wording of the same claimed Flood-bound message is km_11_the_left_will_kill_me (do not double-count as two events). Multi-recipient packaging also names a donor lane: km_13_donor_executed_tomorrow."
km_11_the_left_will_kill_me,KM-11 — when the competing Flood wording “The Left will kill me” applies (same claimed message window),site/internals/static/img/km-timelines/km-11-timeline.svg,"Likelihood calendar for the rival rendering of the Flood-bound night-before text: The Left will kill me / The Left is going to kill me. Same night as km_10_flood_executed_tomorrow (SEPT 9) — not a second authenticated message or a different date. Chart timing matches km_10; the split is threat-actor wording not calendar. Master file and UNILAD-style recaps carry this variant with uncertainty markers."
km_12_security_exchange,KM-12 security exchange — when “I did / I know they want me dead” exchange occurred,site/internals/static/img/km-timelines/km-12-timeline.svg,"Likelihood for the two-sided security exchange: other party hopes security improved; Charlie says I did / I have; I know they want me dead. Primary packaging on/about SEPT 9; secondary mass mid-AUG if same Turek thread as km_05_turek_want_me_dead; counter-claim months-apart edit. Distinct structure from pure outbound prayer request in km_05_turek_want_me_dead."
km_13_donor_executed_tomorrow,KM-13 donor lane — when execute/kill-tomorrow was messaged to an unnamed donor,site/internals/static/img/km-timelines/km-13-timeline.svg,"Likelihood for the unnamed-donor recipient leg of the multi-recipient night-before packaging (donor + TPUSA person + Dan Flood told execute/kill tomorrow). Peak SEPT 9 night. Isolates the donor so it is not erased into the Kolvet-authenticated leave-pro-Israel WhatsApp (~48h / SEPT 8–9 re-dating disputes). Flood-specific depth: km_10_flood_executed_tomorrow; TPUSA/Kolvet: km_08_kolvet_they_will_kill_me."
